token_address,current_price,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,token_name,token_symbol,current_price_usd
eskihf6p2x1fqnfebdmhkwku3dtu5ciqfx5338hzvrep,,2024-04-28_12-14-19,3h 1m,84,54,$1.1K,76,0.49%,36.56%,106%,106%,$2.0K,$2.9K,Grokwifhat,Grokwifhat,$0.062949
gkbpaaaupxxjrrh6u2oj44eppq7bm2gkrusxng9cco6j,,2024-04-28_12-14-19,3h 8m,359,312,$35K,307,-6.07%,-6.29%,39.96%,39.96%,$3.8K,$2.6K,PuppyKing Coin,$PKC,$0.052657
gx3ydemfutegjhmq7o33s3rkfba5jejx4uu2vnpvmwrs,,2024-04-28_12-14-19,3h 16m,446,460,$163K,499,-5.83%,-13.79%,-93.01%,-93.01%,$6.1K,$3.8K,Solk Road,SOLK,$0.053867
hxyf41qhxtogaanrwfvjhytujhv1pnfy8kr25cbtuzi,,2024-04-28_12-14-19,3h 18m,303,203,$28K,271,0%,-1.88%,49.63%,49.63%,$3.0K,$2.8K,Tokoloshe,TOKO,$0.052839
azxjpzxmffmjuvq9xfacxiyuhmr8zarv6zonwjvjbizt,,2024-04-28_12-14-19,3h 20m,5492,"2,286",$3.4M,"2,043",0.18%,-1.87%,35.21%,35.21%,$2.3M,$1.3M,The Road Built for MEME,SolkRoad,$0.01349
6nehr3fgrhvyd4fsmxhw5ovk8t54prf1maiy86uaotjr,,2024-04-28_12-14-19,3h 27m,3420,"3,452",$518K,"2,971",-1.55%,-1.54%,-72.50%,-72.50%,$2.1K,$1.3K,PEPE Milk Mommy,PELK,$0.051370
86uzy8aa2htmemhncthlcsbt28gcjqbhmfcp6zpseyxr,,2024-04-28_12-14-19,3h 30m,401,593,$51K,345,0%,21.74%,-11.19%,-11.19%,$1.4K,$1.0K,QIANCAT,$QIAN,$0.051031
3sb78cvhr2a1awtky6m5vyk8vd827wcxrixbjqczoler,,2024-04-28_12-14-19,3h 31m,331,106,$56K,252,0%,0.06%,30.28%,30.28%,$326K,$189K,Devil Pepe,DIVOL,$0.051898
br55zpjdgf8rf8ixddgdvwyyumltamokkoc2ch6jy1mu,,2024-04-28_12-14-19,3h 31m,308,165,$17K,265,-9.07%,-1.62%,382%,382%,$4.5K,$5.8K,MoonObama,Obama,$0.055884
eygk3yhxks3qhbktvukcif1wyttp8wknpivdshjk8gem,,2024-04-28_12-14-19,3h 33m,11998,"11,590",$3.5M,"8,552",-0.84%,12.20%,38.24%,38.24%,$344K,$196K,Ducks,DUCKS,$0.001968
69bpuuluhpy5ckyrfv5seus7zsndocnznwqhvyr6ebs5,,2024-04-28_12-14-19,3h 34m,391,491,$97K,541,0%,-5.44%,-92.05%,-92.05%,$6.4K,$4.3K,FATCAT,FATCAT,$0.054404
fgx1e9gvndfzkjgjf6p88gn5nhwag3jv6wyxboqjczrt,,2024-04-28_12-14-19,3h 35m,95,60,$12K,92,0%,-17.69%,-68.37%,-68.37%,$4.0K,$18K,Monalisa Coin,MLC,$0.00002573
ff7ijuvizp2g4djjypv9vkly3ayixsa5uoq224v58gye,,2024-04-28_12-14-19,3h 36m,99,24,$1.9K,96,0%,0%,32.87%,32.87%,$4.2K,$8.2K,RIP Kabosu (Wormhole),RIPDOGE,$0.054100
g5fbpxfxe8xqol3cspx3gh7hvyxpceqbth5xxvmj4zsb,,2024-04-28_12-14-19,3h 38m,1810,"1,607",$272K,998,-1.65%,148%,"20,757%","20,757%",$12K,$118K,Kento,KENTO,$0.0001183
cpmwby9edy4dcccstxxxmmepedbndgxqn9fcrlbnl5vu,,2024-04-28_12-14-19,3h 38m,94,19,$10K,75,0%,41.90%,"1,286%","1,286%",$10K,$19K,Casino of Memes( 89KX9c3rNoW5sVnwMQvPPFgYKxpABupCSqXUtB1CW5J2 ),COME,$0.00001993
4rd4i2gvshhb3gtlftcs6adbukbx7g1jaqw1ds4egdpu,,2024-04-28_12-14-19,3h 42m,2359,"2,031",$483K,"1,561",-0.04%,-16.77%,129%,129%,$3.5K,$2.7K,raccoonwifmilk,MILK,$0.052703
hubxjtqu7enxf7eqbbwvrhrvwpeeqwfvy85jcpxl1mjl,,2024-04-28_12-14-19,3h 47m,217,200,$13K,209,-0.07%,15.52%,30.21%,30.21%,$3.7K,$2.6K,Pici,PICI,$0.052674
ettaggsemrrhvvdwb3qakrdzglv7jtkdk1cwjfwuclxe,,2024-04-28_12-14-19,3h 53m,922,661,$278K,680,0%,-1.34%,-92.79%,-92.79%,$6.3K,$3.9K,Chigga Cat,CHIGGA,$0.053994
2tzcab2hknz7nurojipglmro5yez43zpcrzmobjnko1m,,2024-04-28_12-14-19,3h 54m,116,140,$3.1K,103,0%,46.22%,289%,289%,$1.4K,$2.0K,SolanaShiba,SolShiba,$0.052019
aart4l8q6pihjyr7gct7bxhaojgecgzc9y12trhswf2b,,2024-04-28_12-14-19,4h,558,612,$46K,358,0%,-12.17%,217%,217%,$2.0K,$2.2K,Ferriri Token,FERR,$0.052255
4vezhtnsx54mdxxx5kd95r3t6lqpqfyzqn1cbqn2pftg,,2024-04-28_12-14-19,4h 2m,391,267,$69K,322,0%,17.25%,-60.80%,-60.80%,$14K,$21K,Red Sols,rSOL,$0.00002171
bhovb3tejfjr7r3ljucc6y4dj8zsaunwgujtfzbcg5ba,,2024-04-28_12-14-19,4h 6m,1008,793,$154K,606,-0.09%,-13.17%,848%,848%,$6.0K,$53K,Game Of Retards,GORE,$0.00005392
amkyjyd6k5od2blef8pgr7wbnva2qubdnuxu2xgvquvj,,2024-04-28_12-14-19,4h 8m,266,375,$16K,202,0%,9.41%,89.44%,89.44%,$1.2K,$892,Counter Stroke,CSGO,$0.069964
4mae3bbecvpi2xjyysknsem4p1s3ag6zbuu47prcff9l,,2024-04-28_12-14-19,4h 11m,345,443,$32K,314,-0.17%,4.60%,94.51%,94.51%,$4.4K,$3.6K,SEAGULL,INHALE,$0.064149
b6we3xvqepqpq9k1ldn2vkskyucle9jbzxib12empr2c,,2024-04-28_12-14-19,4h 11m,46,18,$256,45,0%,0%,0.33%,0.33%,$6.1K,$10K,Dragon,Dragon,$0.063071
quf1gfgvegjtuhavx7vbcgcx5yt4dlm3rdxjfbkxhqs,,2024-04-28_12-14-19,4h 11m,4223,"3,477",$911K,"2,257",-23.12%,-41.35%,"3,147%","3,147%",$7.9K,$25K,MONKE,MONKE,$0.00002539
2epezm7wmhkq77edg8orxgmbs6szh3crgl5s3mhiyldl,,2024-04-28_12-14-19,4h 11m,268,557,$39K,232,-0.05%,22.62%,-33.50%,-33.50%,$1.4K,$946,Cuck,CUCK,$0.069462
gvl3eg9bbvopeg2rqzaqyrca64ulmlhank1haiavgoli,,2024-04-28_12-14-19,4h 12m,1068,899,$286K,843,0%,-6.37%,88.51%,88.51%,$2.6K,$2.1K,TORO CAT,TORO,$0.00002145
gphk8amn19pvepm2dfrdw6pbepgskjcw13bzwytsfbk3,,2024-04-28_12-14-19,4h 15m,32,9,$6.5K,13,13.64%,11.80%,565%,565%,$7.4K,$9.5K,bloop ( DVnhvwVhNRY1i2AcGrXuSQExMWKSdJBi4nw6WBJSvgCC ),$bloop,$0.059573
27m7anafpw68theng1ovac7tcvnjpgm3lezr3hixmqrg,,2024-04-28_12-14-19,4h 17m,70,84,$4.7K,57,-0.45%,-4.48%,-10.23%,-10.23%,$1.8K,$43.0M,michi,$michi,$0.07736
9t16l5enkhmywkn5dogqqdxqu9uqmbp7cb8wlm6sd4xf,,2024-04-28_12-14-19,4h 19m,20503,"14,583",$11.3M,"8,552",7.73%,37.14%,"2,082%","2,082%",$139K,$1.2M,Casino of Memes,COME,$0.001207
c5tb9euqxp3wd2ctnjgnyrymakekmfxgp6fujezuld56,,2024-04-28_12-14-19,4h 19m,30,0,$499,30,0%,0%,83.06%,83.06%,$3.8K,$2.6K,Cow Cat,Cow Cat,$0.052603
7qc2pfmb59cbvpdevuan95n5xvqqbsfkxqkbwbta4epy,,2024-04-28_12-14-19,4h 24m,332,313,$33K,307,0%,3.10%,-40.65%,-40.65%,$1.7K,$1.0K,Tiny Cats,TINY,$0.051098
gvszqssfe7ag1whxfvjdqm2wrkj9uezhpw4q65aqqau3,,2024-04-28_12-14-19,4h 31m,653,884,$113K,556,-0.04%,16.85%,-27.17%,-27.17%,$3.6K,$2.3K,Return To God,Retardio,$0.00002345
