token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
ONLY PAWS,ONLYPAWS,c6jbbtdqz2gnsxphfqvcgmov3hzptlksyabhhsxhw5ir,0.055573,2024-04-29_15-07-24,60,163,50,37000.0,165,20.18,20.18,20.18,20.18,33000.0,38000.0
Fengi The Cat,FENGI,634ykphbcpbcfddfcikrv9kxa25dgfkkgavyan26htyt,0.00003774,2024-04-29_15-07-24,60,176,25,25000.0,176,1149,1149,1149,1149,96000.0,37000.0
Bidenwifhat,BIDEN,58didgb726acd2rsh5upj7x5ukgxfakwhsfanztkvdsx,0.055184,2024-04-29_15-07-24,120,56,6,12000.0,51,4.91,4.91,4.91,4.91,100000.0,51000.0
Tsukiji,TSUKI,h1ldr5axfvnrc9cdlj24fxsr4b2brufddwc2x9zmaasg,0.052105,2024-04-29_15-07-24,300,322,106,91000.0,300,363,2529,2529,2529,71000.0,18000.0
Arug the Magic Carpet,$ARUG,d4nrrjd2zap9jv4qzay515sru32j3f2xbufdxt52jfkz,0.00003218,2024-04-29_15-07-24,420,153,64,27000.0,171,-29.82,-38.99,-38.99,-38.99,16000.0,31000.0
Jesus wif Bible,JWB,bht3gorsscwuga1b2anlv8y1pfhgkx1cctkkxf3bjbcz,0.00005424,2024-04-29_15-07-24,600,298,168,62000.0,294,-39.47,2.89,2.89,2.89,22000.0,53000.0
Trumpwifhat,Trumpwif,br5qolrxzjm1xkbfrgcrsgnghoxbbcnagfinq6ynk51,0.056531,2024-04-29_15-07-24,660,98,13,50000.0,56,8.66,19.32,19.32,19.32,118000.0,64000.0
Ham The Astrochimp,HAM,ajwczeft2k6sey1e4j2jjadjswsxcznmeckvtywo7mps,0.057051,2024-04-29_15-07-24,780,260,165,43000.0,267,-57.05,-86.65,-86.65,-86.65,79000.0,70000.0
Atomic Token,AtomX,e78bqafhe1ftmn4ieimhth8ahvns2bmsw65cchrjp2nw,0.00001538,2024-04-29_15-07-24,840,367,189,51000.0,333,153,800,800,800,88000.0,15000.0
Raydioom,RAY,fnwagr98lcujy1bhyahaeyj7ndybycd2inuqyk4mqdcc,0.054722,2024-04-29_15-07-24,1140,363,390,68000.0,290,-30.39,249,249,249,24000.0,47000.0
Dragon Hoard Token,DHT,t7yuzzdu9mjigobch2rnathfqfffyscbnnb5va3sdkn,0.001230,2024-04-29_15-07-24,1260,93,17,76000.0,45,-0.99,6.97,6.97,6.97,95000.0,49000.0
KITSUNE,KITSUNE,9omuwbkbvxmr6m9wcaq7y4zoqs9grt69yl1ejmdl9zcd,0.051907,2024-04-29_15-07-24,1560,66,27,27000.0,64,0.77,73.59,73.59,73.59,19000.0,19000.0
Sakurai,SAKURAI,3mgf5jaruwofygckg5zoerkhwyvcstz4b5t1eoezadpu,0.057624,2024-04-29_15-07-24,2160,297,299,17000.0,281,28.06,215,215,215,82000.0,76000.0
CoolCoin,COOL,dbkv4uqdcykthtw9atly4zfdv1mmj6gdwtjtf8mvlzun,0.053366,2024-04-29_15-07-24,2340,17,3,558.0,1,0,24.41,24.41,24.41,60000.0,33000.0
SHIBABOY,SHIBABOY,2ft52sxmeacphxmzgtd42g9gecqzugwzsx3abl3fylhy,0.051077,2024-04-29_15-07-24,2400,170,121,54000.0,169,0.59,-43.88,-43.88,-43.88,18000.0,10000.0
Arab Cat,CARAB,j4hzanr5587je68nu3teybuwff7av1jmibwuldtnayu2,0.067196,2024-04-29_15-07-24,2460,115,112,46000.0,103,20.49,328,328,328,56000.0,57000.0
Kamino,KMNO,4jojm8p5ep77t9mkdmwyqmcbnqpcxoecpybnczuhrstx,0.055166,2024-04-29_15-07-24,2580,339,163,76000.0,203,2.92,34.24,34.24,34.24,897000.0,516000.0
CAT TOKEN,CAT,hnwzqqhdw8fzckwwruxj5bxbjraogpulvvleqvevyh75,0.00002421,2024-04-29_15-07-24,2640,74,41,71000.0,81,0,-20.54,-20.54,-20.54,10000.0,24000.0
mrPOTATO,POTATO,cm3r2r8o1kqy4hmhsc9cy5g2htr8p5zgbq2wvn8e3ip4,0.054172,2024-04-29_15-07-24,2700,256,217,19000.0,249,68.05,172,172,172,36000.0,41000.0
顔無し (Kaonashi),NOFACE,ejbm922ydnnpztnqbqkz857ct6atrt5kpx9bboyrwqtc,0.00007719,2024-04-29_15-07-24,2880,357,336,57000.0,308,18.53,1785,1785,1785,15000.0,77000.0
Alameda Research ,ALAMEDA,ezdd5padrycngkz1gzvqun9fzrpczh77nddzhzvpludo,0.0002006,2024-04-29_15-07-24,3300,773,1187,121000.0,601,10.71,-12.39,-12.39,-12.39,24000.0,20000.0
Solvation,SOLV,3kki7gdj5hlr8plojzegqjzpgldftryxcakesyogxn1z,0.0001160,2024-04-29_15-07-24,3480,255,162,28000.0,242,3.47,6.44,6.44,6.44,56000.0,386000.0
Let's Go Boden,LGB,bpzwi5xappt8zcrwuytiqkutrpcryoxpfqar2lxbx7gv,0.00001134,2024-04-29_15-07-24,660,599,326,63000.0,503,32.14,75.29,675,675,59000.0,11000.0
Silver Surfer Solana,SSS,cig5rzypfeztnwucavnqcuqhk2wdyjvbwnf8fnimhjcn,0.0002007,2024-04-29_15-07-24,720,84,45,10000.0,85,0,-0.87,-0.21,-0.21,26000.0,200000.0
Nihao Cat,NIHAO,7or2j2klh4wmxxyncqwercssd1pw1gsuyck723qqjcpi,0.003036,2024-04-29_15-07-24,1020,3,6,232.0,3,0,-17.72,-17.72,-17.72,12000.0,303000.0
caht,meow,9fy7foktgyp3dlzmvjnrxtb4nk4murx4bwtj5ki52mfh,0.00009944,2024-04-29_15-07-24,1080,429,690,45000.0,399,-1.19,-95.29,-50.99,-50.99,16000.0,994.0
QUACK AINT QUACKING,AIN'TQUACK,3svutpmtgsn6hh74furmkhyz6jjcut46jqutfgloouwy,0.054392,2024-04-29_15-07-24,1080,551,498,119000.0,496,0.12,-69.75,-91.82,-91.82,63000.0,43000.0
Mike Tysol,TYSOL,887amt21sgvuheg2e5raqayhrhahqjprlu4dpuheb9ut,0.066574,2024-04-29_15-07-24,1440,196,391,16000.0,173,0,-12.65,-10.56,-10.56,11000.0,657.0
Wonk,WONK,bxk3yj2k1hcde7aswski5b83yypk2gcrd7atf4mkyfjc,0.069443,2024-04-29_15-07-24,1980,399,462,42000.0,323,-0.72,-21.46,60.80,60.80,14000.0,944.0
Gucci Cat,GUCAT,gz98dqfzc4kyrjtuj5mmytdedhwrngu6m8hbfedf1xam,0.005540,2024-04-29_15-07-24,2100,1151,854,199000.0,848,13.91,-5.35,1711,1711,14000.0,55000.0
FukuFlip,FUKU,6eazjb5czq9pneznjpv9qsxk7od72fpwnct4nhee3afy,0.00004466,2024-04-29_15-07-24,2100,1444,1106,501000.0,1006,-2.92,-44.71,192,192,49000.0,44000.0
CoolCoin,COOL,9yapdswtaoduu79v5h8nteutbqxzpffymgjhftkjh84v,0.053351,2024-04-29_15-07-24,2220,33,8,invalid value: 400,3,1.75,22.85,23.76,23.76,60000.0,33000.0
