token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
Pusse,PUSSE,bydcxgzjlxh7u7px1ntaixdjumytxbbs11lthihwsevz,0.0002593,2024-04-29_16-24-35,960,1,1,46.0,1,0,1.50,1.50,1.50,10000.0,259000.0
Tsukiji,TSUKI,h1ldr5axfvnrc9cdlj24fxsr4b2brufddwc2x9zmaasg,0.051054,2024-04-29_16-24-35,960,1370,989,296000.0,867,-32.89,-53.49,1217,1217,53000.0,93000.0
Arug the Magic Carpet,$ARUG,d4nrrjd2zap9jv4qzay515sru32j3f2xbufdxt52jfkz,0.00004207,2024-04-29_16-24-35,1080,279,156,45000.0,268,24.19,4.94,-20.24,-20.24,19000.0,40000.0
Jesus wif Bible,JWB,bht3gorsscwuga1b2anlv8y1pfhgkx1cctkkxf3bjbcz,0.00003002,2024-04-29_16-24-35,1260,485,359,104000.0,420,8.90,-46.56,-43.05,-43.05,16000.0,29000.0
Ham The Astrochimp,HAM,ajwczeft2k6sey1e4j2jjadjswsxcznmeckvtywo7mps,0.054453,2024-04-29_16-24-35,1440,302,242,50000.0,317,-5.86,-39.06,-91.57,-91.57,64000.0,44000.0
Atomic Token,AtomX,e78bqafhe1ftmn4ieimhth8ahvns2bmsw65cchrjp2nw,0.054327,2024-04-29_16-24-35,1560,437,325,58000.0,382,-0.17,-48.72,153,153,47000.0,43000.0
Dogeverse,DOGEVERSE,2kkgsymo1z6ku3js47mct9kavce7zrhe2mscdd8karp9,0.053867,2024-04-29_16-24-35,1860,6,1,invalid value: 380,3,0,175,466,466,13000.0,38000.0
Dragon Hoard Token,DHT,t7yuzzdu9mjigobch2rnathfqfffyscbnnb5va3sdkn,0.001239,2024-04-29_16-24-35,1980,251,39,35000.0,49,-1.36,0.67,7.78,7.78,96000.0,49000.0
KITSUNE,KITSUNE,9omuwbkbvxmr6m9wcaq7y4zoqs9grt69yl1ejmdl9zcd,0.052008,2024-04-29_16-24-35,2220,69,93,27000.0,67,0,2.40,82.82,82.82,20000.0,20000.0
CoolCoin,COOL,dbkv4uqdcykthtw9atly4zfdv1mmj6gdwtjtf8mvlzun,0.053472,2024-04-29_16-24-35,3000,18,3,562.0,2,0,3.14,28.31,28.31,61000.0,34000.0
CAT TOKEN,CAT,hnwzqqhdw8fzckwwruxj5bxbjraogpulvvleqvevyh75,0.057491,2024-04-29_16-24-35,3300,84,59,13000.0,96,0,-71.62,-75.42,-75.42,57000.0,74000.0
mrPOTATO,POTATO,cm3r2r8o1kqy4hmhsc9cy5g2htr8p5zgbq2wvn8e3ip4,0.055890,2024-04-29_16-24-35,3360,338,275,28000.0,311,4.87,7.79,284,284,44000.0,52000.0
顔無し (Kaonashi),NOFACE,ejbm922ydnnpztnqbqkz857ct6atrt5kpx9bboyrwqtc,0.051018,2024-04-29_16-24-35,3540,513,569,102000.0,449,-12.04,-99.04,-75.14,-75.14,17000.0,10000.0
Alameda Research ,ALAMEDA,ezdd5padrycngkz1gzvqun9fzrpczh77nddzhzvpludo,0.0001401,2024-04-29_16-24-35,3900,774,1201,121000.0,601,-0.25,-25.24,-38.82,-38.82,20000.0,14000.0
Solvation,SOLV,3kki7gdj5hlr8plojzegqjzpgldftryxcakesyogxn1z,0.0001223,2024-04-29_16-24-35,900,282,178,34000.0,262,0.62,4.65,12.21,12.21,58000.0,407000.0
