token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
WoofWealthDawgs,WWD,51gvxdnqmph1uzlceo7pxc1pxg7ygsme3vqhkr3swlgg,0.054966,2024-04-28_13-36-40,38s,44,1,20000.0,44,162,162,162,162,48000.0,49000.0
MEMES GOT TALENT,MEMES,8pwsyscmurg2c35nstqrpeeaaxhb2hlj3ouefdmgegus,0.00002771,2024-04-28_13-36-40,5m,358,297,54000.0,327,437,582,582,582,61000.0,27000.0
American Coin,USA,dhfumvfwdxnjxouhxlucjufqsi48tiixdrrsv1hvnfse,0.052873,2024-04-28_13-36-40,6m,2,0,16.0,2,0.69,0.69,0.69,0.69,57000.0,28000.0
Grilfriend of TIM,TIM,6myhwmbpbsqqxjlhatttcnzybpf7zmqckrlwegtarba2,0.00004733,2024-04-28_13-36-40,7m,114,28,10000.0,108,4.06,4.19,4.19,4.19,926000.0,473000.0
Retro Pepe,RPEPE,6cj6peeaffuk6g4pgwcsbwjvqavpftkzuhzogl69ls71,0.00004603,2024-04-28_13-36-40,10m,444,238,106000.0,391,-11.25,3378,3378,3378,12000.0,40000.0
Tama たま,tama,gt15whfzeh748whmjy9va15daf7mqfgqnqyrb3haduds,0.003901,2024-04-28_13-36-40,10m,296,154,42000.0,281,-28.54,884,884,884,12000.0,39000.0
LOLBUCKScoin,LOLBUCKS,gpekcuucqh2s8e6sffrymzdjnypccbaoqw3fikyf2bdg,0.052283,2024-04-28_13-36-40,11m,81,37,43000.0,80,0,-30.83,-30.83,-30.83,32000.0,22000.0
Donald Trump,Trump,fkubpkr1mha1hunpbffss7tt9shfwahrs42a5kix4y5j,0.00001149,2024-04-28_13-36-40,12m,82,13,52000.0,47,5.94,17.93,17.93,17.93,114000.0,62000.0
Indexed Solana,iSOL,4yvfnozb9fgufll2d5nebsewgybltnkf9iq8p2jbtlr7,0.001448,2024-04-28_13-36-40,14m,2,1,66.0,2,0,6.19,6.19,6.19,72000.0,14000000.0
Sugar Rush,SUGAR,eafn3vmpwwlccqxbazkrx6qxvrwj7kywkswx9oyed9u7,0.054133,2024-04-28_13-36-40,14m,341,174,30000.0,314,-34.92,232,232,232,38000.0,41000.0
Indexed Solana,iSOL,9mb7ecpaa4msvl3nbnsrdrc1p4jqgjwazaauypb4inyj,0.001526,2024-04-28_13-36-40,14m,5,17,298.0,11,0.68,27.19,27.19,27.19,48000.0,15000000.0
MANEKITA,MANEKITA,7d2qmwj4nsunvprcpgwbvwdapqzmfehwpuwojhedqgkk,0.0001516,2024-04-28_13-36-40,17m,53,23,885.0,52,0.56,0.56,0.56,0.56,142000.0,151000.0
MIFFY,MIFFY,cg97ycmkwus92d8tmeqrz8dgl5pja7txiypwc3nhmcfe,0.001298,2024-04-28_13-36-40,21m,252,235,45000.0,285,32.59,-54.10,-54.10,-54.10,19000.0,12000.0
Cute Project,CUTE,4g5fqv5mzdmntzvu4iv78yjgbzzcktzsxg23maqkv8lj,0.061841,2024-04-28_13-36-40,22m,147,59,22000.0,135,-23.07,79.64,79.64,79.64,24000.0,18000.0
PopBonk,PopBonk,93s2cyszcgxeqfolv8nk7k71e43kbsejgpqfmtmef1jk,0.00006340,2024-04-28_13-36-40,27m,291,389,61000.0,356,2.36,-13.56,-13.56,-13.56,12000.0,634.0
Houke,HOUKE,ee25erwpbu9ug4yyhjgj8a2pnwaqtqd46ytzvqx9hw6k,0.052578,2024-04-28_13-36-40,29m,123,51,15000.0,121,-1.68,-5.00,-5.00,-5.00,30000.0,25000.0
Moe Rogan,MOGAN,bfrhbwbabpnttznyxvgn5hkpuo7g5fasypsqqersryhj,0.00003095,2024-04-28_13-36-40,31m,458,309,71000.0,417,2.68,-44.03,-44.03,-44.03,17000.0,30000.0
TIM,TIM,afyur4kwa9zzzf59jkwidjyz4mdhbhw9mgkjjivu6bf,0.004124,2024-04-28_13-36-40,35m,5,13,invalid value: 600,6,2.21,-14.42,-14.42,-14.42,89000.0,41000000.0
SOLIDYX,SOLID,ebehxea43a5ssgfdguvgxlz1mncucykkqk5tmvs8aax1,0.00004957,2024-04-28_13-36-40,37m,42,34,22000.0,42,0,-68.35,-68.35,-68.35,10000.0,49000.0
The Simp Club,SIMP,duzgyjv84jcdxbdfcthep5ramqvxuzckamah6fwtxybr,0.00001224,2024-04-28_13-36-40,38m,78,26,38000.0,77,0,43.22,43.22,43.22,40000.0,12000.0
Bouncing Seal,BOUNCE,hx3f13yiw4mdjreh2mwf7swaaleuyg8xomkaztznwzd4,0.0002802,2024-04-28_13-36-40,39m,1203,736,358000.0,885,40.77,401,401,401,52000.0,280000.0
KAREN,KRN,6v11299dqlsqpw6z4t1dqdbcursd9aj8k4twm8zuesf6,0.0001727,2024-04-28_13-36-40,39m,164,236,65000.0,160,-1.33,263,263,263,14000.0,36000.0
DOLLY the Mustache Puppy,DOLLY,8dhscek8p1ojbyncfuxwwpayfzgwuo1zjguzrc4teqmf,0.00002645,2024-04-28_13-36-40,41m,557,468,49000.0,453,12.32,1557,1557,1557,11000.0,26000.0
SHARK,SHARK,eyl2h89t8ff3kqx1kagxma4dehclapbhqdbzmpfrykev,0.056869,2024-04-28_13-36-40,45m,744,530,206000.0,613,-12.65,-87.66,-87.66,-87.66,81000.0,68000.0
Musk StarLink,StarLink,6fwj2bw1b5go7jwevabm2q21pd8vqt5unn811szesdi9,0.0004398,2024-04-28_13-36-40,46m,268,143,57000.0,173,2.54,22.88,22.88,22.88,789000.0,439000.0
Half Baked Ape,HBAPE,cn5xjtthsqc1jftvwgjasprxyevqrakzgpvbphwl2qdf,0.001240,2024-04-28_13-36-40,53m,138,83,14000.0,52,2.71,8.33,8.33,8.33,94000.0,49000.0
TIM,TIM,5q6h2gwuckaydhjnrxfaku1sgbtvirrj6a1xrnxwvqso,0.004042,2024-04-28_13-36-40,55m,14,16,12000.0,6,0.47,-13.09,-13.09,-13.09,33000.0,40000000.0
Degen homeless,$HOMLES,8gycqeqcnrr2fm4a4mvwae4ejzebcq2batk815kflpha,0.0002194,2024-04-28_13-36-40,55m,3238,3117,418000.0,2798,10.50,4289,4289,4289,26000.0,219000.0
Ansem the dog,Ansem Dog,b5gfukyeswez5vcbxqyfumnv4svi1qnprdta3cf3umpe,0.00001723,2024-04-28_13-36-40,56m,235,74,16000.0,48,5.48,86.56,86.56,86.56,120000.0,82000.0
Book Of Love,BOLO,aws3cmkimszkqactizquxozpj84byp1b49btjthxfgtn,0.00001831,2024-04-28_13-36-40,1h,1749,1302,475000.0,1103,13.41,-79.75,-68.08,-68.08,13000.0,18000.0
TIM,TIM,dptvr6dzyfggkq2qxyfdz5w288sbbdwkdxofcv3i6fso,0.004106,2024-04-28_13-36-40,1h 2m,23,33,34000.0,20,-2.93,-3.67,-3.67,-3.67,13000.0,41000000.0
DuneBusters,DMGB,4ucybovpmzsv69uiubcr9a7xmeagbszkbu5stddcvxdf,0.053162,2024-04-28_13-36-40,1h 5m,189,73,73000.0,184,5.59,115,317,317,34000.0,41000.0
NinjaGoats,GOAT,83srzy6ctssf7jtqn8se275pdettiq7t1bbnfb8gacjl,0.00004791,2024-04-28_13-36-40,1h 5m,1967,1428,878000.0,1313,67.75,-69.52,-16.55,-16.55,22000.0,47000.0
Mewla,MEWLA,52etz55hibcckxakeyymvvk6aivyydxxpurgign3c9e4,0.055656,2024-04-28_13-36-40,1h 5m,327,336,51000.0,379,-0.79,4.20,-89.91,-89.91,73000.0,56000.0
Capital,CC,chiqvdbtayp3ixyr4rxtx9ugmbtsbs5npvwfjucexh5s,0.001328,2024-04-28_13-36-40,1h 8m,2960,1560,32000000.0,1816,-7.01,-68.95,109,109,170000.0,371000.0
dukk,DUKK,28cmsn8xasdpn1bdsvmkege2zoegkvu9bzexobd82m5u,0.052397,2024-04-28_13-36-40,1h 11m,336,316,47000.0,256,-21.80,-59.86,165,165,28000.0,23000.0
cub,cub,6gzxzjtzgujmufjfrcc2kozbc55zvcucchv3geiyv58t,0.0001625,2024-04-28_13-36-40,1h 12m,321,465,55000.0,393,1.14,-17.21,-29.03,-29.03,21000.0,16000.0
PixelPandaCoin,PPC,djdmyrqr2gqevy5t3pgxgnt6p2kkqpfjpxsv26gupclz,0.001329,2024-04-28_13-36-40,1h 13m,216,32,31000.0,47,-1.52,-4.29,3.01,3.01,104000.0,53000.0
dogwifhat's sister,YUKI,cv1pqyzmq4czfh7ktma7qq47q3qveh4y8l2ugtvvwzru,0.00005105,2024-04-28_13-36-40,1h 15m,4430,3231,16000000.0,2213,-49.27,-68.30,1947,1947,19000.0,51000.0
Game Of Meme,GOME,7ysn4kdq7nydw1xvef9ezcbmxts3k6chyn9qjud1rtas,0.066638,2024-04-28_13-36-40,1h 16m,15,10,134.0,18,0,-10.97,-14.74,-14.74,33000.0,51000.0
TIM,TIM,foon9x4wyv8oxuq59rhqk23gqucnadqjudbxdfsc1wtw,0.052224,2024-04-28_13-36-40,1h 19m,16,5,19000.0,2,0,1310,1310,1310,11000.0,22000.0
CatShit,Cshit,91r38hutcehfmsxoc4nxvkr27sghg5xhe37zmcfyfdmd,0.00001749,2024-04-28_13-36-40,1h 32m,106,177,14000.0,106,0,-12.17,421,421,11000.0,87000.0
His Meowjesty,MYRK,dkc2wumdmkybylkgz2tjbrjoxkgmpyyzvbocl5ntymwy,0.00005694,2024-04-28_13-36-40,1h 32m,2911,2048,11000000.0,1677,22.91,33.89,-0.07,-0.07,24000.0,56000.0
SOLWIFHAT ,SOLWIF ,cgqobd8eqsaypkyjqzrntimkua97b22bbvemoxam2rmm,0.0001721,2024-04-28_13-36-40,1h 37m,207,115,18000.0,205,-23.49,-49.93,-76.80,-76.80,35000.0,86000.0
Badman,BADMAN,avgve9ipfoajzhx5dgbn3yxse1ogdwrps7imwhffs1uv,0.0001950,2024-04-28_13-36-40,1h 37m,352,326,46000.0,295,-16.87,-31.09,32.83,32.83,33000.0,19000.0
