token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Roburt Oppenheimer,NUKE,,0.001352,2024-05-01_17-51-28,60,41,4,17000.0,37,2.59,2.59,2.59,2.59,266000.0,135000.0,frha28fwn9om3evvdppwayrgzy7vjranzvjaulk7ahpw
Shih Tzu,SHIH,,0.002185,2024-05-01_17-51-28,120,134,447,83000.0,128,165K,165K,165K,165K,13000.0,21000000.0,6xvyvjuqmve4tjj9qg1agp7abhtjrqmrtnu1q9cd3lcf
Book Of Ansom,BOMESOM,,0.058482,2024-05-01_17-51-28,180,55,129,15000.0,55,-23.55,-23.55,-23.55,-23.55,16000.0,848.0,7ctdcyipgvspjgt8mbcysrr7t3fuwpc8qrs2s2ycalja
 , ,,0.0004176,2024-05-01_17-51-28,180,622,328,270000.0,611,2156,2156,2156,2156,149000.0,417000.0,b9okbgvs9lwyzty4kubdcp6yx7ckxivaas5gvfetpxi4
TRIXIEPUPPY,TPUP,,0.056646,2024-05-01_17-51-28,300,261,115,18000.0,255,65.88,312,312,312,56000.0,73000.0,hzsz6elmgfhchrkbdpkrkdhhdxikqrcv59mocyjk1emt
Pokemon,Pokemon,,0.00001107,2024-05-01_17-51-28,420,65,10,35000.0,46,6.81,12.13,12.13,12.13,100000.0,53000.0,47qxhqgvymqmbvxy1rggknnqdpzsyokjzjvv33v56eu6
🦇BATMAN ON THE MOON,🦇BATMON,,0.0004454,2024-05-01_17-51-28,420,27,6,839.0,32,2.76,2.59,2.59,2.59,60000.0,89000.0,dbslgppesb6seaxtrjvvubdntxs5buqkjxfay7yurd1g
jew bidon ,BIDON,,0.052548,2024-05-01_17-51-28,480,57,15,933.0,57,-1.33,-16.14,-16.14,-16.14,26000.0,15000.0,aucaai1hkhz2qkxth423fydntdmcmtvuxirs8rxvcekj
ILLIT,ILLIT,,0.00006909,2024-05-01_17-51-28,900,84,16,14000.0,60,0,1020,1020,1020,40000.0,69000.0,24un5r5uesznek6qbvr4g6jhkxbxnvgxzgvqqnfongxe
PEPE POLICE,POPO,,0.051795,2024-05-01_17-51-28,900,62,16,10000.0,62,0,-2.25,-2.25,-2.25,31000.0,17000.0,61dtfo7svuqfmjjygbyu6a7u4nhbrvngewoohhnmfizz
💠 Smart Pixel,SMARTPIXEL,,0.001015,2024-05-01_17-51-28,960,80,10,49000.0,43,-0.55,6.55,6.55,6.55,98000.0,50000.0,4zsipsj41v84yi5xxntfksmnnzqqcwu6blj6n6ufdbcq
CatWifUnicorn,UniCat,,0.004434,2024-05-01_17-51-28,1020,100,40,19000.0,76,-70.14,196,196,196,48000.0,44000.0,2mwpdjfamjzfijckzfjntqjsmvjkmqv8f6tdfag6a15m
🪭 Sora Geisha Cat,$GEKAT,,0.0001488,2024-05-01_17-51-28,1080,2498,874,19000.0,2508,-0.17,3.88,3.88,3.88,61000.0,89000.0,bze6wicu7pph4sujgw6zw9cvhkpzb4yr7guenjrfv7gc
Kermit the Frog,kermit,,0.0002040,2024-05-01_17-51-28,1080,668,407,303000.0,502,-15.72,297,297,297,42000.0,204000.0,hwoykoqbpl9gl8rrhbj9rxtfahpo8ns7t89qtwijrxz5
