token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
JEJI TEH WETCH KET,JEJINEKU,,0.00004789,2024-05-01_18-52-20,34,26,0,12000.0,26,150,150,150,150,49000.0,47000.0,dpakypgmdzfqs5azkuqnwb2vrpxkkvmhxxrmhmjpzdda
JCwol,JCWOL,,0.0001683,2024-05-01_18-52-20,60,86,16,90000.0,60,2189,2189,2189,2189,63000.0,16000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00005714,2024-05-01_18-52-20,120,153,44,23000.0,165,11.73,11.73,11.73,11.73,22000.0,57000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
GUMMY MANEKI,GMANEKI,,0.00002099,2024-05-01_18-52-20,240,41,4,15000.0,36,5.72,5.72,5.72,5.72,101000.0,52000.0,epetblzkxjyfxocoagpxiayhfk6feqcprp2vrttaeztn
Telegrem,TG,,0.0003937,2024-05-01_18-52-20,240,307,107,51000.0,231,6910,6910,6910,6910,10000.0,48000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
Four Months CZ,FOMO,,0.0001073,2024-05-01_18-52-20,240,46,1,31000.0,46,722,722,722,722,74000.0,10000.0,gwkqwu5suoead9vsriqah1sjxhnrbcmvaz8qkfspveps
Trump is a Dog,TrumpDog,,0.055749,2024-05-01_18-52-20,600,77,7,40000.0,47,10.51,20.43,20.43,20.43,86000.0,47000.0,d7yw1vhfhac6ja8m3sje1yj1rmnhjgx5qxr3xd549bmk
AiDrop,AiDrop,,0.00002788,2024-05-01_18-52-20,600,435,305,72000.0,403,-52.41,-45.97,-45.97,-45.97,15000.0,27000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.051825,2024-05-01_18-52-20,1320,126,30,20000.0,128,1.16,26.63,26.63,26.63,97000.0,54000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.003389,2024-05-01_18-52-20,1320,328,166,60000.0,289,22.43,1069,1069,1069,11000.0,33000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.00006138,2024-05-01_18-52-20,1320,218,622,19000.0,244,6.32,541,541,541,44000.0,61000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.0009916,2024-05-01_18-52-20,1380,74,13,46000.0,42,-1.87,5.05,5.05,5.05,96000.0,49000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00003717,2024-05-01_18-52-20,1740,595,408,118000.0,469,-10.56,-30.22,-30.22,-30.22,18000.0,35000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.00001007,2024-05-01_18-52-20,1800,331,324,26000.0,309,-31.80,-37.54,-37.54,-37.54,13000.0,10000.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Duper Dog,DUPDOG,,0.0004976,2024-05-01_18-52-20,1860,100,13,10000.0,35,0.06,5.39,5.39,5.39,96000.0,49000.0,glb3cge2emtoxm3xpcydrawrfttp6g26gcesp6hwzgct
Bidenwifhat,BIDEN,,0.00001489,2024-05-01_18-52-20,1980,176,12,10000.0,46,12.06,93.01,93.01,93.01,72000.0,50000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
Trumpwifhat,Trumpwif,,0.058285,2024-05-01_18-52-20,2100,240,12,12000.0,46,6.43,52.11,52.11,52.11,132000.0,82000.0,aqtfbhpnexa6knppfn1qpfmtzeeshatwg7timwkiwhv9
Swrek,SWREK,,0.058798,2024-05-01_18-52-20,2160,198,185,38000.0,204,-45.68,-83.16,-83.16,-83.16,86000.0,87000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Trumpwifhat,TRUMP,,0.00001003,2024-05-01_18-52-20,2220,267,12,11000.0,49,6.58,46.55,46.55,46.55,130000.0,79000.0,8kzsthnaho621mrrkklskvochk6sbrlfmguu7efcar9n
Book Of Prison,BOP,,0.059124,2024-05-01_18-52-20,2220,656,447,59000.0,480,-9.96,1210,1210,1210,49000.0,91000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.053313,2024-05-01_18-52-20,2340,496,421,158000.0,445,-0.91,-93.82,-93.82,-93.82,54000.0,33000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
TIM,TIM,,0.003103,2024-05-01_18-52-20,2460,0,1,19.0,1,0,0,0,0,22000.0,31000000.0,2jnvm3xkfgpiiefcajplisfabujj9msjvdrv6ppnbuyk
Canadian Cat,CATADA,,0.002026,2024-05-01_18-52-20,3120,6508,6214,17000000.0,6462,3.03,53.56,53.56,53.56,329000.0,202000.0,7c8bnwwyiqc8qknkqqj1nfmwfbcw759wsw9yru73kcnt
Unfuddables,PB&J,,0.00005880,2024-05-01_18-52-20,3120,497,391,91000.0,397,-12.74,13.85,13.85,13.85,22000.0,55000.0,cpbmhdu2wehqhhgj4mzhnwmqvau5ngzocbpmydvkbjpb
Hypnotoad,TOAD,,0.062161,2024-05-01_18-52-20,3480,77,28,16000.0,75,0,9.20,9.20,9.20,28000.0,21000.0,9h2cbevzejh25gga6rxtqbmrkhzxmzvxzjmzsltbm5h3
Emo Pepe,EMOPEPE,,0.051852,2024-05-01_18-52-20,3540,313,269,24000.0,242,0.36,166,166,166,22000.0,18000.0,darpvbqryugjhnohge2jgxksw2aw1iim9y9fyakf32gt
Reservoir Cats,RATS,,0.056979,2024-05-01_18-52-20,3540,652,555,150000.0,514,-7.86,-86.47,-86.47,-86.47,78000.0,69000.0,gthe6ppvbqnven1ddcc9mfwxn1cag4ezyftuwfcetbu9
🇱🇷 Trump Pepe,$TRUPE,,0.0002439,2024-05-01_18-52-20,3600,3564,1141,37000.0,3404,1.22,12.39,12.20,12.20,63000.0,97000.0,7uiceimc3qqw1xtfznimrvspcg4rylvavpuem9tstjtg
TRIXIEPUPPY,TPUP,,0.053409,2024-05-01_18-52-20,3960,297,203,20000.0,280,-13.82,-46.29,112,112,40000.0,37000.0,hzsz6elmgfhchrkbdpkrkdhhdxikqrcv59mocyjk1emt
🦇BATMAN ON THE MOON,🦇BATMON,,0.0005315,2024-05-01_18-52-20,4080,3359,281,79000.0,3321,1.37,18.43,22.42,22.42,66000.0,106000.0,dbslgppesb6seaxtrjvvubdntxs5buqkjxfay7yurd1g
jew bidon ,BIDON,,0.052548,2024-05-01_18-52-20,4140,58,18,933.0,58,0,0.26,-16.13,-16.13,26000.0,15000.0,aucaai1hkhz2qkxth423fydntdmcmtvuxirs8rxvcekj
PEPE POLICE,POPO,,0.051800,2024-05-01_18-52-20,4560,64,19,10000.0,64,0,0.28,-1.98,-1.98,31000.0,18000.0,61dtfo7svuqfmjjygbyu6a7u4nhbrvngewoohhnmfizz
🪭 Sora Geisha Cat,$GEKAT,,0.0001789,2024-05-01_18-52-20,4740,2792,1288,11000.0,2752,-2.10,19.76,24.89,24.89,67000.0,107000.0,bze6wicu7pph4sujgw6zw9cvhkpzb4yr7guenjrfv7gc
Kermit the Frog,kermit,,0.0003414,2024-05-01_18-52-20,4740,1062,707,479000.0,706,26.69,79.45,565,565,55000.0,140000.0,hwoykoqbpl9gl8rrhbj9rxtfahpo8ns7t89qtwijrxz5
Kanji,KANJI,,0.00002571,2024-05-01_18-52-20,4980,2489,1808,795000.0,1445,-40.57,-36.23,-49.54,-49.54,15000.0,25000.0,6uz3c3uuxleldjkponbqranppvxyzpntpw5kmxuhesfy
