token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Flawor,FLAWOR,,0.00004747,2024-05-09_15-35-38,56,62,24,17000.0,84,-31.24,-31.24,-31.24,-31.24,21000.0,47000.0,hlbz4gfi8pucueztj7rsfhuzqsq6tng5dzuvpyszwdnf
BORED AT WORK,BAW,,0.00006347,2024-05-09_15-35-38,60,54,3,615.0,55,9.33,9.33,9.33,9.33,25000.0,63000.0,dq17ihspj1qmvtjupqrx5j46dfcvcbzoxopu6eetp2ve
Donald Trump,Trump,,0.00001069,2024-05-09_15-35-38,120,52,10,12000.0,51,3.99,3.99,3.99,3.99,123000.0,63000.0,6yy2peu1bdn3pfddsaiwobytw4phekiscshvrxcmeqna
Nala Cat,NALA,,0.00008390,2024-05-09_15-35-38,240,109,20,17000.0,86,124,2667,2667,2667,16000.0,83000.0,5bnesjrwrgbequgizgdyljc2fvbmwxnzpp8gjawlyyfy
TRUMPWIFHAT,TRUMP,,0.056435,2024-05-09_15-35-38,360,58,10,37000.0,42,9.81,13.37,13.37,13.37,119000.0,63000.0,bfwuctwc1bdtnhzxsc7gftumivebnm3esrqbyhbqjecz
xiaojie,XIAO,,0.0002277,2024-05-09_15-35-38,480,1242,878,747000.0,945,-57.50,674,674,674,118000.0,227000.0,4few9v9bjbezrxj7ddnchpmxpnxojfgnmykzjqd2unsw
tremp wif het,trempwif,,0.051803,2024-05-09_15-35-38,480,63,9,659.0,40,12.01,1058,1058,1058,10000.0,18000.0,5263fgsuhdqwpcwyzrxrputrtqlmqf3g6d1nkwtnmwmv
Smokey the Bear,Smoke,,0.0003631,2024-05-09_15-35-38,480,245,109,33000.0,194,-46.42,4210,4210,4210,10000.0,36000.0,gnwc7z1derp7bik3t7uefqg3qkgk5kfssnnaf1uzv92h
Sugar Glider Inu,SUGLI,,0.001792,2024-05-09_15-35-38,480,623,505,171000.0,619,6.12,18.05,18.05,18.05,330000.0,179000.0,2jbwqnluklknffchpbxufnxqkda83ewyjbiqku3ozdhe
TRUMP2024,TRUMP2024,,0.00002337,2024-05-09_15-35-38,600,92,11,76000.0,51,7.26,19.14,19.14,19.14,175000.0,95000.0,2uqka3dzvppat1hcmpuhkdj2cuytnvp6aq4evybqn38j
