token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
duk,duk,,0.006637,2024-05-01_20-06-16,120,0,1,23.0,1,0,0,0,0,37000.0,66000000.0,c9mzuctlnblw3jear1hkvwodofagjgrqkk3zfuakalsc
Racist Dog,RACIST,,0.00005237,2024-05-01_20-06-16,480,119,18,75000.0,118,5.86,1.53,1.53,1.53,21000.0,52000.0,5j8pdeb3htrjpk27ohmemcuvaccjk7hhq4vdxvbuxgba
Book of Michi,$BOMI,,0.00009170,2024-05-01_20-06-16,540,484,210,147000.0,434,20.84,77.77,77.77,77.77,28000.0,91000.0,dx9otevyqu8pi46mny9je3ahnaydwja8woh2o4uwtbky
Pichi,PICHI,,0.01029,2024-05-01_20-06-16,660,77,19,12000.0,70,-57.38,691,691,691,73000.0,10000.0,8mlh573bbsyo5som3jmff4yajwvzoyru8bgcfmihdbuh
kunye weast,yezzey,,0.001047,2024-05-01_20-06-16,720,199,737,18000.0,277,-25.15,-57.57,-57.57,-57.57,16000.0,10000.0,gfh1ymhxxzeb6gwoewr57b5xug2hjurxaymujkt117ox
KAIBYŌ,KAIBYŌ,,0.069957,2024-05-01_20-06-16,780,346,169,42000.0,312,51.17,371,371,371,62000.0,77000.0,4ukg228n8nloczmnmvoamouynanzgqpyfet5anq7xxkx
Sylvester,SYLVESTER,,0.054357,2024-05-01_20-06-16,900,481,394,48000.0,413,35.97,146,146,146,24000.0,43000.0,bcoqfrwszb2t1fxn79gvdx2dbbvt42cugwqr8t4qok6o
kawaii pengu,kawaii,,0.0002414,2024-05-01_20-06-16,900,634,373,189000.0,503,115,7956,7956,7956,34000.0,241000.0,ckmgcvcjohobeqpgqxybxnayxpvvkcysrkm73a7gd85e
sheitlock homeless,SHEIT,,0.051759,2024-05-01_20-06-16,1620,338,225,19000.0,238,-4.84,-42.33,-42.33,-42.33,14000.0,17000.0,a8is4glj5vvpup4wltzse5rvtvktwmkddt4ka8meydkd
Spider Cuz,CUZ,,0.051750,2024-05-01_20-06-16,1620,94,88,14000.0,92,-5.13,1.98,1.98,1.98,23000.0,17000.0,3mf9pduks4ckvywdghsbyywqfxuhsesqsnpdx9fcouqd
SnackSwap,SNACK,,0.0005000,2024-05-01_20-06-16,2280,130,19,14000.0,36,1.36,7.16,7.16,7.16,96000.0,50000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Obuma,Obuma,,0.053199,2024-05-01_20-06-16,2520,616,465,44000.0,401,3.35,367,367,367,29000.0,31000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.00004510,2024-05-01_20-06-16,2880,411,250,91000.0,312,-51.49,-12.70,-12.70,-12.70,19000.0,45000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.00004943,2024-05-01_20-06-16,3120,975,698,350000.0,662,18.71,-4.40,-4.40,-4.40,20000.0,34000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001082,2024-05-01_20-06-16,3480,1448,898,431000.0,851,-27.90,109,109,109,31000.0,108000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00002032,2024-05-01_20-06-16,3780,217,167,28000.0,254,0.48,-42.98,-60.12,-60.12,13000.0,20000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079645,2024-05-01_20-06-16,3900,196,152,82000.0,173,0,-69.52,-12.80,-12.80,17000.0,965.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00004790,2024-05-01_20-06-16,4500,814,804,125000.0,539,-8.42,-92.82,552,552,35000.0,47000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00001841,2024-05-01_20-06-16,4560,417,264,65000.0,307,16.63,1.92,-64.00,-64.00,12000.0,18000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.00002746,2024-05-01_20-06-16,4680,1831,1228,325000.0,1188,36.58,-91.56,389,389,28000.0,33000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
AiDrop,AiDrop,,0.00002349,2024-05-01_20-06-16,5040,625,483,101000.0,497,10.08,-11.05,-54.47,-54.47,14000.0,23000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
