token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Runestone💹,Runes💹,,0.008572,2024-05-01_18-59-20,60,51,15,11000.0,51,9.77,9.77,9.77,9.77,29000.0,857000.0,5ju7phzugsrsgbycuhe9uyr49v9hnwcllt3e5yvpephr
Tesla wif Tesla,TESLA,,0.054345,2024-05-01_18-59-20,120,61,10,11000.0,61,117,117,117,117,58000.0,43000.0,4extgdcm1hokclp3zwriz49wrum5rntca46cpq8dftp2
JCwol,JCWOL,,0.0003562,2024-05-01_18-59-20,480,253,101,28000.0,205,93.29,4746,4746,4746,92000.0,35000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00001293,2024-05-01_18-59-20,540,230,144,42000.0,233,-42.71,-74.70,-74.70,-74.70,10000.0,12000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
GUMMY MANEKI,GMANEKI,,0.00002428,2024-05-01_18-59-20,660,72,6,54000.0,37,9.73,22.26,22.26,22.26,109000.0,60000.0,epetblzkxjyfxocoagpxiayhfk6feqcprp2vrttaeztn
Telegrem,TG,,0.0004232,2024-05-01_18-59-20,660,941,362,169000.0,641,8.04,7436,7436,7436,10000.0,52000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
Four Months CZ,FOMO,,0.00005536,2024-05-01_18-59-20,660,72,21,12000.0,63,-28.62,324,324,324,53000.0,55000.0,gwkqwu5suoead9vsriqah1sjxhnrbcmvaz8qkfspveps
Trump is a Dog,TrumpDog,,0.056568,2024-05-01_18-59-20,1020,110,11,71000.0,47,8.82,37.59,37.59,37.59,92000.0,54000.0,d7yw1vhfhac6ja8m3sje1yj1rmnhjgx5qxr3xd549bmk
AiDrop,AiDrop,,0.00002450,2024-05-01_18-59-20,1020,499,366,84000.0,430,-30.26,-52.52,-52.52,-52.52,14000.0,24000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.051825,2024-05-01_18-59-20,1740,126,30,20000.0,128,0,26.63,26.63,26.63,97000.0,54000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.001993,2024-05-01_18-59-20,1740,372,213,67000.0,321,-40.80,587,587,587,87000.0,19000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.00007402,2024-05-01_18-59-20,1740,244,635,22000.0,260,-4.80,673,673,673,48000.0,74000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.001000,2024-05-01_18-59-20,1800,92,16,74000.0,42,1.51,5.97,5.97,5.97,96000.0,50000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00002978,2024-05-01_18-59-20,2160,618,444,123000.0,481,-28.75,-44.08,-44.08,-44.08,16000.0,28000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.058950,2024-05-01_18-59-20,2220,333,328,27000.0,310,-15.25,-44.50,-44.50,-44.50,12000.0,895.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Duper Dog,DUPDOG,,0.0004881,2024-05-01_18-59-20,2280,130,16,15000.0,36,0.42,3.36,3.36,3.36,95000.0,48000.0,glb3cge2emtoxm3xpcydrawrfttp6g26gcesp6hwzgct
Bidenwifhat,BIDEN,,0.00001717,2024-05-01_18-59-20,2400,213,14,13000.0,46,12.22,123,123,123,77000.0,58000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
Trumpwifhat,Trumpwif,,0.058997,2024-05-01_18-59-20,2520,292,12,15000.0,48,5.82,65.18,65.18,65.18,137000.0,89000.0,aqtfbhpnexa6knppfn1qpfmtzeeshatwg7timwkiwhv9
