token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
DEXSURFER,DEXSURFER,,0.00005624,2024-05-09_15-40-59,120,72,13,72000.0,73,-18.74,-18.74,-18.74,-18.74,23000.0,56000.0,4azwfvces2hsptagqs1mru935yxqcn3ecepcqtar87ak
TRUMPWIFHAT,TRUMPWIF,,0.057507,2024-05-09_15-40-59,300,53,9,22000.0,45,6.87,6.36,6.36,6.36,144000.0,74000.0,bjkhegxtiber1dxp2z8f26dxj2kbvadumbdkm1cayywe
Flawor,FLAWOR,,0.00002057,2024-05-09_15-40-59,360,294,202,74000.0,311,-46.07,-70.20,-70.20,-70.20,14000.0,20000.0,hlbz4gfi8pucueztj7rsfhuzqsq6tng5dzuvpyszwdnf
BORED AT WORK,BAW,,0.00004089,2024-05-09_15-40-59,360,94,48,52000.0,111,-31.69,-29.55,-29.55,-29.55,20000.0,40000.0,dq17ihspj1qmvtjupqrx5j46dfcvcbzoxopu6eetp2ve
Donald Trump,Trump,,0.00001163,2024-05-09_15-40-59,420,85,14,39000.0,57,7.05,13.18,13.18,13.18,129000.0,68000.0,6yy2peu1bdn3pfddsaiwobytw4phekiscshvrxcmeqna
Nala Cat,NALA,,0.00005496,2024-05-09_15-40-59,600,139,49,23000.0,111,-3.34,1713,1713,1713,12000.0,54000.0,5bnesjrwrgbequgizgdyljc2fvbmwxnzpp8gjawlyyfy
TRUMPWIFHAT,TRUMP,,0.057734,2024-05-09_15-40-59,660,77,10,94000.0,42,17.77,36.25,36.25,36.25,131000.0,76000.0,bfwuctwc1bdtnhzxsc7gftumivebnm3esrqbyhbqjecz
Smokey the Bear,Smoke,,0.0004319,2024-05-09_15-40-59,780,301,158,57000.0,235,-4.22,5027,5027,5027,11000.0,43000.0,gnwc7z1derp7bik3t7uefqg3qkgk5kfssnnaf1uzv92h
Sugar Glider Inu,SUGLI,,0.001826,2024-05-09_15-40-59,840,890,757,256000.0,832,1.98,20.27,20.27,20.27,333000.0,182000.0,2jbwqnluklknffchpbxufnxqkda83ewyjbiqku3ozdhe
TRUMP2024,TRUMP2024,,0.00002509,2024-05-09_15-40-59,900,114,13,10000.0,53,5.77,27.93,27.93,27.93,182000.0,102000.0,2uqka3dzvppat1hcmpuhkdj2cuytnvp6aq4evybqn38j
HOOTIE,HOOTIE,,0.00002589,2024-05-09_15-40-59,960,272,188,44000.0,271,-29.86,-55.60,-55.60,-55.60,16000.0,25000.0,e557ffatrfnbbdaas199gheejcrrpuaddfahywhqvbxj
SolGoodman,Saul,,0.067123,2024-05-09_15-40-59,960,135,67,53000.0,140,-37.89,-82.23,-82.23,-82.23,13000.0,712.0,2qu5hfz3ovnmsgd9vqqpifj3twd8nfzyrhbuawajudmn
OBAMA WIF HAT,OBAMAWIF,,0.00004005,2024-05-09_15-40-59,1200,359,366,30000.0,321,30.69,35.96,35.96,35.96,17000.0,40000.0,8z1xt6laaz8rz5ijmy7wuk6rk8dmcqga6exjbmzhxh6z
dogwifhat2,WIF2,,0.002267,2024-05-09_15-40-59,1200,416,274,217000.0,95,8.34,148K,148K,148K,118000.0,22000000.0,4plf387gjeb7ieajm7nrkmb3atctsx2btpkwtgpmptkx
BIG NATURALS,$NATURALS,,0.00001295,2024-05-09_15-40-59,1320,201,172,52000.0,229,25.26,-77.71,-77.71,-77.71,11000.0,12000.0,daa7dgwaqv8x9kursdl8h9dibuc8ai1kvh6swhyfprb
YIN,YIN,,0.007982,2024-05-09_15-40-59,1380,1399,910,689000.0,851,5.26,895,895,895,51000.0,79000.0,5hmvnk1caccaq9tg2l6cdpjbvchgm6nbcaowt1emxsxy
Trump Hair,Trump Hair,,0.059557,2024-05-09_15-40-59,1440,149,15,94000.0,47,8.37,69.51,69.51,69.51,79000.0,51000.0,ey28qgv9gojeq7hfdt7kanzc4iumal2vdsy9mbwnbdsq
Apein,AEI,,0.063017,2024-05-09_15-40-59,1440,152,59,14000.0,151,-2.26,97.42,97.42,97.42,34000.0,30000.0,fxhdnvk95uuwtsy1dxgrihihusqz1i4n8pfwhy42snpz
trumpio,trumpio,,0.00008962,2024-05-09_15-40-59,1500,1411,915,393000.0,934,-27.88,52.28,52.28,52.28,30000.0,86000.0,5r9ps85epwzbskfv918i4bdsbknbuopanuhy5apff5ke
The Catrix,CATRIX,,0.0006942,2024-05-09_15-40-59,1740,1437,1059,783000.0,704,-31.50,40904,40904,40904,64000.0,694000.0,8ro8tygczvbaaivtv4t1tutbdw4aaaa6v3fcfylmuz8y
Yeet Sol,YEETS,,0.051282,2024-05-09_15-40-59,2040,269,169,18000.0,217,4.72,-54.22,-54.22,-54.22,13000.0,12000.0,earyhxo8shg1bdynp3wcveurtwkxaw9r7a2tccrnbigg
McDonald’s cat,MCAT,,0.00002810,2024-05-09_15-40-59,2400,73,41,10000.0,69,-34.19,-6.65,-6.65,-6.65,20000.0,28000.0,6u297vdecbgoc3ovxwttnrkxr98omzwvnmpfwzwuhbuy
Mystery Coin Launch,Rabolution,,0.053679,2024-05-09_15-40-59,2580,260,173,55000.0,234,4.33,-93.69,-93.69,-93.69,60000.0,36000.0,2dupf5yezz2u5db38dgtbmxr9gfuzghmg6g2o7hsyiux
Cabal Trump,CABALT,,0.00008915,2024-05-09_15-40-59,2760,1633,951,310000.0,1142,-23.65,52.76,52.76,52.76,30000.0,89000.0,3c3ew8lccj37qqnlvwf3t2ytjircuk5t6ffe6f6bfaa5
Solana Rhoades,SOL,,0.065433,2024-05-09_15-40-59,2820,284,237,19000.0,244,39.59,0.13,0.13,0.13,14000.0,15000.0,9tq7qejswkgwrwweftnupsae457d4xov14qo7pu55ubm
Trump Family Guy,FTrump,,0.051346,2024-05-09_15-40-59,2880,383,239,75000.0,318,0,77.87,77.87,77.87,18000.0,13000.0,9bs8a8eye4udazhyqpmqf3iw35hxb84ml9nmnkxrxeyc
VOTE BIDEN,VOTEB,,0.00002578,2024-05-09_15-40-59,2880,57,42,31000.0,50,-34.36,1038,1038,1038,15000.0,25000.0,bxebxo5amgguqz1fa161bzdkurm6nrhblxxv2kb1pj5d
Pepe Kart Racing,PEPEKART,,0.052329,2024-05-09_15-40-59,2940,376,380,37000.0,300,0,80.80,80.80,80.80,21000.0,23000.0,hrmwz66g1dr9czfojkbwepjz6gsr9ccymzfrzzh1dre6
Shiba Shootout,SHIBASHOOT,,0.01685,2024-05-09_15-40-59,3240,17,7,71000.0,9,0,-0.09,-0.09,-0.09,77000000.0,370000000.0,hfptm2tbc6pyk2nlfymv2vgeaadydxetj4nrn2dfseau
trumpwifcat,TCAT,,0.0001032,2024-05-09_15-40-59,3360,246,122,14000.0,217,2.61,1146,1146,1146,40000.0,10000.0,cfthlypsnyvlzncqjxurkpy8rb44nu41npog19wttbnb
Ore,ORE,,0.051335,2024-05-09_15-40-59,3540,27,7,552.0,7,0,168,168,168,15000.0,13000.0,cuxe8oekmxhfzthez9vkgevvrj9l1mf3tjy66gfjnfvy
KENNEDYWIFHAT,KENNEDYWIF,,0.055738,2024-05-09_15-40-59,3600,420,326,98000.0,333,-5.44,-26.71,581,581,41000.0,57000.0,4bhosupeeqdvhi7jgik86hrdq2o8yrdm5njisqn4o8sy
Boomers on Sol,BOOMER,,0.01675,2024-05-09_15-40-59,3600,0,6,268.0,5,0,-2.63,-2.63,-2.63,66000.0,165000000.0,2moyluzq7w7fbis9kvtptrvhlgt2rljtngdmycdmaxnc
Americoin,AMC,,0.081700,2024-05-09_15-40-59,3720,341,265,36000.0,280,-3.06,-56.59,157,157,19000.0,17000.0,4zqeijgr5kvp5apu8gtyvfloc7nneukkmngtyryehvst
Hog,HOG,,0.0005470,2024-05-09_15-40-59,3720,6516,4935,757000.0,2019,8.50,112,17903,17903,83000.0,547000.0,ffuaa2tv4vdb8o8fls1oc7qat13nxs1hv8hbtbfvp9ut
1st Lady,$FILADY,,0.00003667,2024-05-09_15-40-59,3840,1176,865,259000.0,758,-6.05,-40.66,-40.06,-40.06,19000.0,36000.0,flq4ci2x4c8gfmq81bt5marfszo5s5w56tenb6poakjt
Troump,TROUMP,,0.055269,2024-05-09_15-40-59,3960,170,63,92000.0,158,0,5.13,101,101,71000.0,52000.0,3wjvqpg9aret8kkynvkc9rrwmxchzilvenc4hkjubwrk
Bunny Money,BUNNY,,0.0007601,2024-05-09_15-40-59,4080,351,248,58000.0,287,-6.31,31.74,1148,1148,16000.0,76000.0,8uyb6eqcvgczk1ye3kueegjqaakedf3khm4sdyhn5doh
TrumpWifDog ,TRDOG,,0.00006106,2024-05-09_15-40-59,4140,509,323,65000.0,410,-12.52,62.44,1377,1377,15000.0,61000.0,h6uzbcln54mhwkt21gkpkvhixutenonsueocysgkdxfe
Pablo,COCO,,0.051330,2024-05-09_15-40-59,4200,131,111,29000.0,76,0,94.62,279,279,12000.0,13000.0,fymzwulpr7am14ias7eygwddjuaaswf46886m72xmj6z
Tony Moontana,MOON,,0.00003751,2024-05-09_15-40-59,4260,172,91,12000.0,137,42.91,283,1531,1531,74000.0,37000.0,avzceqrp5ehpbt8repraerkzvipmznpkvu1a68darys9
Up Like Trump,TrUPm,,0.067171,2024-05-09_15-40-59,4320,208,227,14000.0,168,0,-61.15,6.54,6.54,12000.0,717.0,7aznu6aejdhd5b3gz1nebhp7c4erh8kavfkusrhbzcyf
MasterCat,MASTERCAT,,0.03191,2024-05-09_15-40-59,4320,8,8,572.0,12,0,12.93,12.93,12.93,27000.0,311000.0,evrpgy9jboqemfeh4mw4xqwrlxsln52ypz2niflfugjm
Duke Dennis,AMP,,0.00001121,2024-05-09_15-40-59,4440,287,174,22000.0,274,0,12.13,565,565,78000.0,11000.0,8hioxxynpvxsdextkyhlgk6zqc6pkqgicdzwjnypyrwk
Trump's Wife,MELANIA,,0.00007223,2024-05-09_15-40-59,4500,1080,1072,121000.0,933,14.46,-88.75,279,279,39000.0,49000.0,3asa27si6jfryiab6vxbvu8omhi46qstcyobrddbvqqc
mubzen (RELAUNCH),mubzen,,0.058838,2024-05-09_15-40-59,4620,382,327,100000.0,330,-0.84,-46.87,-85.32,-85.32,95000.0,87000.0,4i76sd5rumtiuhlra9cecqcmk5nrrjgsfpxufcuhcvyz
KIMWIFHAT,KIMWIF,,0.0003100,2024-05-09_15-40-59,4680,540,505,58000.0,483,-2.23,-4.27,29.38,29.38,39000.0,31000.0,bettdjavnmqbnt7hzjuw4ma9a9w8hwsdb12frgegqzfz
iBaby,IBABY,,0.0003747,2024-05-09_15-40-59,4800,174,110,51000.0,151,-1.99,-67.41,711,711,96000.0,37000.0,126wpg3c1x7unjawmuj4fj45axfhnyweoct7xglzyxzs
Smokey The Bear,SMOKEY,,0.054043,2024-05-09_15-40-59,4980,751,486,253000.0,471,-3.04,-66.67,305,305,38000.0,40000.0,ei4jvlnm8nvar72djqaqnwknftqfzegqsdqsy2gnwndw
Forrest Trump 2024,FTRUMP,,0.052143,2024-05-09_15-40-59,5160,183,169,26000.0,192,0,-5.94,-49.99,-49.99,33000.0,21000.0,46pn2mqjp1usr4ebqnd9pttiyjyjjadtwslwn6kylnkf
