token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
zazu,zazu,,0.051738,2024-05-01_20-09-46,60,21,0,201.0,21,33.06,33.06,33.06,33.06,30000.0,17000.0,3v72fqvtxpd9hykgkz76ej9wuuar2ueesntxlqm3f7cx
Runestone,RUNE,,0.001363,2024-05-01_20-09-46,60,76,14,59000.0,74,4.39,4.39,4.39,4.39,266000.0,136000.0,4557tv1kakahynr6f1n2gu8tp7rdovmdajjfgvuqyqs8
czSAFU,czSAFU,,0.051155,2024-05-01_20-09-46,180,4,0,38.0,3,15.28,15.28,15.28,15.28,10000.0,11000.0,9spsbq9acl6fsc9lydcxrwwwc5hquqjopxaypxwfz7yb
duk,duk,,0.006637,2024-05-01_20-09-46,360,0,1,23.0,1,0,0,0,0,37000.0,66000000.0,c9mzuctlnblw3jear1hkvwodofagjgrqkk3zfuakalsc
Racist Dog,RACIST,,0.00008008,2024-05-01_20-09-46,720,134,32,10000.0,133,101,55.25,55.25,55.25,26000.0,80000.0,5j8pdeb3htrjpk27ohmemcuvaccjk7hhq4vdxvbuxgba
Book of Michi,$BOMI,,0.0001083,2024-05-01_20-09-46,720,629,287,185000.0,547,22.96,110,110,110,30000.0,108000.0,dx9otevyqu8pi46mny9je3ahnaydwja8woh2o4uwtbky
Pichi,PICHI,,0.02431,2024-05-01_20-09-46,840,92,28,16000.0,74,307,1768,1768,1768,11000.0,24000.0,8mlh573bbsyo5som3jmff4yajwvzoyru8bgcfmihdbuh
kunye weast,yezzey,,0.0008707,2024-05-01_20-09-46,900,207,739,18000.0,278,-33.30,-64.73,-64.73,-64.73,15000.0,871.0,gfh1ymhxxzeb6gwoewr57b5xug2hjurxaymujkt117ox
KAIBYŌ,KAIBYŌ,,0.051389,2024-05-01_20-09-46,1020,368,184,45000.0,326,33.42,556,556,556,74000.0,10000.0,4ukg228n8nloczmnmvoamouynanzgqpyfet5anq7xxkx
Sylvester,SYLVESTER,,0.052645,2024-05-01_20-09-46,1080,497,407,49000.0,423,-28.67,49.26,49.26,49.26,18000.0,26000.0,bcoqfrwszb2t1fxn79gvdx2dbbvt42cugwqr8t4qok6o
kawaii pengu,kawaii,,0.0001691,2024-05-01_20-09-46,1140,765,486,234000.0,582,-12.36,5544,5544,5544,28000.0,169000.0,ckmgcvcjohobeqpgqxybxnayxpvvkcysrkm73a7gd85e
Gury Vee,GuryVee,,0.0002650,2024-05-01_20-09-46,1440,6,24,12000.0,6,0.71,4.29,4.29,4.29,10000.0,265000.0,5jfu1yekokgnvkgowhbhdgayzknxxz6d4kfeqwx5wiwu
sheitlock homeless,SHEIT,,0.051226,2024-05-01_20-09-46,1860,338,230,19000.0,238,-30.30,-59.81,-59.81,-59.81,12000.0,12000.0,a8is4glj5vvpup4wltzse5rvtvktwmkddt4ka8meydkd
Spider Cuz,CUZ,,0.051683,2024-05-01_20-09-46,1860,94,91,14000.0,92,-3.82,-1.91,-1.91,-1.91,23000.0,16000.0,3mf9pduks4ckvywdghsbyywqfxuhsesqsnpdx9fcouqd
SnackSwap,SNACK,,0.0005007,2024-05-01_20-09-46,2520,142,21,16000.0,37,1.10,7.30,7.30,7.30,96000.0,50000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Obuma,Obuma,,0.052258,2024-05-01_20-09-46,2700,620,479,45000.0,403,-38.17,230,230,230,24000.0,22000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.056489,2024-05-01_20-09-46,3060,417,341,98000.0,319,-88.60,-87.44,-87.44,-87.44,75000.0,64000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.00006878,2024-05-01_20-09-46,3300,1005,708,354000.0,672,69.17,33.01,33.01,33.01,24000.0,48000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001239,2024-05-01_20-09-46,3660,1485,917,439000.0,863,10.57,111,139,139,33000.0,123000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00002044,2024-05-01_20-09-46,4020,218,168,28000.0,256,0.56,-22.13,-59.89,-59.89,13000.0,20000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
