token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Lilo Twins,$LILO,,0.00006952,2024-05-01_19-14-41,46,41,3,38000.0,41,34.45,34.45,34.45,34.45,24000.0,48000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
FuckBiden,FuckBiden,,0.054894,2024-05-01_19-14-41,120,41,5,15000.0,39,5.42,5.42,5.42,5.42,80000.0,41000.0,9aukhv65hsfkgwzqe5uf6gv5ispns6lsnpkh9qn8mnpe
No Rug Rick Token,$NRRT,,0.00009309,2024-05-01_19-14-41,360,387,129,92000.0,354,58.26,79.72,79.72,79.72,28000.0,93000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Doraemon,Doraemon,,0.058433,2024-05-01_19-14-41,480,68,8,28000.0,48,6.59,9.83,9.83,9.83,117000.0,61000.0,9lkvakpjptjwxekyrwvg5haq6panb8cujflkiybc1kwb
Cough Cat,CCat,,0.00002508,2024-05-01_19-14-41,720,176,114,24000.0,216,-4.45,-50.79,-50.79,-50.79,14000.0,25000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.061385,2024-05-01_19-14-41,780,189,122,76000.0,166,-4.40,25.23,25.23,25.23,20000.0,13000.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.0004040,2024-05-01_19-14-41,1380,563,466,90000.0,411,-33.66,5397,5397,5397,10000.0,40000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00002188,2024-05-01_19-14-41,1500,329,183,52000.0,275,-5.37,-57.20,-57.20,-57.20,13000.0,21000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.0003696,2024-05-01_19-14-41,1560,1325,538,237000.0,868,14.10,6481,6481,6481,10000.0,45000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
Four Months CZ,FOMO,,0.0001147,2024-05-01_19-14-41,1620,116,58,23000.0,75,117,778,778,778,77000.0,11000.0,gwkqwu5suoead9vsriqah1sjxhnrbcmvaz8qkfspveps
AiDrop,AiDrop,,0.00002921,2024-05-01_19-14-41,1980,548,409,88000.0,455,2.84,-43.39,-43.39,-43.39,15000.0,29000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.051962,2024-05-01_19-14-41,2640,136,33,23000.0,136,3.70,36.16,36.16,36.16,10000.0,58000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.003180,2024-05-01_19-14-41,2640,456,274,81000.0,377,32.05,997,997,997,11000.0,31000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.00005912,2024-05-01_19-14-41,2700,273,658,25000.0,274,-6.93,518,518,518,43000.0,59000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.0009791,2024-05-01_19-14-41,2760,117,19,12000.0,42,-2.97,3.72,3.72,3.72,95000.0,48000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00003209,2024-05-01_19-14-41,3060,683,502,135000.0,519,-11.03,-39.74,-39.74,-39.74,16000.0,30000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.00001283,2024-05-01_19-14-41,3120,343,333,27000.0,313,17.44,-20.43,-20.43,-20.43,15000.0,12000.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Duper Dog,DUPDOG,,0.0005039,2024-05-01_19-14-41,3180,160,20,19000.0,36,-0.05,6.71,6.71,6.71,97000.0,50000.0,glb3cge2emtoxm3xpcydrawrfttp6g26gcesp6hwzgct
Bidenwifhat,BIDEN,,0.00002187,2024-05-01_19-14-41,3300,278,15,18000.0,47,5.68,183,183,183,88000.0,74000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
Trumpwifhat,Trumpwif,,0.00001034,2024-05-01_19-14-41,3420,377,12,20000.0,48,2.37,89.98,89.98,89.98,147000.0,102000.0,aqtfbhpnexa6knppfn1qpfmtzeeshatwg7timwkiwhv9
Swrek,SWREK,,0.052682,2024-05-01_19-14-41,3540,200,214,40000.0,220,-25.26,-94.86,-94.86,-94.86,48000.0,26000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Trumpwifhat,TRUMP,,0.00001224,2024-05-01_19-14-41,3540,410,14,18000.0,50,3.28,78.78,78.79,78.79,143000.0,96000.0,8kzsthnaho621mrrkklskvochk6sbrlfmguu7efcar9n
Book Of Prison,BOP,,0.053287,2024-05-01_19-14-41,3540,720,566,63000.0,507,9.71,-35.55,372,372,29000.0,32000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.053286,2024-05-01_19-14-41,3660,496,425,158000.0,445,0.14,-85.94,-93.87,-93.87,54000.0,32000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
