token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
Gucci Cat,GUCAT,gz98dqfzc4kyrjtuj5mmytdedhwrngu6m8hbfedf1xam,0.0004204,2024-04-29_16-26-39,2940,1288,1400,225000.0,957,50.98,-92.79,37.43,37.43,41000.0,42000.0
FukuFlip,FUKU,6eazjb5czq9pneznjpv9qsxk7od72fpwnct4nhee3afy,0.00002980,2024-04-29_16-26-39,2940,1451,1181,502000.0,1007,-1.40,-28.82,94.69,94.69,41000.0,29000.0
CoolCoin,COOL,9yapdswtaoduu79v5h8nteutbqxzpffymgjhftkjh84v,0.053619,2024-04-29_16-26-39,3060,43,9,559.0,3,0,2.50,33.66,33.66,62000.0,36000.0
Quack Capital,QUACK,7afkvh92osy8i4jacgdb2ti6otevdi3mbjxrzbnhfijv,0.0005529,2024-04-29_16-26-39,3120,10015,4803,168000000.0,4900,-12.99,47.97,4853,4853,375000.0,19000000.0
Fag Inu,FAG,h3amjrgssawjstugfxawswtfqde1fggazuw8sykw3zwb,0.0007519,2024-04-29_16-26-39,3180,81,130,27000.0,146,0,0.84,-65.21,-65.21,14000.0,752.0
PEPE,PEPE,fr63zeanajqxtakhxst5st37brcpcpmwn6hyjozhlxnp,0.066532,2024-04-29_16-26-39,3240,187,717,14000.0,162,0,5.60,9.61,9.61,11000.0,653.0
Book of Trillionaire,BOT,2qeusgxrdwsbzkredkqqcegxtdq9knrephhtdzgz1jpi,0.0001161,2024-04-29_16-26-39,3240,415,1100,71000.0,413,-0.02,0.97,-46.34,-46.34,20000.0,11000.0
SamTheCat,SAM,6mjjftvvsykrtuudzxcuqvthfw9hz5zptgcn7okjyujw,0.058012,2024-04-29_16-26-39,3360,163,541,27000.0,165,-0.37,-5.55,-70.37,-70.37,13000.0,801.0
FREECZ,FREECZ,7qsryqgr5kqw8jondqer8bonu6a9oztxijbe6dhc6lds,0.054573,2024-04-29_16-26-39,3360,288,263,57000.0,306,0,-46.97,-91.58,-91.58,66000.0,45000.0
HurryPutterJeoBodenMew10Inu,SOLANA,d6dobcppqgugxqtk7vnuwan3ckjkw8nrjljqgjw9oz7d,0.053025,2024-04-29_16-26-39,3420,509,532,111000.0,495,-4.24,-7.28,10.22,10.22,28000.0,30000.0
Quack Capital,QUACK,5h68dnafzxz8gqy2n5lp6aevsn6ktqfy7qssjxmcl7nf,0.001712,2024-04-29_16-26-39,3840,765,818,340000.0,625,0,-2.03,-57.11,-57.11,28000.0,17000.0
FreeCZ,FREECZ,f23slq12kwukpwnvjv5s3t1lcdm4371rdcmyjxk3eieg,0.001807,2024-04-29_16-26-39,3960,705,516,55000.0,323,-16.43,-38.17,320,320,16000.0,18000000.0
PROBE,PROBE,8k8gukp4snzvmzvymlmutlh9qlgmpktaoklsgwjxrehr,0.02857,2024-04-29_16-26-39,4200,0,2,788.0,2,0,0,-1.44,-1.44,15000.0,285000000.0
Chimpepe,CHPEP,872whebbam2spp82kkbeupepy2h3dmsprouxrvwcl6as,0.055856,2024-04-29_16-26-39,1140,395,250,16000.0,266,1.86,-7.31,318,318,49000.0,58000.0
Erca,$ERCA,9bxv7vjctnek2fyaya1o9wqelrore73nr19zeczumadi,0.054127,2024-04-29_16-26-39,1200,1273,956,372000.0,898,0,0.46,-93.31,-93.31,63000.0,41000.0
Shork Tenk,TENK,bondry5ughg7dlcob4updidtsckgyrxf96vvrihksrks,0.0001045,2024-04-29_16-26-39,1680,3417,2742,758000.0,1614,30.23,-33.28,5610,5610,17000.0,79000.0
CatteCat,CAT,g9nlnhmlyf8bpqvk1fsfxoaanioyfnnbl35tqrd7wjuq,0.00006476,2024-04-29_16-26-39,1800,885,736,159000.0,569,-5.21,-3.67,837,837,44000.0,64000.0
JEWTUBE,JEWTUBE,57fyydn4z4g1dp9pfjxa3pkey8tnxbuhqsj2kgqcvf6w,0.068058,2024-04-29_16-26-39,1800,349,363,33000.0,287,-0.18,0,-40.67,-40.67,12000.0,806.0
THIEFZ,THIEFZ,hcm6h8ht4mgya6wtoaj11e1hgdyb1goi8ttxuuusybd1,0.053076,2024-04-29_16-26-39,2280,70,49,36000.0,64,0,-3.46,-11.95,-11.95,18000.0,25000.0
Sol Sacks,SACKS,pzgurmcly4jsrn36hwc7eqfbm64ngyquwqckapvht3l,0.068924,2024-04-29_16-26-39,2400,464,597,59000.0,364,0,5.87,49.16,49.16,13000.0,892.0
BOOK OF MILLIONAIRES,BOME2.0,bqfg6jvhmkqds8dqxy6rdjvdcqfghhvgdp4xkbjrf6gf,0.051273,2024-04-29_16-26-39,2460,15,5,18000.0,2,0,0,82.44,82.44,18000.0,12000.0
popoPOPOpopo,popo,i6my4szggulhraajlq7xmmbh54lmsrq5c2avguc334p,0.00008687,2024-04-29_16-26-39,2520,5446,4718,16000000.0,2375,0.72,-31.88,9579,9579,19000.0,86000.0
MTV,MTV,8nulanpnwrocbysldxd3odlfhgw99rxab1vbaaoyfhud,0.0001174,2024-04-29_16-26-39,2640,213,747,46000.0,246,-0.09,0.88,-56.54,-56.54,21000.0,11000.0
deth,deth,6mjysnfqukt5wnkjjjvjucrak4yvdhqmr2rap3xynlcz,0.053768,2024-04-29_16-26-39,2640,587,509,125000.0,504,0,1.65,-92.89,-92.89,59000.0,37000.0
book of pump.fun,BOPF,96zjvb3bkpboibjmnupasb2jb2gony6gxwfcdfivvpm7,0.054364,2024-04-29_16-26-39,2760,995,835,374000.0,764,0,-0.19,-91.71,-91.71,65000.0,43000.0
Game Of Cats,GOCA,4hvmyszyeruy39fdjaqre6qrz9muqrewf4pawjlptibt,0.0001238,2024-04-29_16-26-39,3000,554,681,111000.0,500,0,-7.72,-51.58,-51.58,20000.0,12000.0
FreeCZ,FREECZ,ckfht1jbqaas5tlgp2ygqp6v5f6czzjzqivcwarqp1tn,0.001792,2024-04-29_16-26-39,3900,5662,3826,77000000.0,2471,-17.90,-41.38,3225,3225,495000.0,17000000.0
Wrapped Commune AI,wCOMAI,3ouzvgzqpt4y8d2yrtytkgec5rgu1ufzsehax8crp5lm,0.8043,2024-04-29_16-26-39,4020,143,50,38000.0,143,0,0,2.96,2.96,15000.0,80000.0
Don't Mess With Tesla,DMWTesla,8qvbuadavgqqij6yzhfwt3g4dp4rqcvpyjxdygm4qqec,0.0003605,2024-04-29_16-26-39,4200,2521,1136,924000.0,353,-1.90,5.57,114,114,501000.0,360000.0
Fxck Raydum,$FRAY,bwiqsnfyipqduhcpvlz2qsk7bcduskifnowtxkhkm4vq,0.054031,2024-04-29_16-26-39,4380,417,253,67000.0,346,0,5.96,296,296,83000.0,18000.0
Sir Brett,$SRBRETT,3dey61xawcwdkemkrxur8zn3tda6r5bmgjremmsuzbod,0.055200,2024-04-29_16-26-39,4380,958,659,161000.0,663,0.38,0.13,-89.96,-89.96,70000.0,52000.0
SOL Goodman,SOLG,gb5hkbus15meayzzinbevyn6arbjb1p3fp8ztgd2emyv,0.00008547,2024-04-29_16-26-39,4440,249,398,41000.0,266,0,0,-54.63,-54.63,15000.0,855.0
Quack Capital,QUACK,fyqot5ycrxwqbrtdf27jhyhbbsovoflmxtnbela5blof,0.001029,2024-04-29_16-26-39,1560,154,237,26000.0,202,0,0,-70.46,-70.46,18000.0,10000.0
SAKAMOTO,阪本,e7vjtq3xuddq76nxpvupolgu2mbu5t9hhfewg6srgm2s,0.0001095,2024-04-29_16-26-39,1560,375,418,46000.0,368,0,1.95,-45.50,-45.50,17000.0,10000.0
MUFFY,MUFFY,gt4zrbl7n57ozjyesgy7kxkkvulq6dpvcl5adgdvdten,0.00002305,2024-04-29_16-26-39,1620,738,632,116000.0,585,-0.94,19.23,166,166,23000.0,23000.0
Murvel,MURVEL,9ykop8jnl3oytybtqccnn6nj9ma4ybp52xhacawvv2rv,0.067781,2024-04-29_16-26-39,1860,292,350,21000.0,238,0,-5.13,29.07,29.07,12000.0,778.0
Mr.RATBURN,RATBN,cetdcmstk8et9ujqr5nwraufxetceibvc2ekavmxmmgt,0.00007645,2024-04-29_16-26-39,1920,263,191,50000.0,258,0,-1.66,45.92,45.92,26000.0,76000.0
TRANNYMANIACS,TRANY,9ix8wjt4fjkd7tufgrzzebqfkfnznubwbiragmtedyxo,0.055259,2024-04-29_16-26-39,2100,178,280,16000.0,156,0,0,-13.28,-13.28,10000.0,526.0
Quack Capital,QUACK,gk6kylpj1fb418evag7itegxtprb3snbqwbf3uiyr4gk,0.4415,2024-04-29_16-26-39,2100,53,64,30000.0,53,2111,2111,21755,21755,10000.0,177000000.0
ALIEN PEPE,$ALIENPEPE,fzydor5cgumfgaeg4cxlzeljoywguxivqkm4vfzwaus6,0.052576,2024-04-29_16-26-39,2160,900,829,183000.0,717,0,-10.62,27.03,27.03,34000.0,25000.0
Solintel,INTEL,bwqy1qshdufgazsmgwruqxnqh3d5uwd8hfh93kiee8sp,0.066581,2024-04-29_16-26-39,2340,66,78,17000.0,76,0,0,-71.22,-71.22,13000.0,658.0
Cobra,Cobra,7l9qnuoexs1ymazznfwdpbzu3ebc6xw8qpgha6mdozbm,0.00002908,2024-04-29_16-26-39,2400,2387,1423,880000.0,328,-3.13,0.61,70.68,70.68,452000.0,290000.0
The Cheshire Cat,CHESHIRE,3smbe98i7ufnlsiz1kvibivnhut1upjduyuievssaebn,0.00003797,2024-04-29_16-26-39,2460,442,537,52000.0,315,0,31.72,217,217,29000.0,37000.0
Kawaii Cat Samurai,CatSamurai,2umhhnde8kfavfgtbspjuyza4epbesjvxxcxao1bow6r,0.00008592,2024-04-29_16-26-39,2520,155,356,19000.0,190,0,0,-57.62,-57.62,15000.0,859.0
Peaver,PVER,3mbgab8ksrdu89yyaf6h2miuqrxn26knzuel3iuwnaps,0.0003617,2024-04-29_16-26-39,2580,1297,1050,769000.0,863,-1.69,20.87,422,422,14000.0,36000.0
Pepe Wif War,PEPEWWAR,dcp7w7w8xquqy2uxchktjy3kduu65x8whbpbkkw4k1wd,0.051105,2024-04-29_16-26-39,2640,62,84,742.0,62,0,0,17.51,17.51,13000.0,11000.0
Vitamin G,G,hs5jhr2xdrtcnxhefhirlm4usnuekaz5n7lirhdzatsj,0.0001775,2024-04-29_16-26-39,2760,531,517,69000.0,466,0,-4.45,-58.56,-58.56,28000.0,17000.0
PEPE COLA,PEPECOLA,6sjuhwlvaxrjj3wn4dhzwuqwgbdijqvv4j9zwfkmsqfe,0.055766,2024-04-29_16-26-39,2820,34825,6410,11000000.0,2345,-0.64,4.43,42.79,42.79,296000.0,576000.0
