token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Gury Vee,GuryVee,,0.0002590,2024-05-01_19-49-42,240,0,3,invalid value: 260,2,1.91,1.91,1.91,1.91,17000.0,259000.0,5jfu1yekokgnvkgowhbhdgayzknxxz6d4kfeqwx5wiwu
sheitlock homeless,SHEIT,,0.051879,2024-05-01_19-49-42,660,255,164,16000.0,213,-54.58,-38.40,-38.40,-38.40,14000.0,18000.0,a8is4glj5vvpup4wltzse5rvtvktwmkddt4ka8meydkd
Spider Cuz,CUZ,,0.051836,2024-05-01_19-49-42,660,90,64,14000.0,88,36.30,7.02,7.02,7.02,24000.0,18000.0,3mf9pduks4ckvywdghsbyywqfxuhsesqsnpdx9fcouqd
Tony Tony Chopper,Chopper,,0.059564,2024-05-01_19-49-42,780,82,6,47000.0,43,5.96,16.36,16.36,16.36,131000.0,70000.0,3453p9czm9fhkwejzfcmsbp1gtdsnc6n58wd8rkbzvmb
The Zen Zone,ZEN,,0.001633,2024-05-01_19-49-42,1140,1968,1767,489000.0,1953,5.65,25.97,25.97,25.97,292000.0,163000.0,ix7erfst2glxag1dhzur31k1dpxqv4gdxi1sfiupa7r
SnackSwap,SNACK,,0.0004942,2024-05-01_19-49-42,1320,91,12,85000.0,34,0.34,5.91,5.91,5.91,96000.0,49000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Trump is a silly fat guy,FatTrump,,0.00001890,2024-05-01_19-49-42,1320,116,10,89000.0,43,8.92,49.68,49.68,49.68,95000.0,58000.0,3hxclvrteyajvcmmnthgdrqgnwkkcjk6damvhicxoofu
Obuma,Obuma,,0.052605,2024-05-01_19-49-42,1500,548,375,40000.0,369,-26.89,280,280,280,26000.0,26000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.0001030,2024-05-01_19-49-42,1860,319,162,61000.0,268,-29.95,99.41,99.41,99.41,29000.0,103000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.00007471,2024-05-01_19-49-42,2100,880,610,326000.0,616,-15.25,44.48,44.48,44.48,25000.0,52000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.00008247,2024-05-01_19-49-42,2460,1234,761,369000.0,765,-25.58,59.21,59.21,59.21,27000.0,82000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00001754,2024-05-01_19-49-42,2820,204,162,26000.0,243,0.66,-65.58,-65.58,-65.58,12000.0,17000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079239,2024-05-01_19-49-42,2880,193,151,80000.0,170,-0.72,-16.47,-16.47,-16.47,17000.0,924.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00004410,2024-05-01_19-49-42,3480,783,780,123000.0,528,-16.04,500,500,500,33000.0,44000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00001323,2024-05-01_19-49-42,3600,392,243,63000.0,300,-42.08,-77.43,-74.13,-74.13,10000.0,13000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.00003436,2024-05-01_19-49-42,3660,1783,1184,321000.0,1150,-88.15,-90.25,512,512,32000.0,42000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
AiDrop,AiDrop,,0.00002429,2024-05-01_19-49-42,4080,609,467,98000.0,488,6.83,-37.44,-52.91,-52.91,14000.0,24000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.051954,2024-05-01_19-49-42,4740,148,46,35000.0,146,-2.21,7.42,35.58,35.58,10000.0,58000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002405,2024-05-01_19-49-42,4740,528,356,93000.0,420,-20.39,-33.26,730,730,96000.0,23000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.00009223,2024-05-01_19-49-42,4800,350,684,29000.0,304,-0.41,47.50,864,864,54000.0,92000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.001004,2024-05-01_19-49-42,4860,171,25,20000.0,43,0.67,1.88,6.40,6.40,96000.0,50000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00001213,2024-05-01_19-49-42,5160,743,576,148000.0,546,2.09,-65.14,-77.23,-77.23,10000.0,10000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.00001008,2024-05-01_19-49-42,5220,347,338,27000.0,316,0,-26.61,-37.46,-37.46,13000.0,10000.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Bidenwifhat,BIDEN,,0.00003771,2024-05-01_19-49-42,5400,457,18,32000.0,48,5.69,166,389,389,115000.0,128000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
Swrek,SWREK,,0.052247,2024-05-01_19-49-42,5640,201,217,40000.0,223,0,-78.91,-95.70,-95.70,43000.0,22000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Book Of Prison,BOP,,0.053546,2024-05-01_19-49-42,5700,751,630,66000.0,523,-14.73,-68.49,409,409,30000.0,35000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.053142,2024-05-01_19-49-42,5760,496,430,158000.0,446,-0.76,-5.16,-94.14,-94.14,52000.0,31000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
TIM,TIM,,0.002594,2024-05-01_19-49-42,5940,6,10,901.0,12,-5.91,-16.39,-16.39,-16.39,20000.0,25000000.0,2jnvm3xkfgpiiefcajplisfabujj9msjvdrv6ppnbuyk
Unfuddables,PB&J,,0.00005268,2024-05-01_19-49-42,6600,586,447,228000.0,434,-0.07,-16.10,2.02,2.02,21000.0,50000.0,cpbmhdu2wehqhhgj4mzhnwmqvau5ngzocbpmydvkbjpb
Hypnotoad,TOAD,,0.062239,2024-05-01_19-49-42,6900,82,28,17000.0,77,1.97,3.62,13.15,13.15,28000.0,22000.0,9h2cbevzejh25gga6rxtqbmrkhzxmzvxzjmzsltbm5h3
Emo Pepe,EMOPEPE,,0.067833,2024-05-01_19-49-42,7020,316,280,24000.0,244,-4.87,-57.57,12.53,12.53,14000.0,783.0,darpvbqryugjhnohge2jgxksw2aw1iim9y9fyakf32gt
Reservoir Cats,RATS,,0.054964,2024-05-01_19-49-42,7020,668,605,153000.0,534,0.64,-30.33,-90.38,-90.38,66000.0,49000.0,gthe6ppvbqnven1ddcc9mfwxn1cag4ezyftuwfcetbu9
🇱🇷 Trump Pepe,$TRUPE,,0.0002650,2024-05-01_19-49-42,7020,7680,2123,75000.0,4703,-0.59,9.85,21.94,21.94,66000.0,106000.0,7uiceimc3qqw1xtfznimrvspcg4rylvavpuem9tstjtg
TRIXIEPUPPY,TPUP,,0.052381,2024-05-01_19-49-42,7380,302,214,21000.0,285,-7.19,-29.80,47.70,47.70,33000.0,26000.0,hzsz6elmgfhchrkbdpkrkdhhdxikqrcv59mocyjk1emt
🦇BATMAN ON THE MOON,🦇BATMON,,0.0007051,2024-05-01_19-49-42,7500,6842,1060,19000.0,4731,3.72,33.27,62.39,62.39,76000.0,95000.0,dbslgppesb6seaxtrjvvubdntxs5buqkjxfay7yurd1g
PEPE POLICE,POPO,,0.051782,2024-05-01_19-49-42,7980,64,20,10000.0,64,0,-1.02,-2.98,-2.98,31000.0,17000.0,61dtfo7svuqfmjjygbyu6a7u4nhbrvngewoohhnmfizz
🪭 Sora Geisha Cat,$GEKAT,,0.0003533,2024-05-01_19-49-42,8160,4029,1415,41000.0,3569,42.37,98.43,147,147,94000.0,212000.0,bze6wicu7pph4sujgw6zw9cvhkpzb4yr7guenjrfv7gc
Kermit the Frog,kermit,,0.0001659,2024-05-01_19-49-42,8160,1475,1042,599000.0,889,-13.57,-41.53,223,223,38000.0,68000.0,hwoykoqbpl9gl8rrhbj9rxtfahpo8ns7t89qtwijrxz5
Kanji,KANJI,,0.00002343,2024-05-01_19-49-42,8460,2752,1995,840000.0,1507,8.54,-18.07,-54.01,-54.01,15000.0,23000.0,6uz3c3uuxleldjkponbqranppvxyzpntpw5kmxuhesfy
LIGHT,Light,,0.053162,2024-05-01_19-49-42,8520,465,544,119000.0,404,-0.46,-1.67,-94.13,-94.13,52000.0,30000.0,gcnez5buh8ccxd6qizyyagtqq7xkc74aft488atfiqw3
mini,mini,,0.002806,2024-05-01_19-49-42,8640,22,34,57000.0,24,-2.60,-1.79,-8.00,-8.00,20000.0,24000000.0,9w1j6dvmkbqwckcsdqwknjqrynasqrh3jmdmhd6gnjli
🔥 PUPU THE PEPE's GF,PUPU,,0.00007749,2024-05-01_19-49-42,9000,7119,2206,18000.0,5163,1.49,12.10,32.27,32.27,41000.0,69000.0,4m42pqf4dxtw1izmu8iief548ebfyqsj3jcrv2soekkg
Communist Takeover,CTO,,0.053360,2024-05-01_19-49-42,9540,451,386,188000.0,389,-0.56,-0.33,-93.83,-93.83,54000.0,33000.0,btkuujv24woxwxj3fqrv2ob78u8xecykbabbhagrtw6p
Itsy Bitsy Spider,ITSY,,0.00001255,2024-05-01_19-49-42,9780,1211,978,205000.0,768,-4.11,-51.23,-75.92,-75.92,10000.0,12000.0,88hecvzfnvfkp1lx4bny2wxd4fe785ska86njuvqkmmt
benince,benince,,0.052968,2024-05-01_19-49-42,9840,785,554,64000.0,451,-4.22,-40.81,214,214,29000.0,29000.0,efpncrlvr6acuzhaffj4119x1gfdi5y67imadrfff1rm
SUPERSOLMAN,SUPASOL,,0.054283,2024-05-01_19-49-42,9900,257,161,23000.0,218,3.49,-23.46,13.45,13.45,29000.0,32000.0,33ecnhbsqpbbfcjvqkewxpglxj1gzjqsma94npqtzgce
Classy Degen,CLASSY,,0.00002507,2024-05-01_19-49-42,10320,269,149,161000.0,206,0.85,10.99,209,209,20000.0,25000.0,avdr35cqpdkaedjkpbg3ogdhspsade9npqan6s6y52tj
DUMBIE,DUMB,,0.052172,2024-05-01_19-49-42,10560,343,240,34000.0,293,-0.71,-10.80,44.47,44.47,32000.0,21000.0,5gfbzxsayhnsdqsskhjdxb2h9acyh6q5kybydvbucgfy
❄Snowy Doge On Solana,❄SDOGE,,0.0001980,2024-05-01_19-49-42,10680,4924,2383,25000.0,4111,0,11.72,42.57,42.57,68000.0,118000.0,j1jdsenrtxqnkt55dfb3tmdktlyjqr47akvunxjoqlyx
tooker kurlson,tooker,,0.05972,2024-05-01_19-49-42,10920,47,63,16000.0,46,1.34,-15.15,-16.88,-16.88,52000.0,580000000.0,ecwfevz6o4kbmemac1uvxbrqctjw2gqxrny448i6xjzz
WOSH,WOSH,,0.00002038,2024-05-01_19-49-42,10980,1047,847,192000.0,786,2.28,-4.72,-60.77,-60.77,13000.0,18000.0,gtvbkuxdfjhpxlo2abbewytwmqmp1b7r12lxmwnwceg6
Desi Hasbullah,HASJEET,,0.058049,2024-05-01_19-49-42,10980,251,786,40000.0,278,0,-2.35,-22.37,-22.37,15000.0,805.0,3bgzpswvstfsuvrdid2wmmyundl7akdaahodfshwssdb
bigi,bigi,,0.00003895,2024-05-01_19-49-42,11580,4086,2899,13000000.0,2046,-17.22,106,-27.05,-27.05,20000.0,36000.0,bxrxpfs8smvduniimcrzkdvcxroafbnkxq1taxxnbz6c
SHIBI,SHIBI,,0.051092,2024-05-01_19-49-42,11760,451,827,43000.0,346,0.85,-18.81,81.52,81.52,14000.0,10000.0,dpvf1qhrnnzn865jw7euwyith355ugeqnxsjosgnppmt
YESTARE,YE,,0.065323,2024-05-01_19-49-42,12000,145,237,94000.0,132,0,0,-53.69,-53.69,10000.0,532.0,7lfgj5bvypbfubkrbb8edjg8k656rogzsnyn4xdpbc4o
dokwon,FOUR,,0.067847,2024-05-01_19-49-42,12120,235,677,24000.0,202,0,-11.60,-0.72,-0.72,13000.0,785.0,a7gpujcgo4idgs8d18astawzhty4fuzwgpx4qeyfgt2s
Book of Wif,BOWIF,,0.0002588,2024-05-01_19-49-42,12300,5404,3640,13000000.0,2291,14.14,-16.06,399,399,50000.0,258000.0,hkcrjv34ivf4kcuclqmzrsjwosac7k9fah7xx17tlri7
CZ SCOFIELD,CZOUT,,0.056873,2024-05-01_19-49-42,12960,1619,1917,281000.0,1096,-2.27,-3.67,19.14,19.14,14000.0,845.0,7erspgdytz4qv5fljjtie6oebcgw6shgexkknecxsglk
SofaKing,SFKNG,,0.052152,2024-05-01_19-49-42,13080,374,231,45000.0,328,0,15.92,44.09,44.09,32000.0,21000.0,4kpa3dotqez2g9gaqnz6pbjy2ybhp3bwx4kmpkkuiyd7
NEW SOL ORDER,$NEWSOL,,0.052632,2024-05-01_19-49-42,14280,124,178,55000.0,98,-2.87,-2.87,63.21,63.21,10000.0,26000.0,avl8jimog4sdl1voekyxpyrtst5dgyga9gbpwcb5b4xs
Kongz,KONGZ,,0.067997,2024-05-01_19-49-42,14580,268,679,38000.0,218,-3.56,-3.56,37.35,37.35,12000.0,799.0,6gbdyqqnkxnvfqoeycpnovzkn8ie8z6rjylxoxpmmisp
JEETING CATZ,JCZ,,0.051398,2024-05-01_19-49-42,14580,262,357,32000.0,245,0,-5.62,-21.82,-21.82,25000.0,13000.0,7zxel3zhn3ubuycta79t9g9qogmdjfgvyn6f4mxhjwnl
CZswap,CZSWAP,,0.00004625,2024-05-01_19-49-42,14640,351,233,106000.0,286,0,0,596,596,10000.0,18000.0,4nc2zx8w29z1em2bjnwnxzzkv5rl4waibursnmqc94lx
jorem powl,INFLATION,,0.00001196,2024-05-01_19-49-42,14700,1773,1211,283000.0,874,-37.16,209,1587,1587,59000.0,11000.0,fl3mybfzyv9kza69eghku5bvnofqzapinrrzzrptbird
zazu,zazu,,0.002486,2024-05-01_19-49-42,14760,1216,1081,96000.0,516,-19.26,-11.01,-40.89,-40.89,12000.0,14000000.0,6acr3h9zwnbx727vctmnmvhcw5djmpakx5uijvtv52xu
Pepe Dog,PEDO,,0.052858,2024-05-01_19-49-42,14940,925,739,143000.0,665,10.94,-15.18,1337,1337,10000.0,25000.0,bc3afteuzlbfxpzwnfgqou2dzy6agnpndqrerjspezff
ArgentinaCoin,ARG,,0.0001061,2024-05-01_19-49-42,15480,749,576,187000.0,595,0.49,12.87,99.51,99.51,30000.0,105000.0,b2ep7xzmchtsntfdhxoibmk5vnujmv528dulhew2h91u
BENG,BENG,,0.00001608,2024-05-01_19-49-42,15480,1800,1496,245000.0,1136,-7.02,-8.68,363,363,91000.0,16000.0,9v7qxcmjk88uscx5llc4uvweu5fmibl8j7jjua4bl6bx
FuckingCAT,FUCAT,,0.052186,2024-05-01_19-49-42,15540,85,62,50000.0,77,0,0,79.19,79.19,17000.0,21000.0,76wumvedwcx5rnsk7esqfty7uoaxmupca24pxuxocnnc
Ketflix,KET,,0.00008540,2024-05-01_19-49-42,15720,350,785,62000.0,354,0,0,-57.59,-57.59,15000.0,854.0,5hvyf7vhhthvcszzrdmq1kewbtg3qlgwaujekkp6bp2z
PEJAK,PEJAK,,0.097056,2024-05-01_19-49-42,16080,455,454,48000.0,348,0,-8.90,17.67,17.67,11000.0,705.0,49eu1mfn37cks2tsodc78skptaaixgpqfmtnfoagyycq
South Korea Coin 🇰🇷,KOREA,,0.0001228,2024-05-01_19-49-42,16140,755,550,211000.0,564,-0.67,-15.06,135,135,32000.0,122000.0,7m4vwapvhtttbhywgwvwsccyai8a8oh8ggyzbm1jkqsh
InFiNiTyCoin,GOWL,,0.00001334,2024-05-01_19-49-42,16260,729,297,21000.0,48,0,14.40,10976,10976,31000.0,13000.0,hngx8xze62m6xul6kg39zz6nwxh9ukutctrr2xaqslah
SHIBA INU,SHIB,,0.052402,2024-05-01_19-49-42,16440,29,20,11000.0,31,0,0,-10.36,-10.36,17000.0,24000.0,c7scem6ihd5ayh5oakeooa1uxnorgpeej25qhmhcqzuy
Kyon The Martian Inu,KYON,,0.067738,2024-05-01_19-49-42,16620,118,25,27000.0,121,0,0,11.04,11.04,14000.0,541000.0,8rqxzucg5dydxcjojjewncejcqxosjkjpbryyfnvcsue
Hunter Biden Nude,BidenButt,,0.055405,2024-05-01_19-49-42,16680,712,617,146000.0,581,3.73,2.04,-89.70,-89.70,68000.0,54000.0,8pbvxromltmigzrek1oihfxrgxcc8gkbbqs4wvwzbv6a
PANDIUN,PANDIUN,,0.052297,2024-05-01_19-49-42,16680,78,210,16000.0,78,0,0,-36.47,-36.47,45000.0,22000.0,fdlpgzk2avtbgzmbisexmxwsnwr66p8jpquthoze8zid
Gummy Pepe,GUPE,,0.068268,2024-05-01_19-49-42,16860,335,334,32000.0,255,0,-2.57,42.11,42.11,12000.0,825.0,e6tbydnst3uxgmbtihppysupzq5xaszgycngjqvvo5qa
