token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Book Of Ansom,BOMESOM,,0.058561,2024-05-01_17-49-10,54,48,13,853.0,48,-22.83,-22.83,-22.83,-22.83,16000.0,856.0,7ctdcyipgvspjgt8mbcysrr7t3fuwpc8qrs2s2ycalja
 , ,,0.0001607,2024-05-01_17-49-10,55,137,13,38000.0,137,768,768,768,768,92000.0,160000.0,b9okbgvs9lwyzty4kubdcp6yx7ckxivaas5gvfetpxi4
TRIXIEPUPPY,TPUP,,0.056872,2024-05-01_17-49-10,180,218,74,12000.0,215,326,326,326,326,57000.0,75000.0,hzsz6elmgfhchrkbdpkrkdhhdxikqrcv59mocyjk1emt
Pokemon,Pokemon,,0.00001068,2024-05-01_17-49-10,300,55,6,24000.0,45,8.07,8.15,8.15,8.15,98000.0,51000.0,47qxhqgvymqmbvxy1rggknnqdpzsyokjzjvv33v56eu6
🦇BATMAN ON THE MOON,🦇BATMON,,0.0004355,2024-05-01_17-49-10,300,18,6,488.0,24,0.35,0.31,0.31,0.31,60000.0,87000.0,dbslgppesb6seaxtrjvvubdntxs5buqkjxfay7yurd1g
jew bidon ,BIDON,,0.052564,2024-05-01_17-49-10,360,57,14,933.0,57,-1.17,-15.62,-15.62,-15.62,26000.0,15000.0,aucaai1hkhz2qkxth423fydntdmcmtvuxirs8rxvcekj
ILLIT,ILLIT,,0.00006909,2024-05-01_17-49-10,720,84,16,14000.0,60,0.03,1020,1020,1020,40000.0,69000.0,24un5r5uesznek6qbvr4g6jhkxbxnvgxzgvqqnfongxe
PEPE POLICE,POPO,,0.051795,2024-05-01_17-49-10,780,62,16,10000.0,62,-0.18,-2.25,-2.25,-2.25,31000.0,17000.0,61dtfo7svuqfmjjygbyu6a7u4nhbrvngewoohhnmfizz
💠 Smart Pixel,SMARTPIXEL,,0.001000,2024-05-01_17-49-10,840,74,10,45000.0,43,-2.24,4.88,4.88,4.88,97000.0,50000.0,4zsipsj41v84yi5xxntfksmnnzqqcwu6blj6n6ufdbcq
CatWifUnicorn,UniCat,,0.01483,2024-05-01_17-49-10,900,100,29,17000.0,76,385,889,889,889,89000.0,14000.0,2mwpdjfamjzfijckzfjntqjsmvjkmqv8f6tdfag6a15m
🪭 Sora Geisha Cat,$GEKAT,,0.0001490,2024-05-01_17-49-10,960,1952,534,17000.0,1961,0.16,3.98,3.98,3.98,61000.0,89000.0,bze6wicu7pph4sujgw6zw9cvhkpzb4yr7guenjrfv7gc
Kermit the Frog,kermit,,0.0002837,2024-05-01_17-49-10,960,649,373,290000.0,491,36.64,453,453,453,50000.0,283000.0,hwoykoqbpl9gl8rrhbj9rxtfahpo8ns7t89qtwijrxz5
Kanji,KANJI,,0.00005314,2024-05-01_17-49-10,1200,1732,1214,655000.0,1139,77.18,4.28,4.28,4.28,22000.0,53000.0,6uz3c3uuxleldjkponbqranppvxyzpntpw5kmxuhesfy
Bidenwifhat,BIDEN,,0.055595,2024-05-01_17-49-10,1260,136,12,75000.0,46,11.10,62.59,62.59,62.59,67000.0,43000.0,2382qaoehjsswh9ddsgr6nngmccukv55c6gbraqfksix
LIGHT,Light,,0.054042,2024-05-01_17-49-10,1260,460,527,118000.0,399,-17.83,-92.49,-92.49,-92.49,60000.0,38000.0,gcnez5buh8ccxd6qizyyagtqq7xkc74aft488atfiqw3
🔥 PUPU THE PEPE's GF,PUPU,,0.00006267,2024-05-01_17-49-10,1800,1398,394,69000.0,1405,1.52,6.98,6.98,6.98,37000.0,56000.0,4m42pqf4dxtw1izmu8iief548ebfyqsj3jcrv2soekkg
Communist Takeover,CTO,,0.054639,2024-05-01_17-49-10,2340,451,372,187000.0,388,-3.36,-91.48,-91.48,-91.48,64000.0,46000.0,btkuujv24woxwxj3fqrv2ob78u8xecykbabbhagrtw6p
Itsy Bitsy Spider,ITSY,,0.00003510,2024-05-01_17-49-10,2520,982,702,167000.0,685,-8.91,-32.68,-32.68,-32.68,17000.0,35000.0,88hecvzfnvfkp1lx4bny2wxd4fe785ska86njuvqkmmt
benince,benince,,0.059825,2024-05-01_17-49-10,2580,511,394,47000.0,382,30.76,938,938,938,54000.0,98000.0,efpncrlvr6acuzhaffj4119x1gfdi5y67imadrfff1rm
SUPERSOLMAN,SUPASOL,,0.055586,2024-05-01_17-49-10,2700,206,114,18000.0,182,1.22,47.96,47.96,47.96,33000.0,42000.0,33ecnhbsqpbbfcjvqkewxpglxj1gzjqsma94npqtzgce
Classy Degen,CLASSY,,0.00002111,2024-05-01_17-49-10,3060,248,131,158000.0,195,-0.79,161,161,161,18000.0,21000.0,avdr35cqpdkaedjkpbg3ogdhspsade9npqan6s6y52tj
DUMBIE,DUMB,,0.054883,2024-05-01_17-49-10,3360,341,219,33000.0,291,-8.50,225,225,225,48000.0,48000.0,5gfbzxsayhnsdqsskhjdxb2h9acyh6q5kybydvbucgfy
❄Snowy Doge On Solana,❄SDOGE,,0.0001555,2024-05-01_17-49-10,3420,3097,2168,38000.0,3087,1.83,12.02,12.02,12.02,60000.0,93000.0,j1jdsenrtxqnkt55dfb3tmdktlyjqr47akvunxjoqlyx
tooker kurlson,tooker,,0.06462,2024-05-01_17-49-10,3660,12,19,718.0,12,-2.96,-10.07,-10.07,-10.07,54000.0,627000000.0,ecwfevz6o4kbmemac1uvxbrqctjw2gqxrny448i6xjzz
WOSH,WOSH,,0.00003465,2024-05-01_17-49-10,3720,946,710,176000.0,729,-5.04,-45.62,-33.29,-33.29,17000.0,31000.0,gtvbkuxdfjhpxlo2abbewytwmqmp1b7r12lxmwnwceg6
Desi Hasbullah,HASJEET,,0.058364,2024-05-01_17-49-10,3780,251,782,40000.0,278,0,-96.97,-19.34,-19.34,16000.0,836.0,3bgzpswvstfsuvrdid2wmmyundl7akdaahodfshwssdb
bigi,bigi,,0.00003593,2024-05-01_17-49-10,4380,2648,1782,10000000.0,1560,84.78,-80.58,-32.72,-32.72,18000.0,35000.0,bxrxpfs8smvduniimcrzkdvcxroafbnkxq1taxxnbz6c
SHIBI,SHIBI,,0.051480,2024-05-01_17-49-10,4500,448,820,43000.0,346,-5.07,-44.37,146,146,17000.0,14000.0,dpvf1qhrnnzn865jw7euwyith355ugeqnxsjosgnppmt
SharkWifhat,SWHT,,0.0004911,2024-05-01_17-49-10,4680,259,36,35000.0,44,-2.34,-5.89,1.80,1.80,96000.0,49000.0,cdkjn6k7pyagnxykprrohlfgykh1aw5dabh491ru1g4r
YESTARE,YE,,0.065375,2024-05-01_17-49-10,4800,145,235,94000.0,132,0,-9.92,-53.24,-53.24,10000.0,538.0,7lfgj5bvypbfubkrbb8edjg8k656rogzsnyn4xdpbc4o
dokwon,FOUR,,0.067806,2024-05-01_17-49-10,4860,215,667,23000.0,196,0,2.02,-1.25,-1.25,13000.0,781.0,a7gpujcgo4idgs8d18astawzhty4fuzwgpx4qeyfgt2s
Book of Wif,BOWIF,,0.0001709,2024-05-01_17-49-10,5040,2681,1699,632000.0,1427,28.91,22.07,229,229,40000.0,170000.0,hkcrjv34ivf4kcuclqmzrsjwosac7k9fah7xx17tlri7
CZ SCOFIELD,CZOUT,,0.00001101,2024-05-01_17-49-10,5760,1611,1145,280000.0,1088,-1.04,-72.30,90.85,90.85,18000.0,13000.0,7erspgdytz4qv5fljjtie6oebcgw6shgexkknecxsglk
SofaKing,SFKNG,,0.051857,2024-05-01_17-49-10,5880,369,230,45000.0,325,0,-6.88,24.30,24.30,30000.0,18000.0,4kpa3dotqez2g9gaqnz6pbjy2ybhp3bwx4kmpkkuiyd7
NEW SOL ORDER,$NEWSOL,,0.052710,2024-05-01_17-49-10,7020,124,177,55000.0,97,0,-17.71,68.03,68.03,10000.0,27000.0,avl8jimog4sdl1voekyxpyrtst5dgyga9gbpwcb5b4xs
Kongz,KONGZ,,0.068566,2024-05-01_17-49-10,7320,267,674,38000.0,217,0,-26.33,47.13,47.13,13000.0,856.0,6gbdyqqnkxnvfqoeycpnovzkn8ie8z6rjylxoxpmmisp
JEETING CATZ,JCZ,,0.051591,2024-05-01_17-49-10,7320,262,354,32000.0,245,0,-66.73,-11.02,-11.02,27000.0,15000.0,7zxel3zhn3ubuycta79t9g9qogmdjfgvyn6f4mxhjwnl
CZswap,CZSWAP,,0.00004659,2024-05-01_17-49-10,7440,351,231,106000.0,286,-2.54,-11.25,601,601,10000.0,18000.0,4nc2zx8w29z1em2bjnwnxzzkv5rl4waibursnmqc94lx
jorem powl,INFLATION,,0.054611,2024-05-01_17-49-10,7500,1659,1129,273000.0,829,-34.24,-88.89,551,551,37000.0,46000.0,fl3mybfzyv9kza69eghku5bvnofqzapinrrzzrptbird
zazu,zazu,,0.004087,2024-05-01_17-49-10,7560,471,438,24000.0,247,24.18,-32.15,-2.83,-2.83,78000.0,28000000.0,6acr3h9zwnbx727vctmnmvhcw5djmpakx5uijvtv52xu
Pepe Dog,PEDO,,0.055491,2024-05-01_17-49-10,7680,792,592,115000.0,614,-14.04,185,2661,2661,14000.0,48000.0,bc3afteuzlbfxpzwnfgqou2dzy6agnpndqrerjspezff
ArgentinaCoin,ARG,,0.00007546,2024-05-01_17-49-10,8220,663,506,176000.0,545,-1.45,-18.48,41.86,41.86,25000.0,75000.0,b2ep7xzmchtsntfdhxoibmk5vnujmv528dulhew2h91u
BENG,BENG,,0.059949,2024-05-01_17-49-10,8220,1645,1310,231000.0,1047,11.51,-17.48,187,187,72000.0,99000.0,9v7qxcmjk88uscx5llc4uvweu5fmibl8j7jjua4bl6bx
FuckingCAT,FUCAT,,0.052238,2024-05-01_17-49-10,8340,85,61,50000.0,77,0,-6.53,83.43,83.43,18000.0,22000.0,76wumvedwcx5rnsk7esqfty7uoaxmupca24pxuxocnnc
Ketflix,KET,,0.00008585,2024-05-01_17-49-10,8520,350,784,62000.0,354,0,-6.03,-57.36,-57.36,15000.0,859.0,5hvyf7vhhthvcszzrdmq1kewbtg3qlgwaujekkp6bp2z
PEJAK,PEJAK,,0.098326,2024-05-01_17-49-10,8820,454,449,48000.0,347,0,-16.08,38.83,38.83,12000.0,833.0,49eu1mfn37cks2tsodc78skptaaixgpqfmtnfoagyycq
