token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Runestone,RUNE,,0.001302,2024-05-01_20-08-46,34,35,2,275.0,35,-0.26,-0.26,-0.26,-0.26,260000.0,130000.0,4557tv1kakahynr6f1n2gu8tp7rdovmdajjfgvuqyqs8
czSAFU,czSAFU,,0.051145,2024-05-01_20-08-46,120,3,0,35.0,3,14.25,14.25,14.25,14.25,10000.0,11000.0,9spsbq9acl6fsc9lydcxrwwwc5hquqjopxaypxwfz7yb
duk,duk,,0.006637,2024-05-01_20-08-46,240,0,1,23.0,1,0,0,0,0,37000.0,66000000.0,c9mzuctlnblw3jear1hkvwodofagjgrqkk3zfuakalsc
Racist Dog,RACIST,,0.00008261,2024-05-01_20-08-46,660,129,24,10000.0,127,111,60.14,60.14,60.14,26000.0,82000.0,5j8pdeb3htrjpk27ohmemcuvaccjk7hhq4vdxvbuxgba
Book of Michi,$BOMI,,0.00009635,2024-05-01_20-08-46,660,581,261,172000.0,506,26.73,86.78,86.78,86.78,29000.0,96000.0,dx9otevyqu8pi46mny9je3ahnaydwja8woh2o4uwtbky
Pichi,PICHI,,0.01909,2024-05-01_20-08-46,780,88,25,15000.0,74,213,1367,1367,1367,10000.0,19000.0,8mlh573bbsyo5som3jmff4yajwvzoyru8bgcfmihdbuh
kunye weast,yezzey,,0.0008240,2024-05-01_20-08-46,840,204,739,18000.0,277,-36.67,-66.62,-66.62,-66.62,14000.0,824.0,gfh1ymhxxzeb6gwoewr57b5xug2hjurxaymujkt117ox
KAIBYŌ,KAIBYŌ,,0.051270,2024-05-01_20-08-46,960,361,180,44000.0,321,16.31,500,500,500,71000.0,98000.0,4ukg228n8nloczmnmvoamouynanzgqpyfet5anq7xxkx
Sylvester,SYLVESTER,,0.054601,2024-05-01_20-08-46,1020,488,402,49000.0,417,41.52,160,160,160,24000.0,46000.0,bcoqfrwszb2t1fxn79gvdx2dbbvt42cugwqr8t4qok6o
kawaii pengu,kawaii,,0.0001659,2024-05-01_20-08-46,1080,711,454,223000.0,558,0.65,5437,5437,5437,28000.0,165000.0,ckmgcvcjohobeqpgqxybxnayxpvvkcysrkm73a7gd85e
Gury Vee,GuryVee,,0.0002650,2024-05-01_20-08-46,1380,6,24,12000.0,6,3.04,4.29,4.29,4.29,10000.0,265000.0,5jfu1yekokgnvkgowhbhdgayzknxxz6d4kfeqwx5wiwu
sheitlock homeless,SHEIT,,0.051379,2024-05-01_20-08-46,1800,338,228,19000.0,238,-36.33,-54.79,-54.79,-54.79,12000.0,13000.0,a8is4glj5vvpup4wltzse5rvtvktwmkddt4ka8meydkd
Spider Cuz,CUZ,,0.051683,2024-05-01_20-08-46,1800,94,91,14000.0,92,-3.82,-1.91,-1.91,-1.91,23000.0,16000.0,3mf9pduks4ckvywdghsbyywqfxuhsesqsnpdx9fcouqd
SnackSwap,SNACK,,0.0004921,2024-05-01_20-08-46,2460,137,20,15000.0,37,-2.37,5.45,5.45,5.45,96000.0,49000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Obuma,Obuma,,0.052373,2024-05-01_20-08-46,2640,620,475,45000.0,403,-36.38,246,246,246,25000.0,23000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.058239,2024-05-01_20-08-46,3000,416,339,97000.0,317,-90.18,-84.05,-84.05,-84.05,84000.0,82000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.00006643,2024-05-01_20-08-46,3240,1000,706,353000.0,669,61.89,28.48,28.48,28.48,24000.0,46000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001114,2024-05-01_20-08-46,3540,1479,914,437000.0,860,-6.40,93.59,115,115,31000.0,111000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00002053,2024-05-01_20-08-46,3900,218,167,28000.0,255,1.04,-28.37,-59.70,-59.70,13000.0,20000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079645,2024-05-01_20-08-46,4020,196,152,82000.0,173,0,-19.72,-12.80,-12.80,17000.0,965.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00004711,2024-05-01_20-08-46,4620,815,805,125000.0,539,-13.74,-90.75,541,541,34000.0,47000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00001826,2024-05-01_20-08-46,4680,417,265,65000.0,307,3.49,-6.06,-64.28,-64.28,12000.0,18000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.00002372,2024-05-01_20-08-46,4800,1843,1235,326000.0,1196,13.85,-92.74,322,322,26000.0,29000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
AiDrop,AiDrop,,0.00002260,2024-05-01_20-08-46,5160,626,484,101000.0,499,-3.78,-20.14,-56.19,-56.19,14000.0,22000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.051970,2024-05-01_20-08-46,5880,149,46,35000.0,147,0,4.19,36.69,36.69,10000.0,59000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002360,2024-05-01_20-08-46,5880,564,389,97000.0,441,-11.27,-21.70,714,714,96000.0,23000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
