token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
KAIBYŌ,KAIBYŌ,,0.067537,2024-05-01_19-54-25,120,152,26,20000.0,150,256,256,256,256,54000.0,58000.0,4ukg228n8nloczmnmvoamouynanzgqpyfet5anq7xxkx
Rich Cat 发财猫,Rich Cat,,0.067430,2024-05-01_19-54-25,180,55,15,14000.0,56,-18.64,-18.64,-18.64,-18.64,13000.0,743.0,hw6tb9cxtbwjrna4yo3hp4wje99oksfdgwjgcup7njln
Sylvester,SYLVESTER,,0.058296,2024-05-01_19-54-25,180,309,207,33000.0,307,368,368,368,368,32000.0,82000.0,bcoqfrwszb2t1fxn79gvdx2dbbvt42cugwqr8t4qok6o
kawaii pengu,kawaii,,0.00009290,2024-05-01_19-54-25,180,265,82,85000.0,246,3000,3000,3000,3000,21000.0,92000.0,ckmgcvcjohobeqpgqxybxnayxpvvkcysrkm73a7gd85e
Gury Vee,GuryVee,,0.0002409,2024-05-01_19-54-25,540,1,3,328.0,3,-5.44,-5.20,-5.20,-5.20,16000.0,240000.0,5jfu1yekokgnvkgowhbhdgayzknxxz6d4kfeqwx5wiwu
sheitlock homeless,SHEIT,,0.051960,2024-05-01_19-54-25,900,305,205,18000.0,232,-3.40,-35.73,-35.73,-35.73,15000.0,19000.0,a8is4glj5vvpup4wltzse5rvtvktwmkddt4ka8meydkd
Spider Cuz,CUZ,,0.051899,2024-05-01_19-54-25,960,94,74,14000.0,92,3.33,10.68,10.68,10.68,24000.0,18000.0,3mf9pduks4ckvywdghsbyywqfxuhsesqsnpdx9fcouqd
Tony Tony Chopper,Chopper,,0.00001010,2024-05-01_19-54-25,1020,99,7,65000.0,44,6.11,22.87,22.87,22.87,135000.0,74000.0,3453p9czm9fhkwejzfcmsbp1gtdsnc6n58wd8rkbzvmb
The Zen Zone,ZEN,,0.001659,2024-05-01_19-54-25,1440,2658,2437,672000.0,2638,2.51,27.95,27.95,27.95,295000.0,165000.0,ix7erfst2glxag1dhzur31k1dpxqv4gdxi1sfiupa7r
SnackSwap,SNACK,,0.0004914,2024-05-01_19-54-25,1560,102,15,10000.0,36,-0.56,5.32,5.32,5.32,95000.0,49000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Trump is a silly fat guy,FatTrump,,0.00001998,2024-05-01_19-54-25,1560,132,12,10000.0,44,5.92,58.21,58.21,58.21,98000.0,61000.0,3hxclvrteyajvcmmnthgdrqgnwkkcjk6damvhicxoofu
Obuma,Obuma,,0.055088,2024-05-01_19-54-25,1800,591,409,42000.0,392,76.65,642,642,642,36000.0,50000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.0001169,2024-05-01_19-54-25,2160,363,176,69000.0,285,12.82,126,126,126,31000.0,116000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.00007370,2024-05-01_19-54-25,2400,918,636,341000.0,640,8.31,42.54,42.54,42.54,25000.0,51000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001159,2024-05-01_19-54-25,2760,1329,813,393000.0,793,37.47,124,124,124,32000.0,115000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00001833,2024-05-01_19-54-25,3060,209,164,27000.0,246,4.51,-64.03,-64.03,-64.03,12000.0,18000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079645,2024-05-01_19-54-25,3180,196,152,82000.0,173,4.39,-12.80,-12.80,-12.80,17000.0,965.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00004706,2024-05-01_19-54-25,3780,796,791,124000.0,536,6.70,-74.46,540,540,34000.0,47000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00001329,2024-05-01_19-54-25,3840,400,255,63000.0,303,0.46,-41.15,-74.01,-74.01,10000.0,13000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.00003263,2024-05-01_19-54-25,3960,1799,1197,322000.0,1163,27.98,-91.67,481,481,31000.0,40000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
AiDrop,AiDrop,,0.00002406,2024-05-01_19-54-25,4320,611,470,98000.0,490,-0.97,-31.51,-53.36,-53.36,14000.0,24000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.051954,2024-05-01_19-54-25,5040,148,46,35000.0,146,0,7.07,35.58,35.58,10000.0,58000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002621,2024-05-01_19-54-25,5040,544,363,94000.0,427,-2.67,-22.13,804,804,10000.0,25000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.00009427,2024-05-01_19-54-25,5040,355,684,29000.0,305,2.67,21.25,885,885,55000.0,94000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
