token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Bidenwifhat,BIDEN,,0.057906,2024-05-01_18-21-21,120,40,3,347.0,37,2.45,2.45,2.45,2.45,53000.0,26000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
CatWifUnicorn,UniCat,,0.055820,2024-05-01_18-21-21,120,35,0,15000.0,35,196,196,196,196,67000.0,58000.0,cqqgdo1ccrqjwnmhse7wo2ypmbcddfcqwaemnrxpaop7
Trumpwifhat,Trumpwif,,0.055699,2024-05-01_18-21-21,240,57,4,13000.0,44,4.64,4.64,4.64,4.64,110000.0,56000.0,aqtfbhpnexa6knppfn1qpfmtzeeshatwg7timwkiwhv9
Swrek,SWREK,,0.00007226,2024-05-01_18-21-21,300,151,41,11000.0,149,14.66,38.34,38.34,38.34,24000.0,72000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Trumpwifhat,TRUMP,,0.057288,2024-05-01_18-21-21,360,70,5,18000.0,44,6.06,6.42,6.42,6.42,111000.0,57000.0,8kzsthnaho621mrrkklskvochk6sbrlfmguu7efcar9n
Book Of Prison,BOP,,0.00001472,2024-05-01_18-21-21,360,257,125,24000.0,225,172,2015,2015,2015,61000.0,14000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.054344,2024-05-01_18-21-21,480,488,386,157000.0,438,-77.18,-91.90,-91.90,-91.90,62000.0,43000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
TIM,TIM,,0.003103,2024-05-01_18-21-21,600,0,1,19.0,1,0,0,0,0,22000.0,31000000.0,2jnvm3xkfgpiiefcajplisfabujj9msjvdrv6ppnbuyk
Canadian Cat,CATADA,,0.001734,2024-05-01_18-21-21,1260,2282,2107,602000.0,2269,0.56,31.44,31.44,31.44,302000.0,173000.0,7c8bnwwyiqc8qknkqqj1nfmwfbcw759wsw9yru73kcnt
Unfuddables,PB&J,,0.00003550,2024-05-01_18-21-21,1260,407,344,76000.0,343,-24.78,-31.26,-31.26,-31.26,17000.0,33000.0,cpbmhdu2wehqhhgj4mzhnwmqvau5ngzocbpmydvkbjpb
Hypnotoad,TOAD,,0.062029,2024-05-01_18-21-21,1620,71,24,15000.0,70,-0.66,2.54,2.54,2.54,27000.0,20000.0,9h2cbevzejh25gga6rxtqbmrkhzxmzvxzjmzsltbm5h3
Emo Pepe,EMOPEPE,,0.052394,2024-05-01_18-21-21,1680,312,255,24000.0,241,-6.48,244,244,244,25000.0,23000.0,darpvbqryugjhnohge2jgxksw2aw1iim9y9fyakf32gt
Reservoir Cats,RATS,,0.00001769,2024-05-01_18-21-21,1680,597,467,138000.0,478,57.77,-65.69,-65.69,-65.69,12000.0,17000.0,gthe6ppvbqnven1ddcc9mfwxn1cag4ezyftuwfcetbu9
