token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Obuma,Obuma,,0.056272,2024-05-01_19-26-36,60,162,66,97000.0,136,815,815,815,815,39000.0,62000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.00008239,2024-05-01_19-26-36,420,174,46,23000.0,168,34.82,59.48,59.48,59.48,26000.0,82000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.0002426,2024-05-01_19-26-36,660,483,269,173000.0,412,31.87,369,369,369,45000.0,169000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001277,2024-05-01_19-26-36,1020,749,430,232000.0,573,2.36,147,147,147,33000.0,127000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00002135,2024-05-01_19-26-36,1380,192,135,25000.0,229,2.62,-58.11,-58.11,-58.11,13000.0,21000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079449,2024-05-01_19-26-36,1440,193,147,80000.0,170,-10.70,-14.57,-14.57,-14.57,17000.0,945.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00005544,2024-05-01_19-26-36,2040,666,683,109000.0,477,-82.81,654,654,654,37000.0,55000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00002839,2024-05-01_19-26-36,2160,363,203,57000.0,283,1.17,-44.47,-44.47,-44.47,15000.0,28000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.0004008,2024-05-01_19-26-36,2220,1696,692,294000.0,1112,-7.76,7036,7036,7036,10000.0,49000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
Four Months CZ,FOMO,,0.0001115,2024-05-01_19-26-36,2280,149,95,33000.0,81,31.62,753,753,753,76000.0,11000.0,gwkqwu5suoead9vsriqah1sjxhnrbcmvaz8qkfspveps
AiDrop,AiDrop,,0.00001911,2024-05-01_19-26-36,2640,561,432,89000.0,459,-5.46,-62.96,-62.96,-62.96,12000.0,19000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.052174,2024-05-01_19-26-36,3300,145,38,33000.0,144,-2.37,50.86,50.86,50.86,10000.0,65000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002876,2024-05-01_19-26-36,3300,480,309,86000.0,394,-2.24,892,892,892,10000.0,28000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.0001033,2024-05-01_19-26-36,3360,303,662,25000.0,289,19.66,979,979,979,57000.0,10000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.0009732,2024-05-01_19-26-36,3420,137,22,15000.0,43,-3.20,3.09,3.09,3.09,95000.0,48000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00002353,2024-05-01_19-26-36,3780,712,539,142000.0,531,-20.53,-65.53,-55.81,-55.81,14000.0,22000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.00001192,2024-05-01_19-26-36,3840,347,335,27000.0,316,4.86,-82.85,-26.04,-26.04,14000.0,11000.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Bidenwifhat,BIDEN,,0.00002643,2024-05-01_19-26-36,3960,336,17,22000.0,48,4.23,198,242,242,96000.0,89000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
Trumpwifhat,Trumpwif,,0.00001161,2024-05-01_19-26-36,4080,451,13,25000.0,49,3.55,88.25,113,113,156000.0,114000.0,aqtfbhpnexa6knppfn1qpfmtzeeshatwg7timwkiwhv9
Swrek,SWREK,,0.052293,2024-05-01_19-26-36,4200,200,217,40000.0,222,-7.49,-96.79,-95.61,-95.61,44000.0,22000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Trumpwifhat,TRUMP,,0.00001352,2024-05-01_19-26-36,4200,492,14,22000.0,50,3.07,74.08,97.40,97.40,150000.0,106000.0,8kzsthnaho621mrrkklskvochk6sbrlfmguu7efcar9n
Book Of Prison,BOP,,0.054936,2024-05-01_19-26-36,4260,742,592,64000.0,517,9.31,-47.10,609,609,36000.0,49000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.053184,2024-05-01_19-26-36,4320,496,428,158000.0,445,-2.10,-5.23,-94.06,-94.06,53000.0,31000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
TIM,TIM,,0.003117,2024-05-01_19-26-36,4500,2,3,131.0,5,-4.42,0.46,0.46,0.46,22000.0,31000000.0,2jnvm3xkfgpiiefcajplisfabujj9msjvdrv6ppnbuyk
Canadian Cat,CATADA,,0.072615,2024-05-01_19-26-36,5160,10312,9936,29000000.0,8527,78.07,-100,-100,-100,11000.0,3.0,7c8bnwwyiqc8qknkqqj1nfmwfbcw759wsw9yru73kcnt
Unfuddables,PB&J,,0.00005147,2024-05-01_19-26-36,5160,538,423,157000.0,426,1.40,30.06,-0.33,-0.33,21000.0,48000.0,cpbmhdu2wehqhhgj4mzhnwmqvau5ngzocbpmydvkbjpb
Hypnotoad,TOAD,,0.062141,2024-05-01_19-26-36,5520,78,28,17000.0,76,-0.91,5.71,8.20,8.20,28000.0,21000.0,9h2cbevzejh25gga6rxtqbmrkhzxmzvxzjmzsltbm5h3
Emo Pepe,EMOPEPE,,0.068234,2024-05-01_19-26-36,5580,316,278,24000.0,243,-23.38,-62.30,18.30,18.30,14000.0,823.0,darpvbqryugjhnohge2jgxksw2aw1iim9y9fyakf32gt
Reservoir Cats,RATS,,0.055262,2024-05-01_19-26-36,5580,664,599,152000.0,530,-0.43,-65.44,-89.80,-89.80,68000.0,52000.0,gthe6ppvbqnven1ddcc9mfwxn1cag4ezyftuwfcetbu9
🇱🇷 Trump Pepe,$TRUPE,,0.0002597,2024-05-01_19-26-36,5640,4866,1576,61000.0,3866,1.03,10.73,19.48,19.48,65000.0,103000.0,7uiceimc3qqw1xtfznimrvspcg4rylvavpuem9tstjtg
TRIXIEPUPPY,TPUP,,0.052370,2024-05-01_19-26-36,5940,300,211,21000.0,282,-0.28,-37.35,47.05,47.05,33000.0,26000.0,hzsz6elmgfhchrkbdpkrkdhhdxikqrcv59mocyjk1emt
🦇BATMAN ON THE MOON,🦇BATMON,,0.0005659,2024-05-01_19-26-36,6120,4041,331,12000.0,3747,0.71,12.05,30.33,30.33,68000.0,76000.0,dbslgppesb6seaxtrjvvubdntxs5buqkjxfay7yurd1g
