token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
duk,duk,,0.006637,2024-05-01_20-04-16,35,0,1,23.0,1,0,0,0,0,37000.0,66000000.0,c9mzuctlnblw3jear1hkvwodofagjgrqkk3zfuakalsc
Racist Dog,RACIST,,0.00003903,2024-05-01_20-04-16,360,109,17,57000.0,109,-20.14,-24.32,-24.32,-24.32,18000.0,39000.0,5j8pdeb3htrjpk27ohmemcuvaccjk7hhq4vdxvbuxgba
Book of Michi,$BOMI,,0.00007471,2024-05-01_20-04-16,420,388,153,123000.0,363,26.25,44.83,44.83,44.83,25000.0,74000.0,dx9otevyqu8pi46mny9je3ahnaydwja8woh2o4uwtbky
Pichi,PICHI,,0.006270,2024-05-01_20-04-16,540,69,15,10000.0,66,-53.51,382,382,382,57000.0,62000.0,8mlh573bbsyo5som3jmff4yajwvzoyru8bgcfmihdbuh
kunye weast,yezzey,,0.001301,2024-05-01_20-04-16,600,196,728,18000.0,276,-92.20,-47.29,-47.29,-47.29,18000.0,13000.0,gfh1ymhxxzeb6gwoewr57b5xug2hjurxaymujkt117ox
KAIBYŌ,KAIBYŌ,,0.051179,2024-05-01_20-04-16,660,339,160,41000.0,308,23.77,457,457,457,68000.0,91000.0,4ukg228n8nloczmnmvoamouynanzgqpyfet5anq7xxkx
Sylvester,SYLVESTER,,0.052103,2024-05-01_20-04-16,780,459,383,46000.0,405,-44.82,18.69,18.69,18.69,16000.0,21000.0,bcoqfrwszb2t1fxn79gvdx2dbbvt42cugwqr8t4qok6o
kawaii pengu,kawaii,,0.0001836,2024-05-01_20-04-16,780,564,306,152000.0,459,84.65,6030,6030,6030,29000.0,183000.0,ckmgcvcjohobeqpgqxybxnayxpvvkcysrkm73a7gd85e
Gury Vee,GuryVee,,0.0002572,2024-05-01_20-04-16,1140,6,12,963.0,6,7.44,1.21,1.21,1.21,17000.0,257000.0,5jfu1yekokgnvkgowhbhdgayzknxxz6d4kfeqwx5wiwu
sheitlock homeless,SHEIT,,0.052110,2024-05-01_20-04-16,1500,333,223,19000.0,238,-14.51,-30.84,-30.84,-30.84,15000.0,21000.0,a8is4glj5vvpup4wltzse5rvtvktwmkddt4ka8meydkd
Spider Cuz,CUZ,,0.051750,2024-05-01_20-04-16,1500,94,88,14000.0,92,-6.76,1.98,1.98,1.98,23000.0,17000.0,3mf9pduks4ckvywdghsbyywqfxuhsesqsnpdx9fcouqd
The Zen Zone,ZEN,,0.072067,2024-05-01_20-04-16,2040,2856,2644,872000.0,2833,1.88,-100,-100,-100,10000.0,2.0,ix7erfst2glxag1dhzur31k1dpxqv4gdxi1sfiupa7r
SnackSwap,SNACK,,0.0005021,2024-05-01_20-04-16,2160,124,18,13000.0,36,3.32,7.59,7.59,7.59,96000.0,50000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Obuma,Obuma,,0.053730,2024-05-01_20-04-16,2400,616,457,44000.0,401,25.35,444,444,444,31000.0,37000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.00008409,2024-05-01_20-04-16,2760,398,226,84000.0,304,-11.23,62.79,62.79,62.79,26000.0,84000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.00004082,2024-05-01_20-04-16,3000,963,691,345000.0,655,-5.79,-21.06,-21.06,-21.06,19000.0,28000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001306,2024-05-01_20-04-16,3360,1433,884,426000.0,840,-4.55,152,152,152,34000.0,130000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00002032,2024-05-01_20-04-16,3660,217,167,28000.0,254,1.17,-54.69,-60.12,-60.12,13000.0,20000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079645,2024-05-01_20-04-16,3780,196,152,82000.0,173,0,-70.71,-12.80,-12.80,17000.0,965.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00005461,2024-05-01_20-04-16,4320,814,800,125000.0,539,26.05,-90.75,643,643,37000.0,54000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00001765,2024-05-01_20-04-16,4440,415,262,64000.0,306,45.15,6.13,-65.49,-65.49,12000.0,17000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.00002084,2024-05-01_20-04-16,4560,1823,1223,325000.0,1185,7.82,-94.20,271,271,24000.0,25000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
AiDrop,AiDrop,,0.00002349,2024-05-01_20-04-16,4920,625,483,101000.0,497,7.04,-3.16,-54.47,-54.47,14000.0,23000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.051970,2024-05-01_20-04-16,5640,149,46,35000.0,147,0,7.68,36.69,36.69,10000.0,59000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002660,2024-05-01_20-04-16,5640,562,382,97000.0,438,11.24,-16.83,818,818,10000.0,26000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.00009075,2024-05-01_20-04-16,5640,365,687,29000.0,305,-3.72,72.68,848,848,54000.0,90000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Mimi,MIMI,,0.055801,2024-05-01_20-04-16,6060,748,633,151000.0,552,-4.00,-79.73,-89.11,-89.11,71000.0,52000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.058969,2024-05-01_20-04-16,6120,348,340,28000.0,317,-1.75,-0.54,-44.38,-44.38,12000.0,897.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Swrek,SWREK,,0.052262,2024-05-01_20-04-16,6480,202,217,40000.0,224,0.68,-41.04,-95.67,-95.67,44000.0,22000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Book Of Prison,BOP,,0.053233,2024-05-01_20-04-16,6540,753,635,66000.0,525,0.35,-0.85,364,364,29000.0,32000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
