token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
SnackSwap,SNACK,,0.0004696,2024-05-01_19-29-45,120,29,4,237.0,28,0.64,0.64,0.64,0.64,93000.0,46000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Trump is a silly fat guy,FatTrump,,0.00001315,2024-05-01_19-29-45,120,35,4,885.0,34,4.16,4.16,4.16,4.16,79000.0,40000.0,3hxclvrteyajvcmmnthgdrqgnwkkcjk6damvhicxoofu
Obuma,Obuma,,0.056657,2024-05-01_19-29-45,300,261,126,19000.0,206,-12.67,871,871,871,41000.0,66000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.00007392,2024-05-01_19-29-45,660,205,74,27000.0,193,-0.74,43.09,43.09,43.09,25000.0,73000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.0002224,2024-05-01_19-29-45,900,580,340,217000.0,479,6.20,330,330,330,44000.0,155000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001402,2024-05-01_19-29-45,1260,790,452,241000.0,588,43.73,171,171,171,35000.0,140000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00001949,2024-05-01_19-29-45,1620,194,140,26000.0,231,-8.14,-61.76,-61.76,-61.76,12000.0,19000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079449,2024-05-01_19-29-45,1680,193,147,80000.0,170,-1.51,-14.57,-14.57,-14.57,17000.0,945.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00005140,2024-05-01_19-29-45,2280,690,698,114000.0,487,46.37,599,599,599,35000.0,51000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00003074,2024-05-01_19-29-45,2400,370,205,58000.0,283,1.65,-39.88,-39.88,-39.88,16000.0,30000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.0003270,2024-05-01_19-29-45,2460,1734,737,306000.0,1116,-20.70,5722,5722,5722,97000.0,40000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
Four Months CZ,FOMO,,0.0001724,2024-05-01_19-29-45,2520,160,99,34000.0,81,45.36,1220,1220,1220,95000.0,17000.0,gwkqwu5suoead9vsriqah1sjxhnrbcmvaz8qkfspveps
AiDrop,AiDrop,,0.00002486,2024-05-01_19-29-45,2880,580,442,93000.0,470,27.48,-51.81,-51.81,-51.81,14000.0,24000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.052071,2024-05-01_19-29-45,3540,145,42,34000.0,144,-6.89,43.67,43.67,43.67,10000.0,62000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002715,2024-05-01_19-29-45,3540,487,315,87000.0,397,-4.60,26.39,837,837,10000.0,27000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.0001182,2024-05-01_19-29-45,3600,316,666,27000.0,295,28.98,-42.70,1136,1136,61000.0,11000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.001001,2024-05-01_19-29-45,3660,145,22,16000.0,43,-0.99,4.88,6.05,6.05,96000.0,50000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00002150,2024-05-01_19-29-45,3960,713,545,142000.0,531,-16.65,-56.15,-59.63,-59.63,13000.0,20000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.00001131,2024-05-01_19-29-45,4020,347,337,27000.0,316,-5.11,-76.69,-29.82,-29.82,14000.0,11000.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Bidenwifhat,BIDEN,,0.00002723,2024-05-01_19-29-45,4200,347,18,23000.0,48,4.31,191,253,253,97000.0,92000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
