token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
WE CALL THEM POOR,FIAT,31shhgky9d91rbs81z3wbbvzdjx6ho3fwsqprddtdru1,0.00004235,2024-04-29_17-05-13,60,37,10,652.0,37,1.67,1.67,1.67,1.67,116000.0,294000.0
Trumpwifhat,$TRUMP,7fodfepqxa7jgqak4quekipk32cbbgyazpfb8jhwuj2f,0.056559,2024-04-29_17-05-13,60,50,7,255.0,50,0.26,0.26,0.26,0.26,129000.0,64000.0
Bidenwifhat,BIDEN,bnqaxkdwutvgkd64jgpzenzxnl6st5mqff8yhd6auvbt,0.054682,2024-04-29_17-05-13,300,67,4,18000.0,49,7.44,8.25,8.25,8.25,88000.0,46000.0
Sonic,SONIC,7arufatgwdhfgawpxe4c57uppxznvlqvp7qcxqxcnraa,0.0001273,2024-04-29_17-05-13,360,254,182,86000.0,61,9.82,15.29,15.29,15.29,236000.0,127000.0
Donald Trump,Trump,gvrtkbqcsvnibdbkt5gyhpfnsyrbubgnnd8gvxpma7zz,0.00003518,2024-04-29_17-05-13,540,75,12,30000.0,48,4.33,10.97,10.97,10.97,113000.0,59000.0
Mewtwo,MEWTWO,hhft34r4xif92sa9cr8pnkpub4mxaqqkik5jwxgyqgfc,0.00005300,2024-04-29_17-05-13,840,152,103,55000.0,138,35.78,222,222,222,29000.0,36000.0
TRUMP2024,TRUMP2024,7ptomfprshshkwqd31mqwqrwxuzjfd9exrbc7xdtmv9b,0.00001262,2024-04-29_17-05-13,900,117,12,10000.0,47,6.58,29.35,29.35,29.35,165000.0,94000.0
Grumpy Bear,GRUMPYBEAR,hefqjsde7vzappkqrxvdegw5hrrcnfsqbdzd8bbaqdbs,0.001250,2024-04-29_17-05-13,1140,91,14,76000.0,44,-1.44,6.37,6.37,6.37,96000.0,50000.0
SPOODIFY,SPOODIFY,ga4slxdtswpd6x5p6c1nybq15hjvgd1eb2afcexxhewn,0.00001606,2024-04-29_17-05-13,1260,562,394,82000.0,415,-48.16,1064,1064,1064,55000.0,16000.0
SQUISH,SQUISH,35ezjjesbcgdkjmcruuunzjqxwmlqqe7pfm9j739cm3m,0.057532,2024-04-29_17-05-13,1440,605,648,103000.0,437,-4.41,799,799,799,40000.0,75000.0
Stripe,STR,427oyadfntjyisud2wbikouh6xtojjtxa62b4n6q1un3,0.09536,2024-04-29_17-05-13,1500,80,21,40000.0,64,64.14,68891,68891,68891,72000.0,95000.0
Book of Retards,BORE,5najdh2cpvmbnwusecgmcyynkqqouwhu7f6gkneakbgv,0.002431,2024-04-29_17-05-13,1500,2725,1730,465000.0,1243,9.13,1607,1607,1607,12000.0,24000.0
COCO,COCO,8xgjz3rpujumzyckvyxofd3m22lghy7wnzeq4xwh6pdj,0.00009732,2024-04-29_17-05-13,1980,1028,660,255000.0,785,-8.20,75.05,75.05,75.05,30000.0,92000.0
Galxe,GAL,hkhdhk9x1buq7r6olagw67c7xjnux9ewrtjvaprkvzga,0.0004354,2024-04-29_17-05-13,2160,213,149,33000.0,159,1.50,14.42,14.42,14.42,810000.0,435000.0
Solana Depot,SOLDepot,9jhrht9mehwgdi4sz7tpfz9whwfg5ejy1ya2nyenvidu,0.00001179,2024-04-29_17-05-13,2400,597,489,75000.0,444,32.93,1400,1400,1400,55000.0,11000.0
Pete The Turtle,PETE,c7bz2eec6r8nyqmzterysnrxasegwdzqq8czabdt2cgg,0.052287,2024-04-29_17-05-13,2460,267,385,54000.0,248,-0.47,30.84,30.84,30.84,24000.0,22000.0
WhisCat,WHIS,7n6xdzu9vrzdgp5rfzkhttqw2ugqujyf5mziwow8grcs,0.054816,2024-04-29_17-05-13,2460,418,450,48000.0,361,-9.99,141,141,141,51000.0,48000.0
Palmela Handerson,HAND,amneeepvqtwyugrqa1evhcpvsnibyphf3betnofwwt9q,0.00001726,2024-04-29_17-05-13,3000,600,694,83000.0,479,5.11,811,811,811,99000.0,17000.0
🐭RAT GROK ON SOLANA,🐭RAT,7z4dqmd4nocjjuslqpby4s254gfzjw33p8ew2cxssqdg,0.0001688,2024-04-29_17-05-13,3120,2215,599,741.0,2213,0,0.07,0.07,0.07,37000.0,50000.0
Wolfie,WOLFIE,326umzsxhm372y5rea2ubvwdceyn39xeo82yrmj1l1kl,0.0001380,2024-04-29_17-05-13,3540,2011,1298,925000.0,1215,-11.01,158,158,158,37000.0,138000.0
AstroAvocado,AVO,cf56zeqawvyny7uhmvnbrtv4x5cis5fxswsuvuymzzi3,0.001200,2024-04-29_17-05-13,540,135,19,14000.0,45,1.46,2.20,8.48,8.48,91000.0,48000.0
AIEMP,AIEMP,8fpuwzeapbrx2cexi7bj98uv3tdrfzn8tt2dtgzkwfwl,0.075293,2024-04-29_17-05-13,660,123,35,17000.0,117,0.41,8.87,19.92,19.92,93000.0,52000.0
APE WITH SWAG,$SWAGAPE,5glefzz7r3edtmh4nx5cxbkytj2cybc9d7xmzszejgdh,0.051283,2024-04-29_17-05-13,660,2490,2687,411000.0,2297,-1.70,-97.62,-37.90,-37.90,20000.0,12000.0
Pineapple Cat,PICA,4dhyjatcsfc7jhwgpbqydugysbaz6kkjvpvrgqmhufpz,0.0001349,2024-04-29_17-05-13,780,470,847,84000.0,490,-0.33,-93.20,-38.75,-38.75,23000.0,13000.0
