token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
RICH MR PANDA,MR PANDA,8nrjrqfj5s3pvwtw8cbvy1gz5gpk73vi3jxwwg7gfe4c,0.058141,2024-04-29_17-05-13,960,258,260,12000.0,269,-10.60,63.72,246,246,74000.0,81000.0
The FrogFather,TFF,ekzubl8nad4ipffwjeyoi9zwfmdxnwjcpnmhivfpp7r1,0.00005486,2024-04-29_17-05-13,1020,531,403,135000.0,466,0.67,0.84,3.03,3.03,22000.0,54000.0
VIBE,VIBE,3aqteevkr1e3n6fndjn61eqlsqkgfsnqkegudmpkqq9w,0.051352,2024-04-29_17-05-13,1080,465,231,154000.0,391,-2.18,-45.92,32.85,32.85,47000.0,135000.0
EigenLayer,EIGEN,adsqv5mym8fzuczosk1nta15bw7parak7r6kwzkgki54,0.008843,2024-04-29_17-05-13,1380,739,407,242000.0,232,0,19577,22197,22197,58000.0,884000000.0
Nike Elite Socks,ELITES,2t4natczf28d9tafdgxtljausdtwsk7e7fkrkdyeypxi,0.5023,2024-04-29_17-05-13,1500,1022,1005,577000.0,622,5.10,-36.74,21990,21990,34000.0,461000.0
Quack Capital / 5GddexuCGfWx1PgQ5tuHXvqqQ1t24Jwv3mPWeSxw73ys,QUACK,7phkqgrkgkl1krmuqjuoxgfych3rxnewyolbxsleopn5,0.058687,2024-04-29_17-05-13,2100,23,9,35000.0,8,0,-27.47,-5.67,-5.67,11000.0,86000.0
Dexana,DEXANA,g9mj8yjou5r4fsvtchya4vx3cw9wkjlccyxpp4h1hsud,0.0005685,2024-04-29_17-05-13,2220,60,80,11000.0,48,8.49,-28.43,-18.91,-18.91,48000.0,568000.0
PULSR,PULSR,93dcmdn4fmmbsybhbusgwvpm6w55uzqz6s2bbbug29u7,0.01252,2024-04-29_17-05-13,2220,9,8,50000.0,7,0,-0.91,-8.28,-8.28,17000.0,12000000.0
There Is No Meme I Love You,ILY,hburtcnju7yzicxpcj3opy1kz9mszk7vzv7keeupqsmm,0.00006350,2024-04-29_17-05-13,2280,2367,1542,886000.0,1300,-23.76,-67.05,19.94,19.94,25000.0,63000.0
WORK FOR YOUR BAGS,WORK,81phzuxr1d69b1xcjhdy6q5nquneaucmmzxd54rlejtc,0.053539,2024-04-29_17-05-13,2520,36,13,691.0,5,0,23.23,28.36,28.36,62000.0,35000.0
Red Green Blue,RGB,aarjxoh7g8il548gsccpj746sp5s5ajjxnrn6tholmsq,0.002196,2024-04-29_17-05-13,2580,11979,11615,33000000.0,8785,3.35,17.68,60.79,60.79,356000.0,219000.0
Planet of the Apes,APES,ebbfykdwcjxutmcppplslwkrvqdvehge9vhxibz1o86b,0.00001080,2024-04-29_17-05-13,2820,770,657,105000.0,533,16.64,-57.29,689,689,55000.0,10000.0
804,804,3wcbl1yd3sma8skzldwt9ogxnbtoxrsq6nfuikvone4v,0.052028,2024-04-29_17-05-13,2940,41,28,invalid value: 660,42,0,0,-5.60,-5.60,13000.0,20000.0
FREECZ,FREECZ,48eb4vqqnjzmkpav9vmttjsbccc7zrwruxn7dyy3rfno,0.068594,2024-04-29_17-05-13,2940,4,1,invalid value: 140,1,0,0,20.93,20.93,15000.0,859.0
Fengi The Cat,FENGI,634ykphbcpbcfddfcikrv9kxa25dgfkkgavyan26htyt,0.068970,2024-04-29_17-05-13,3180,404,647,68000.0,411,-0.30,-16.56,-70.33,-70.33,15000.0,897.0
Pusse,PUSSE,bydcxgzjlxh7u7px1ntaixdjumytxbbs11lthihwsevz,0.0002593,2024-04-29_17-05-13,3420,1,1,46.0,1,0,0,1.50,1.50,10000.0,259000.0
Tsukiji,TSUKI,h1ldr5axfvnrc9cdlj24fxsr4b2brufddwc2x9zmaasg,0.063454,2024-04-29_17-05-13,3420,1479,1107,307000.0,914,0.38,-91.49,331,331,30000.0,30000.0
Arug the Magic Carpet,$ARUG,d4nrrjd2zap9jv4qzay515sru32j3f2xbufdxt52jfkz,0.00004511,2024-04-29_17-05-13,3540,319,174,49000.0,289,0.33,9.72,-14.48,-14.48,20000.0,43000.0
Jesus wif Bible,JWB,bht3gorsscwuga1b2anlv8y1pfhgkx1cctkkxf3bjbcz,0.00003137,2024-04-29_17-05-13,3720,522,380,107000.0,439,0.49,9.54,-40.49,-40.49,16000.0,31000.0
Ham The Astrochimp,HAM,ajwczeft2k6sey1e4j2jjadjswsxcznmeckvtywo7mps,0.054127,2024-04-29_17-05-13,3900,304,249,50000.0,320,0,-8.03,-92.18,-92.18,61000.0,41000.0
Atomic Token,AtomX,e78bqafhe1ftmn4ieimhth8ahvns2bmsw65cchrjp2nw,0.053620,2024-04-29_17-05-13,720,438,349,59000.0,382,-13.35,-21.35,112,112,43000.0,36000.0
Dogeverse,DOGEVERSE,2kkgsymo1z6ku3js47mct9kavce7zrhe2mscdd8karp9,0.053867,2024-04-29_17-05-13,1020,6,1,invalid value: 380,3,0,0,466,466,13000.0,38000.0
CoolCoin,COOL,dbkv4uqdcykthtw9atly4zfdv1mmj6gdwtjtf8mvlzun,0.053472,2024-04-29_17-05-13,2220,18,3,562.0,2,0,0,28.31,28.31,61000.0,34000.0
CAT TOKEN,CAT,hnwzqqhdw8fzckwwruxj5bxbjraogpulvvleqvevyh75,0.054244,2024-04-29_17-05-13,2520,84,62,13000.0,97,0,-58.47,-86.08,-86.08,42000.0,42000.0
mrPOTATO,POTATO,cm3r2r8o1kqy4hmhsc9cy5g2htr8p5zgbq2wvn8e3ip4,0.054626,2024-04-29_17-05-13,2580,343,288,28000.0,313,7.77,-24.27,202,202,39000.0,41000.0
顔無し (Kaonashi),NOFACE,ejbm922ydnnpztnqbqkz857ct6atrt5kpx9bboyrwqtc,0.051073,2024-04-29_17-05-13,2760,518,574,102000.0,450,0,-26.77,-73.77,-73.77,18000.0,10000.0
Alameda Research ,ALAMEDA,ezdd5padrycngkz1gzvqun9fzrpczh77nddzhzvpludo,0.0001394,2024-04-29_17-05-13,3120,774,1203,121000.0,602,0,-19.94,-39.10,-39.10,20000.0,13000.0
Solvation,SOLV,3kki7gdj5hlr8plojzegqjzpgldftryxcakesyogxn1z,0.0001218,2024-04-29_17-05-13,3360,289,185,34000.0,268,-0.04,1.21,11.73,11.73,57000.0,406000.0
Let's Go Boden,LGB,bpzwi5xappt8zcrwuytiqkutrpcryoxpfqar2lxbx7gv,0.057366,2024-04-29_17-05-13,3780,640,362,66000.0,516,0.12,11.14,404,404,47000.0,73000.0
Silver Surfer Solana,SSS,cig5rzypfeztnwucavnqcuqhk2wdyjvbwnf8fnimhjcn,0.0001823,2024-04-29_17-05-13,3840,86,58,11000.0,98,0,-6.75,-9.36,-9.36,25000.0,182000.0
Nihao Cat,NIHAO,7or2j2klh4wmxxyncqwercssd1pw1gsuyck723qqjcpi,0.004431,2024-04-29_17-05-13,4080,13,10,408.0,7,0,24.96,20.07,20.07,15000.0,443000.0
caht,meow,9fy7foktgyp3dlzmvjnrxtb4nk4murx4bwtj5ki52mfh,0.00009996,2024-04-29_17-05-13,4140,431,693,45000.0,400,0,-0.44,-50.73,-50.73,16000.0,10000.0
QUACK AINT QUACKING,AIN'TQUACK,3svutpmtgsn6hh74furmkhyz6jjcut46jqutfgloouwy,0.053350,2024-04-29_17-05-13,4200,557,513,121000.0,501,0,-13.84,-93.76,-93.76,56000.0,33000.0
Mike Tysol,TYSOL,887amt21sgvuheg2e5raqayhrhahqjprlu4dpuheb9ut,0.066647,2024-04-29_17-05-13,1320,199,393,16000.0,177,0,0,-9.56,-9.56,11000.0,665.0
Wonk,WONK,bxk3yj2k1hcde7aswski5b83yypk2gcrd7atf4mkyfjc,0.069084,2024-04-29_17-05-13,1860,399,465,42000.0,323,0,0,54.69,54.69,13000.0,908.0
Gucci Cat,GUCAT,gz98dqfzc4kyrjtuj5mmytdedhwrngu6m8hbfedf1xam,0.0002070,2024-04-29_17-05-13,1920,1299,1453,226000.0,961,-0.77,-95.16,-32.31,-32.31,29000.0,20000.0
FukuFlip,FUKU,6eazjb5czq9pneznjpv9qsxk7od72fpwnct4nhee3afy,0.00002935,2024-04-29_17-05-13,1920,1451,1184,502000.0,1007,0,-19.21,91.75,91.75,40000.0,29000.0
CoolCoin,COOL,9yapdswtaoduu79v5h8nteutbqxzpffymgjhftkjh84v,0.053619,2024-04-29_17-05-13,2100,43,9,559.0,3,0,0,33.66,33.66,62000.0,36000.0
Quack Capital,QUACK,7afkvh92osy8i4jacgdb2ti6otevdi3mbjxrzbnhfijv,0.0004487,2024-04-29_17-05-13,2160,10570,5105,172000000.0,5198,-10.22,-25.15,3920,3920,338000.0,16000000.0
Fag Inu,FAG,h3amjrgssawjstugfxawswtfqde1fggazuw8sykw3zwb,0.0007519,2024-04-29_17-05-13,2160,81,130,27000.0,146,0,0,-65.21,-65.21,14000.0,752.0
PEPE,PEPE,fr63zeanajqxtakhxst5st37brcpcpmwn6hyjozhlxnp,0.066532,2024-04-29_17-05-13,2220,187,717,14000.0,162,0,-2.30,9.61,9.61,11000.0,653.0
Book of Trillionaire,BOT,2qeusgxrdwsbzkredkqqcegxtdq9knrephhtdzgz1jpi,0.0001150,2024-04-29_17-05-13,2280,415,1119,71000.0,413,-0.39,-0.77,-46.83,-46.83,19000.0,11000.0
SamTheCat,SAM,6mjjftvvsykrtuudzxcuqvthfw9hz5zptgcn7okjyujw,0.057725,2024-04-29_17-05-13,2400,163,559,27000.0,165,-0.62,-4.99,-71.43,-71.43,13000.0,773.0
FREECZ,FREECZ,7qsryqgr5kqw8jondqer8bonu6a9oztxijbe6dhc6lds,0.053812,2024-04-29_17-05-13,2400,288,269,57000.0,307,0,-29.72,-92.98,-92.98,60000.0,38000.0
HurryPutterJeoBodenMew10Inu,SOLANA,d6dobcppqgugxqtk7vnuwan3ckjkw8nrjljqgjw9oz7d,0.051757,2024-04-29_17-05-13,2460,511,539,111000.0,496,-13.73,-45.26,-35.98,-35.98,21000.0,17000.0
Quack Capital,QUACK,5h68dnafzxz8gqy2n5lp6aevsn6ktqfy7qssjxmcl7nf,0.001709,2024-04-29_17-05-13,2880,765,819,340000.0,625,0,-2.95,-57.19,-57.19,28000.0,17000.0
FreeCZ,FREECZ,f23slq12kwukpwnvjv5s3t1lcdm4371rdcmyjxk3eieg,0.001823,2024-04-29_17-05-13,2940,771,572,58000.0,351,-3.21,-15.97,324,324,17000.0,18000000.0
PROBE,PROBE,8k8gukp4snzvmzvymlmutlh9qlgmpktaoklsgwjxrehr,0.02857,2024-04-29_17-05-13,3240,0,2,788.0,2,0,0,-1.44,-1.44,15000.0,285000000.0
Chimpepe,CHPEP,872whebbam2spp82kkbeupepy2h3dmsprouxrvwcl6as,0.055683,2024-04-29_17-05-13,3420,412,272,16000.0,269,1.46,6.17,306,306,48000.0,56000.0
Erca,$ERCA,9bxv7vjctnek2fyaya1o9wqelrore73nr19zeczumadi,0.054194,2024-04-29_17-05-13,3480,1276,957,372000.0,899,0,1.91,-93.20,-93.20,63000.0,41000.0
Shork Tenk,TENK,bondry5ughg7dlcob4updidtsckgyrxf96vvrihksrks,0.00009844,2024-04-29_17-05-13,3960,3694,2917,808000.0,1705,14.16,21.67,5274,5274,16000.0,74000.0
CatteCat,CAT,g9nlnhmlyf8bpqvk1fsfxoaanioyfnnbl35tqrd7wjuq,0.00006255,2024-04-29_17-05-13,4080,897,748,160000.0,571,-0.64,-13.38,805,805,43000.0,62000.0
JEWTUBE,JEWTUBE,57fyydn4z4g1dp9pfjxa3pkey8tnxbuhqsj2kgqcvf6w,0.067997,2024-04-29_17-05-13,4080,349,382,33000.0,287,-0.25,-0.80,-41.12,-41.12,12000.0,invalid value: 800
THIEFZ,THIEFZ,hcm6h8ht4mgya6wtoaj11e1hgdyb1goi8ttxuuusybd1,0.053076,2024-04-29_17-05-13,4500,70,49,36000.0,64,0,-3.91,-11.95,-11.95,18000.0,25000.0
Sol Sacks,SACKS,pzgurmcly4jsrn36hwc7eqfbm64ngyquwqckapvht3l,0.069049,2024-04-29_17-05-13,1440,465,597,59000.0,364,0,1.73,51.25,51.25,13000.0,905.0
BOOK OF MILLIONAIRES,BOME2.0,bqfg6jvhmkqds8dqxy6rdjvdcqfghhvgdp4xkbjrf6gf,0.051273,2024-04-29_17-05-13,1500,15,5,18000.0,2,0,0,82.44,82.44,18000.0,12000.0
popoPOPOpopo,popo,i6my4szggulhraajlq7xmmbh54lmsrq5c2avguc334p,0.00009031,2024-04-29_17-05-13,1560,5613,4867,16000000.0,2439,3.43,51.33,9963,9963,19000.0,90000.0
MTV,MTV,8nulanpnwrocbysldxd3odlfhgw99rxab1vbaaoyfhud,0.0001155,2024-04-29_17-05-13,1680,213,766,46000.0,246,-1.19,-1.36,-57.26,-57.26,21000.0,11000.0
deth,deth,6mjysnfqukt5wnkjjjvjucrak4yvdhqmr2rap3xynlcz,0.053661,2024-04-29_17-05-13,1680,587,514,125000.0,507,0,-2.54,-93.09,-93.09,58000.0,36000.0
book of pump.fun,BOPF,96zjvb3bkpboibjmnupasb2jb2gony6gxwfcdfivvpm7,0.054315,2024-04-29_17-05-13,1740,995,838,374000.0,764,0,-1.02,-91.80,-91.80,65000.0,43000.0
Game Of Cats,GOCA,4hvmyszyeruy39fdjaqre6qrz9muqrewf4pawjlptibt,0.0001210,2024-04-29_17-05-13,2040,554,682,111000.0,500,0,-2.26,-52.67,-52.67,20000.0,12000.0
FreeCZ,FREECZ,ckfht1jbqaas5tlgp2ygqp6v5f6czzjzqivcwarqp1tn,0.001809,2024-04-29_17-05-13,2940,5970,4075,79000000.0,2609,-3.93,-9.29,3256,3256,497000.0,18000000.0
Wrapped Commune AI,wCOMAI,3ouzvgzqpt4y8d2yrtytkgec5rgu1ufzsehax8crp5lm,0.7733,2024-04-29_17-05-13,3060,143,51,38000.0,143,0,-3.85,-1.01,-1.01,15000.0,84000.0
Don't Mess With Tesla,DMWTesla,8qvbuadavgqqij6yzhfwt3g4dp4rqcvpyjxdygm4qqec,0.0003726,2024-04-29_17-05-13,3240,2807,1255,10000000.0,355,0.48,2.43,121,121,508000.0,372000.0
Fxck Raydum,$FRAY,bwiqsnfyipqduhcpvlz2qsk7bcduskifnowtxkhkm4vq,0.053867,2024-04-29_17-05-13,3420,417,257,67000.0,346,0,-1.85,280,280,81000.0,17000.0
Sir Brett,$SRBRETT,3dey61xawcwdkemkrxur8zn3tda6r5bmgjremmsuzbod,0.054761,2024-04-29_17-05-13,3420,962,662,161000.0,664,-3.03,-8.81,-90.80,-90.80,67000.0,47000.0
SOL Goodman,SOLG,gb5hkbus15meayzzinbevyn6arbjb1p3fp8ztgd2emyv,0.00008760,2024-04-29_17-05-13,3480,249,399,41000.0,266,0,2.49,-53.50,-53.50,15000.0,876.0
Quack Capital,QUACK,fyqot5ycrxwqbrtdf27jhyhbbsovoflmxtnbela5blof,0.001029,2024-04-29_17-05-13,3780,154,237,26000.0,202,0,0,-70.46,-70.46,18000.0,10000.0
SAKAMOTO,阪本,e7vjtq3xuddq76nxpvupolgu2mbu5t9hhfewg6srgm2s,0.0001095,2024-04-29_17-05-13,3840,375,418,46000.0,368,0,0,-45.50,-45.50,17000.0,10000.0
MUFFY,MUFFY,gt4zrbl7n57ozjyesgy7kxkkvulq6dpvcl5adgdvdten,0.00002466,2024-04-29_17-05-13,3900,743,635,116000.0,589,0,5.99,185,185,24000.0,24000.0
Murvel,MURVEL,9ykop8jnl3oytybtqccnn6nj9ma4ybp52xhacawvv2rv,0.067768,2024-04-29_17-05-13,4140,293,351,21000.0,239,0,-5.30,28.85,28.85,12000.0,777.0
Mr.RATBURN,RATBN,cetdcmstk8et9ujqr5nwraufxetceibvc2ekavmxmmgt,0.00007645,2024-04-29_17-05-13,4200,263,191,50000.0,258,0,-4.16,45.92,45.92,26000.0,76000.0
TRANNYMANIACS,TRANY,9ix8wjt4fjkd7tufgrzzebqfkfnznubwbiragmtedyxo,0.055259,2024-04-29_17-05-13,4380,178,280,16000.0,156,0,0,-13.28,-13.28,10000.0,526.0
ALIEN PEPE,$ALIENPEPE,fzydor5cgumfgaeg4cxlzeljoywguxivqkm4vfzwaus6,0.052537,2024-04-29_17-05-13,4440,901,834,183000.0,718,-0.38,-1.51,25.11,25.11,34000.0,25000.0
Solintel,INTEL,bwqy1qshdufgazsmgwruqxnqh3d5uwd8hfh93kiee8sp,0.066581,2024-04-29_17-05-13,4560,66,78,17000.0,76,0,0,-71.22,-71.22,13000.0,658.0
Cobra,Cobra,7l9qnuoexs1ymazznfwdpbzu3ebc6xw8qpgha6mdozbm,0.00003036,2024-04-29_17-05-13,4680,2680,1599,10000000.0,333,0.64,1.95,78.19,78.19,460000.0,303000.0
