token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
duk,duk,,0.006637,2024-05-01_20-07-16,180,0,1,23.0,1,0,0,0,0,37000.0,66000000.0,c9mzuctlnblw3jear1hkvwodofagjgrqkk3zfuakalsc
Racist Dog,RACIST,,0.00005373,2024-05-01_20-07-16,540,120,18,77000.0,119,13.24,4.16,4.16,4.16,21000.0,53000.0,5j8pdeb3htrjpk27ohmemcuvaccjk7hhq4vdxvbuxgba
Book of Michi,$BOMI,,0.00008205,2024-05-01_20-07-16,540,525,229,157000.0,459,35.72,59.06,59.06,59.06,26000.0,82000.0,dx9otevyqu8pi46mny9je3ahnaydwja8woh2o4uwtbky
Pichi,PICHI,,0.01270,2024-05-01_20-07-16,660,80,20,13000.0,70,-60.84,876,876,876,81000.0,12000.0,8mlh573bbsyo5som3jmff4yajwvzoyru8bgcfmihdbuh
kunye weast,yezzey,,0.0009962,2024-05-01_20-07-16,720,199,738,18000.0,277,0.96,-59.64,-59.64,-59.64,16000.0,996.0,gfh1ymhxxzeb6gwoewr57b5xug2hjurxaymujkt117ox
KAIBYŌ,KAIBYŌ,,0.051324,2024-05-01_20-07-16,840,357,174,44000.0,318,66.24,526,526,526,72000.0,10000.0,4ukg228n8nloczmnmvoamouynanzgqpyfet5anq7xxkx
Sylvester,SYLVESTER,,0.054921,2024-05-01_20-07-16,900,484,396,48000.0,415,18.12,178,178,178,25000.0,49000.0,bcoqfrwszb2t1fxn79gvdx2dbbvt42cugwqr8t4qok6o
kawaii pengu,kawaii,,0.0002300,2024-05-01_20-07-16,960,671,405,212000.0,535,84.79,7578,7578,7578,33000.0,230000.0,ckmgcvcjohobeqpgqxybxnayxpvvkcysrkm73a7gd85e
sheitlock homeless,SHEIT,,0.051759,2024-05-01_20-07-16,1680,338,225,19000.0,238,-12.25,-42.33,-42.33,-42.33,14000.0,17000.0,a8is4glj5vvpup4wltzse5rvtvktwmkddt4ka8meydkd
Spider Cuz,CUZ,,0.051683,2024-05-01_20-07-16,1680,94,89,14000.0,92,-7.77,-1.90,-1.90,-1.90,23000.0,16000.0,3mf9pduks4ckvywdghsbyywqfxuhsesqsnpdx9fcouqd
