token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
nubfrog6,nubfrog6,bks9yrnkvhqbxmuvciuquddadjzz2d4awzf89eryzzqa,0.007953,2024-04-29_16-47-31,60,34,5,173.0,34,0.14,0.14,0.14,0.14,31000.0,795000.0
MemeKen06xc824zWorearvil,ROMOE,btqozjs16snykuvd7nb4r2bwyxtk4ardnor7ab3emkdl,0.1021,2024-04-29_16-47-31,60,41,7,21000.0,38,286,286,286,286,70000.0,90000.0
Grumpy Bear,GRUMPYBEAR,hefqjsde7vzappkqrxvdegw5hrrcnfsqbdzd8bbaqdbs,0.001177,2024-04-29_16-47-31,60,38,5,88.0,37,0.22,0.22,0.22,0.22,93000.0,47000.0
SPOODIFY,SPOODIFY,ga4slxdtswpd6x5p6c1nybq15hjvgd1eb2afcexxhewn,0.056524,2024-04-29_16-47-31,180,161,78,13000.0,155,373,373,373,373,34000.0,65000.0
SQUISH,SQUISH,35ezjjesbcgdkjmcruuunzjqxwmlqqe7pfm9j739cm3m,0.00002890,2024-04-29_16-47-31,360,327,389,65000.0,287,435,3349,3349,3349,77000.0,28000.0
Trumpwifhat,$TRUMP,4ebufrduy2etdpkw3jd6glr2rlykjdjms7yq5zxdxuuo,0.056468,2024-04-29_16-47-31,360,68,8,38000.0,50,10.14,12.98,12.98,12.98,120000.0,64000.0
Stripe,STR,427oyadfntjyisud2wbikouh6xtojjtxa62b4n6q1un3,0.007019,2024-04-29_16-47-31,420,51,3,10000.0,51,195,4978,4978,4978,19000.0,70000.0
Book of Retards,BORE,5najdh2cpvmbnwusecgmcyynkqqouwhu7f6gkneakbgv,0.003706,2024-04-29_16-47-31,420,1206,653,264000.0,687,-51.00,2503,2503,2503,14000.0,37000.0
MANEKI CAT,CATMANEKI,thbsxhwzmqd2uexvg9smx9721t8hunpmuzkzrh3ayxe,0.00001801,2024-04-29_16-47-31,540,54,6,18000.0,40,3.66,9.13,9.13,9.13,79000.0,41000.0
Bidenwifhat,BIDEN,epyfzqsonatdgvucjmaf54jv7ag5hlnyx1w26tyd3eae,0.056091,2024-04-29_16-47-31,600,70,12,77000.0,41,40.35,60.96,60.96,60.96,70000.0,44000.0
