token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
POPEYE,POPEYE,,0.056148,2024-05-01_20-10-46,29,31,3,3.0,31,-0.49,-0.49,-0.49,-0.49,93000.0,46000.0,7e6svgem4suek7b3l4ueer3yqh5yvbrsmo76xc3nxfjy
zazu,zazu,,0.051750,2024-05-01_20-10-46,120,24,1,467.0,24,33.94,33.94,33.94,33.94,30000.0,17000.0,3v72fqvtxpd9hykgkz76ej9wuuar2ueesntxlqm3f7cx
Runestone,RUNE,,0.001420,2024-05-01_20-10-46,120,143,57,19000.0,140,8.72,8.72,8.72,8.72,271000.0,142000.0,4557tv1kakahynr6f1n2gu8tp7rdovmdajjfgvuqyqs8
czSAFU,czSAFU,,0.051155,2024-05-01_20-10-46,240,4,0,38.0,3,15.28,15.28,15.28,15.28,10000.0,11000.0,9spsbq9acl6fsc9lydcxrwwwc5hquqjopxaypxwfz7yb
duk,duk,,0.006637,2024-05-01_20-10-46,420,0,1,23.0,1,0,0,0,0,37000.0,66000000.0,c9mzuctlnblw3jear1hkvwodofagjgrqkk3zfuakalsc
Racist Dog,RACIST,,0.00007930,2024-05-01_20-10-46,780,136,36,10000.0,135,51.43,53.74,53.74,53.74,26000.0,79000.0,5j8pdeb3htrjpk27ohmemcuvaccjk7hhq4vdxvbuxgba
Book of Michi,$BOMI,,0.0001247,2024-05-01_20-10-46,780,678,331,202000.0,590,41.03,142,142,142,33000.0,124000.0,dx9otevyqu8pi46mny9je3ahnaydwja8woh2o4uwtbky
Pichi,PICHI,,0.02554,2024-05-01_20-10-46,900,96,31,18000.0,74,148,1862,1862,1862,11000.0,25000.0,8mlh573bbsyo5som3jmff4yajwvzoyru8bgcfmihdbuh
kunye weast,yezzey,,0.0009282,2024-05-01_20-10-46,960,209,740,18000.0,278,-11.38,-62.40,-62.40,-62.40,15000.0,928.0,gfh1ymhxxzeb6gwoewr57b5xug2hjurxaymujkt117ox
KAIBYŌ,KAIBYŌ,,0.051291,2024-05-01_20-10-46,1080,372,190,46000.0,329,29.74,511,511,511,71000.0,10000.0,4ukg228n8nloczmnmvoamouynanzgqpyfet5anq7xxkx
Sylvester,SYLVESTER,,0.053514,2024-05-01_20-10-46,1140,505,410,50000.0,425,-19.34,98.31,98.31,98.31,21000.0,35000.0,bcoqfrwszb2t1fxn79gvdx2dbbvt42cugwqr8t4qok6o
kawaii pengu,kawaii,,0.0001585,2024-05-01_20-10-46,1200,786,506,240000.0,593,-33.10,5191,5191,5191,27000.0,158000.0,ckmgcvcjohobeqpgqxybxnayxpvvkcysrkm73a7gd85e
Gury Vee,GuryVee,,0.0002650,2024-05-01_20-10-46,1500,6,24,12000.0,6,1.14,4.29,4.29,4.29,10000.0,265000.0,5jfu1yekokgnvkgowhbhdgayzknxxz6d4kfeqwx5wiwu
sheitlock homeless,SHEIT,,0.051806,2024-05-01_20-10-46,1920,339,232,19000.0,238,2.66,-40.80,-40.80,-40.80,14000.0,18000.0,a8is4glj5vvpup4wltzse5rvtvktwmkddt4ka8meydkd
Spider Cuz,CUZ,,0.051683,2024-05-01_20-10-46,1920,94,91,14000.0,92,-3.82,-1.91,-1.91,-1.91,23000.0,16000.0,3mf9pduks4ckvywdghsbyywqfxuhsesqsnpdx9fcouqd
SnackSwap,SNACK,,0.0005041,2024-05-01_20-10-46,2580,144,21,16000.0,37,0.82,8.03,8.03,8.03,97000.0,50000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Obuma,Obuma,,0.052068,2024-05-01_20-10-46,2760,620,484,45000.0,403,-35.34,202,202,202,23000.0,20000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.055288,2024-05-01_20-10-46,3120,417,353,98000.0,319,-70.74,-89.76,-89.76,-89.76,67000.0,52000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.00006617,2024-05-01_20-10-46,3360,1011,714,354000.0,676,33.88,27.98,27.98,27.98,24000.0,46000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001337,2024-05-01_20-10-46,3720,1495,919,440000.0,870,23.48,69.70,158,158,34000.0,133000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00002044,2024-05-01_20-10-46,4080,218,168,28000.0,256,0.56,-22.69,-59.89,-59.89,13000.0,20000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079645,2024-05-01_20-10-46,4140,196,152,82000.0,173,0,-43.67,-12.80,-12.80,17000.0,965.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00004011,2024-05-01_20-10-46,4740,815,808,125000.0,539,-16.27,-91.84,446,446,32000.0,40000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00001302,2024-05-01_20-10-46,4860,418,277,66000.0,307,-29.23,-43.68,-74.52,-74.52,10000.0,13000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.00001794,2024-05-01_20-10-46,4920,1850,1239,327000.0,1200,-34.68,-94.65,219,219,23000.0,22000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
AiDrop,AiDrop,,0.00002248,2024-05-01_20-10-46,5340,626,485,101000.0,499,-4.30,-20.28,-56.43,-56.43,14000.0,22000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.051970,2024-05-01_20-10-46,6000,149,46,35000.0,147,0,4.11,36.69,36.69,10000.0,59000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002333,2024-05-01_20-10-46,6000,566,391,97000.0,441,-9.88,-3.41,705,705,95000.0,22000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.00008463,2024-05-01_20-10-46,6060,373,692,29000.0,306,-0.77,25.37,784,784,52000.0,84000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Mimi,MIMI,,0.056371,2024-05-01_20-10-46,6420,750,634,151000.0,553,9.83,-82.28,-88.04,-88.04,74000.0,57000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.058969,2024-05-01_20-10-46,6480,348,340,28000.0,317,0,-30.11,-44.38,-44.38,12000.0,897.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Swrek,SWREK,,0.052262,2024-05-01_20-10-46,6900,202,217,40000.0,224,0,-36.96,-95.67,-95.67,44000.0,22000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Book Of Prison,BOP,,0.053078,2024-05-01_20-10-46,6960,753,637,66000.0,525,-4.80,2.89,342,342,28000.0,30000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.053142,2024-05-01_20-10-46,7020,496,430,158000.0,446,0,-4.52,-94.14,-94.14,52000.0,31000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
TIM,TIM,,0.002896,2024-05-01_20-10-46,7200,14,11,10000.0,16,9.62,-6.67,-6.67,-6.67,21000.0,28000000.0,2jnvm3xkfgpiiefcajplisfabujj9msjvdrv6ppnbuyk
Unfuddables,PB&J,,0.00004316,2024-05-01_20-10-46,7860,599,465,232000.0,437,0.63,-13.68,-16.42,-16.42,19000.0,41000.0,cpbmhdu2wehqhhgj4mzhnwmqvau5ngzocbpmydvkbjpb
Hypnotoad,TOAD,,0.062272,2024-05-01_20-10-46,8220,82,29,17000.0,77,1.46,5.13,14.80,14.80,29000.0,22000.0,9h2cbevzejh25gga6rxtqbmrkhzxmzvxzjmzsltbm5h3
Emo Pepe,EMOPEPE,,0.067833,2024-05-01_20-10-46,8280,316,280,24000.0,244,0,-52.25,12.53,12.53,14000.0,783.0,darpvbqryugjhnohge2jgxksw2aw1iim9y9fyakf32gt
Reservoir Cats,RATS,,0.055236,2024-05-01_20-10-46,8280,674,611,153000.0,540,-6.95,-4.60,-89.85,-89.85,68000.0,52000.0,gthe6ppvbqnven1ddcc9mfwxn1cag4ezyftuwfcetbu9
🇱🇷 Trump Pepe,$TRUPE,,0.0002744,2024-05-01_20-10-46,8340,7845,4304,89000.0,4759,0.55,9.78,26.24,26.24,67000.0,109000.0,7uiceimc3qqw1xtfznimrvspcg4rylvavpuem9tstjtg
TRIXIEPUPPY,TPUP,,0.052346,2024-05-01_20-10-46,8640,302,217,21000.0,285,-0.94,-27.59,45.57,45.57,33000.0,25000.0,hzsz6elmgfhchrkbdpkrkdhhdxikqrcv59mocyjk1emt
🦇BATMAN ON THE MOON,🦇BATMON,,0.0008860,2024-05-01_20-10-46,8820,7096,3092,35000.0,4777,5.28,60.25,104,104,85000.0,119000.0,dbslgppesb6seaxtrjvvubdntxs5buqkjxfay7yurd1g
PEPE POLICE,POPO,,0.051771,2024-05-01_20-10-46,9240,64,21,10000.0,64,0,-0.63,-3.60,-3.60,31000.0,17000.0,61dtfo7svuqfmjjygbyu6a7u4nhbrvngewoohhnmfizz
🪭 Sora Geisha Cat,$GEKAT,,0.0005002,2024-05-01_20-10-46,9420,7055,1543,64000.0,4426,2.55,165,249,249,112000.0,300000.0,bze6wicu7pph4sujgw6zw9cvhkpzb4yr7guenjrfv7gc
Kermit the Frog,kermit,,0.0001651,2024-05-01_20-10-46,9480,1527,1083,614000.0,906,-6.90,-66.48,222,222,38000.0,68000.0,hwoykoqbpl9gl8rrhbj9rxtfahpo8ns7t89qtwijrxz5
Kanji,KANJI,,0.00002084,2024-05-01_20-10-46,9720,2780,2022,845000.0,1520,-3.19,-19.83,-59.09,-59.09,14000.0,20000.0,6uz3c3uuxleldjkponbqranppvxyzpntpw5kmxuhesfy
LIGHT,Light,,0.053162,2024-05-01_20-10-46,9780,465,544,119000.0,404,0,-0.46,-94.13,-94.13,52000.0,30000.0,gcnez5buh8ccxd6qizyyagtqq7xkc74aft488atfiqw3
mini,mini,,0.003061,2024-05-01_20-10-46,9900,25,37,74000.0,26,9.06,7.11,0.33,0.33,22000.0,26000000.0,9w1j6dvmkbqwckcsdqwknjqrynasqrh3jmdmhd6gnjli
