token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
The Zen Zone,ZEN,,0.001427,2024-05-01_19-35-09,300,180,95,32000.0,177,10.04,10.04,10.04,10.04,271000.0,142000.0,ix7erfst2glxag1dhzur31k1dpxqv4gdxi1sfiupa7r
SnackSwap,SNACK,,0.0004970,2024-05-01_19-35-09,420,56,6,30000.0,33,4.11,6.51,6.51,6.51,96000.0,49000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Trump is a silly fat guy,FatTrump,,0.00001472,2024-05-01_19-35-09,420,56,7,33000.0,40,10.21,16.63,16.63,16.63,84000.0,45000.0,3hxclvrteyajvcmmnthgdrqgnwkkcjk6damvhicxoofu
Obuma,Obuma,,0.058567,2024-05-01_19-35-09,600,349,192,25000.0,270,23.17,1150,1150,1150,47000.0,85000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.00007163,2024-05-01_19-35-09,1020,228,93,38000.0,205,-3.19,38.67,38.67,38.67,24000.0,71000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.0002136,2024-05-01_19-35-09,1260,702,427,275000.0,537,1.45,313,313,313,43000.0,149000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0002042,2024-05-01_19-35-09,1620,900,522,275000.0,647,21.44,294,294,294,42000.0,204000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00001744,2024-05-01_19-35-09,1920,197,154,26000.0,237,-10.76,-65.77,-65.77,-65.77,12000.0,17000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079306,2024-05-01_19-35-09,2040,193,149,80000.0,170,-1.51,-15.86,-15.86,-15.86,17000.0,931.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00008021,2024-05-01_19-35-09,2580,727,721,117000.0,507,61.36,991,991,991,44000.0,80000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00003063,2024-05-01_19-35-09,2700,373,211,59000.0,285,-7.89,-40.09,-40.09,-40.09,16000.0,30000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.0003153,2024-05-01_19-35-09,2820,1752,756,312000.0,1123,-12.58,5515,5515,5515,96000.0,38000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
Four Months CZ,FOMO,,0.00005415,2024-05-01_19-35-09,2820,173,114,40000.0,81,-71.86,314,314,314,53000.0,54000.0,gwkqwu5suoead9vsriqah1sjxhnrbcmvaz8qkfspveps
AiDrop,AiDrop,,0.00002689,2024-05-01_19-35-09,3180,591,445,96000.0,477,8.18,-47.87,-47.87,-47.87,15000.0,26000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.052057,2024-05-01_19-35-09,3900,146,44,34000.0,144,-0.67,6.09,42.70,42.70,10000.0,61000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002181,2024-05-01_19-35-09,3900,494,330,88000.0,400,-13.26,-38.01,652,652,91000.0,21000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
