token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Duper Dog,DUPDOG,,0.0004716,2024-05-01_18-22-21,60,25,3,83.0,25,-0.12,-0.12,-0.12,-0.12,94000.0,47000.0,glb3cge2emtoxm3xpcydrawrfttp6g26gcesp6hwzgct
Bidenwifhat,BIDEN,,0.058058,2024-05-01_18-22-21,180,44,3,573.0,38,4.42,4.42,4.42,4.42,53000.0,27000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
CatWifUnicorn,UniCat,,0.059125,2024-05-01_18-22-21,180,42,0,23000.0,42,364,364,364,364,84000.0,91000.0,cqqgdo1ccrqjwnmhse7wo2ypmbcddfcqwaemnrxpaop7
Trumpwifhat,Trumpwif,,0.055767,2024-05-01_18-22-21,300,63,4,16000.0,44,5.89,5.89,5.89,5.89,110000.0,57000.0,aqtfbhpnexa6knppfn1qpfmtzeeshatwg7timwkiwhv9
Swrek,SWREK,,0.00007203,2024-05-01_18-22-21,360,151,43,11000.0,149,-8.33,37.89,37.89,37.89,24000.0,72000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Trumpwifhat,TRUMP,,0.057350,2024-05-01_18-22-21,420,75,5,21000.0,44,5.49,7.32,7.32,7.32,111000.0,58000.0,8kzsthnaho621mrrkklskvochk6sbrlfmguu7efcar9n
Book Of Prison,BOP,,0.00001490,2024-05-01_18-22-21,420,296,158,28000.0,256,104,2041,2041,2041,62000.0,14000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.054312,2024-05-01_18-22-21,540,488,391,157000.0,438,-46.81,-91.96,-91.96,-91.96,62000.0,43000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
TIM,TIM,,0.003103,2024-05-01_18-22-21,660,0,1,19.0,1,0,0,0,0,22000.0,31000000.0,2jnvm3xkfgpiiefcajplisfabujj9msjvdrv6ppnbuyk
Canadian Cat,CATADA,,0.001742,2024-05-01_18-22-21,1320,2413,2229,639000.0,2400,0.83,32.05,32.05,32.05,303000.0,174000.0,7c8bnwwyiqc8qknkqqj1nfmwfbcw759wsw9yru73kcnt
Unfuddables,PB&J,,0.00003576,2024-05-01_18-22-21,1320,412,349,78000.0,348,-22.73,-30.76,-30.76,-30.76,17000.0,33000.0,cpbmhdu2wehqhhgj4mzhnwmqvau5ngzocbpmydvkbjpb
Hypnotoad,TOAD,,0.062029,2024-05-01_18-22-21,1680,71,24,15000.0,70,-0.66,2.54,2.54,2.54,27000.0,20000.0,9h2cbevzejh25gga6rxtqbmrkhzxmzvxzjmzsltbm5h3
Emo Pepe,EMOPEPE,,0.052356,2024-05-01_18-22-21,1740,312,259,24000.0,241,-7.96,239,239,239,24000.0,23000.0,darpvbqryugjhnohge2jgxksw2aw1iim9y9fyakf32gt
