token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Obuma,Obuma,,0.055748,2024-05-01_19-26-45,120,171,72,11000.0,142,739,739,739,739,38000.0,57000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.00008022,2024-05-01_19-26-45,480,177,48,23000.0,170,31.28,55.29,55.29,55.29,26000.0,80000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.0002468,2024-05-01_19-26-45,720,489,271,174000.0,417,34.13,377,377,377,46000.0,172000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001280,2024-05-01_19-26-45,1080,750,433,232000.0,573,2.62,147,147,147,33000.0,128000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00002111,2024-05-01_19-26-45,1440,192,136,25000.0,230,1.51,-58.57,-58.57,-58.57,13000.0,21000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079449,2024-05-01_19-26-45,1500,193,147,80000.0,170,-10.70,-14.57,-14.57,-14.57,17000.0,945.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00005342,2024-05-01_19-26-45,2100,670,686,109000.0,479,-83.43,627,627,627,36000.0,53000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00002839,2024-05-01_19-26-45,2220,363,203,57000.0,283,1.17,-44.47,-44.47,-44.47,15000.0,28000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.0003679,2024-05-01_19-26-45,2280,1698,696,294000.0,1113,-15.34,6450,6450,6450,10000.0,45000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
Four Months CZ,FOMO,,0.0001096,2024-05-01_19-26-45,2340,149,96,33000.0,81,29.44,739,739,739,76000.0,10000.0,gwkqwu5suoead9vsriqah1sjxhnrbcmvaz8qkfspveps
AiDrop,AiDrop,,0.00001901,2024-05-01_19-26-45,2700,561,433,89000.0,460,-5.96,-63.16,-63.16,-63.16,12000.0,19000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.052174,2024-05-01_19-26-45,3360,145,38,33000.0,144,-2.37,50.86,50.86,50.86,10000.0,65000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002876,2024-05-01_19-26-45,3360,480,309,86000.0,394,-2.24,892,892,892,10000.0,28000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.0001013,2024-05-01_19-26-45,3420,304,662,25000.0,289,17.35,959,959,959,56000.0,10000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.0009768,2024-05-01_19-26-45,3480,138,22,15000.0,43,-2.84,3.48,3.48,3.48,95000.0,48000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00002353,2024-05-01_19-26-45,3780,712,539,142000.0,531,-20.53,-65.53,-55.81,-55.81,14000.0,22000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.00001192,2024-05-01_19-26-45,3840,347,335,27000.0,316,4.86,-82.85,-26.04,-26.04,14000.0,11000.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Bidenwifhat,BIDEN,,0.00002646,2024-05-01_19-26-45,4020,337,17,22000.0,48,4.36,199,243,243,96000.0,89000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
Trumpwifhat,Trumpwif,,0.00001162,2024-05-01_19-26-45,4140,452,13,25000.0,49,3.67,88.46,113,113,156000.0,115000.0,aqtfbhpnexa6knppfn1qpfmtzeeshatwg7timwkiwhv9
Swrek,SWREK,,0.052293,2024-05-01_19-26-45,4260,200,217,40000.0,222,-7.49,-96.79,-95.61,-95.61,44000.0,22000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Trumpwifhat,TRUMP,,0.00001356,2024-05-01_19-26-45,4260,494,14,22000.0,50,3.42,74.67,98.08,98.08,150000.0,107000.0,8kzsthnaho621mrrkklskvochk6sbrlfmguu7efcar9n
Book Of Prison,BOP,,0.054936,2024-05-01_19-26-45,4320,742,592,64000.0,517,9.31,-47.10,609,609,36000.0,49000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.053184,2024-05-01_19-26-45,4380,496,428,158000.0,445,-2.10,-5.23,-94.06,-94.06,53000.0,31000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
TIM,TIM,,0.003117,2024-05-01_19-26-45,4560,2,3,131.0,5,-4.42,0.46,0.46,0.46,22000.0,31000000.0,2jnvm3xkfgpiiefcajplisfabujj9msjvdrv6ppnbuyk
Canadian Cat,CATADA,,0.072615,2024-05-01_19-26-45,5160,10312,9936,29000000.0,8527,78.07,-100,-100,-100,11000.0,3.0,7c8bnwwyiqc8qknkqqj1nfmwfbcw759wsw9yru73kcnt
Unfuddables,PB&J,,0.00005147,2024-05-01_19-26-45,5220,538,423,157000.0,426,1.40,30.06,-0.33,-0.33,21000.0,48000.0,cpbmhdu2wehqhhgj4mzhnwmqvau5ngzocbpmydvkbjpb
