token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
TRUMPWIFHAT,TRUMPWIF,,0.057059,2024-05-09_15-36-37,60,31,5,13.0,31,0.01,0.01,0.01,0.01,139000.0,69000.0,bjkhegxtiber1dxp2z8f26dxj2kbvadumbdkm1cayywe
Flawor,FLAWOR,,0.00005048,2024-05-09_15-36-37,60,139,72,35000.0,176,-26.87,-26.87,-26.87,-26.87,22000.0,50000.0,hlbz4gfi8pucueztj7rsfhuzqsq6tng5dzuvpyszwdnf
BORED AT WORK,BAW,,0.00005629,2024-05-09_15-36-37,120,71,15,19000.0,78,-3.04,-3.04,-3.04,-3.04,23000.0,56000.0,dq17ihspj1qmvtjupqrx5j46dfcvcbzoxopu6eetp2ve
Donald Trump,Trump,,0.00001086,2024-05-09_15-36-37,180,58,11,18000.0,53,5.72,5.72,5.72,5.72,124000.0,64000.0,6yy2peu1bdn3pfddsaiwobytw4phekiscshvrxcmeqna
Nala Cat,NALA,,0.00005310,2024-05-09_15-36-37,300,110,41,19000.0,87,-20.05,1651,1651,1651,12000.0,53000.0,5bnesjrwrgbequgizgdyljc2fvbmwxnzpp8gjawlyyfy
TRUMPWIFHAT,TRUMP,,0.056566,2024-05-09_15-36-37,420,62,10,43000.0,42,9.56,15.69,15.69,15.69,120000.0,65000.0,bfwuctwc1bdtnhzxsc7gftumivebnm3esrqbyhbqjecz
Smokey the Bear,Smoke,,0.0004601,2024-05-09_15-36-37,540,256,127,36000.0,201,-1.85,5361,5361,5361,11000.0,46000.0,gnwc7z1derp7bik3t7uefqg3qkgk5kfssnnaf1uzv92h
Sugar Glider Inu,SUGLI,,0.001710,2024-05-09_15-36-37,540,718,617,205000.0,714,-1.11,12.68,12.68,12.68,322000.0,171000.0,2jbwqnluklknffchpbxufnxqkda83ewyjbiqku3ozdhe
TRUMP2024,TRUMP2024,,0.00002372,2024-05-09_15-36-37,660,96,11,83000.0,51,6.82,20.95,20.95,20.95,176000.0,97000.0,2uqka3dzvppat1hcmpuhkdj2cuytnvp6aq4evybqn38j
HOOTIE,HOOTIE,,0.00003678,2024-05-09_15-36-37,660,263,148,41000.0,261,-1.98,-36.94,-36.94,-36.94,19000.0,36000.0,e557ffatrfnbbdaas199gheejcrrpuaddfahywhqvbxj
