token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Lilo Twins,$LILO,,0.0001241,2024-05-01_19-15-47,60,132,24,17000.0,140,140,140,140,140,32000.0,86000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
FuckBiden,FuckBiden,,0.054998,2024-05-01_19-15-47,180,44,5,20000.0,40,7.67,7.67,7.67,7.67,81000.0,42000.0,9aukhv65hsfkgwzqe5uf6gv5ispns6lsnpkh9qn8mnpe
No Rug Rick Token,$NRRT,,0.0001039,2024-05-01_19-15-47,420,429,149,111000.0,384,31.90,101,101,101,30000.0,103000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00002510,2024-05-01_19-15-47,780,178,115,24000.0,217,-5.03,-50.74,-50.74,-50.74,14000.0,25000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.061384,2024-05-01_19-15-47,840,189,123,76000.0,166,-19.15,25.17,25.17,25.17,20000.0,13000.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.0003106,2024-05-01_19-15-47,1440,573,473,93000.0,416,-36.78,4126,4126,4126,87000.0,31000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00002286,2024-05-01_19-15-47,1560,336,184,52000.0,275,-1.17,-55.30,-55.30,-55.30,14000.0,22000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.0003470,2024-05-01_19-15-47,1620,1327,539,237000.0,869,3.44,6078,6078,6078,99000.0,42000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
Four Months CZ,FOMO,,0.0001322,2024-05-01_19-15-47,1680,120,60,23000.0,76,137,912,912,912,83000.0,13000.0,gwkqwu5suoead9vsriqah1sjxhnrbcmvaz8qkfspveps
AiDrop,AiDrop,,0.00002935,2024-05-01_19-15-47,2040,550,409,88000.0,455,4.09,-43.11,-43.11,-43.11,15000.0,29000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.051992,2024-05-01_19-15-47,2700,137,33,23000.0,137,5.25,38.19,38.19,38.19,10000.0,59000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.003167,2024-05-01_19-15-47,2700,457,279,82000.0,379,31.10,992,992,992,11000.0,31000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.00005793,2024-05-01_19-15-47,2760,274,659,25000.0,274,-14.19,505,505,505,43000.0,57000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.0009878,2024-05-01_19-15-47,2820,119,19,12000.0,42,-2.63,4.64,4.64,4.64,96000.0,49000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00003080,2024-05-01_19-15-47,3120,685,506,135000.0,521,-14.35,-42.17,-42.17,-42.17,16000.0,29000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.00001283,2024-05-01_19-15-47,3180,343,333,27000.0,313,0,-20.43,-20.43,-20.43,15000.0,12000.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Duper Dog,DUPDOG,,0.0004933,2024-05-01_19-15-47,3240,164,21,21000.0,36,-2.91,4.47,4.47,4.47,96000.0,49000.0,glb3cge2emtoxm3xpcydrawrfttp6g26gcesp6hwzgct
