token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
sheitlock homeless,SHEIT,,0.056637,2024-05-01_19-39-10,32,5,0,562.0,5,118,118,118,118,27000.0,66000.0,a8is4glj5vvpup4wltzse5rvtvktwmkddt4ka8meydkd
Spider Cuz,CUZ,,0.052610,2024-05-01_19-39-10,54,49,9,16000.0,49,52.11,52.11,52.11,52.11,28000.0,26000.0,3mf9pduks4ckvywdghsbyywqfxuhsesqsnpdx9fcouqd
Tony Tony Chopper,Chopper,,0.058285,2024-05-01_19-39-10,120,35,3,202.0,35,0.79,0.79,0.79,0.79,122000.0,61000.0,3453p9czm9fhkwejzfcmsbp1gtdsnc6n58wd8rkbzvmb
The Zen Zone,ZEN,,0.001533,2024-05-01_19-39-10,540,625,486,140000.0,620,9.31,18.28,18.28,18.28,282000.0,153000.0,ix7erfst2glxag1dhzur31k1dpxqv4gdxi1sfiupa7r
SnackSwap,SNACK,,0.0004930,2024-05-01_19-39-10,660,67,10,48000.0,34,0.15,5.65,5.65,5.65,95000.0,49000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Trump is a silly fat guy,FatTrump,,0.00001593,2024-05-01_19-39-10,660,73,8,50000.0,42,9.20,26.20,26.20,26.20,87000.0,49000.0,3hxclvrteyajvcmmnthgdrqgnwkkcjk6damvhicxoofu
Obuma,Obuma,,0.00001088,2024-05-01_19-39-10,840,436,248,32000.0,317,19.05,1489,1489,1489,53000.0,10000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.00008352,2024-05-01_19-39-10,1260,248,103,42000.0,218,-11.78,61.67,61.67,61.67,26000.0,83000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.0001182,2024-05-01_19-39-10,1500,755,502,300000.0,553,-39.25,129,129,129,32000.0,82000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001432,2024-05-01_19-39-10,1860,1000,595,313000.0,697,-27.46,176,176,176,35000.0,143000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00001721,2024-05-01_19-39-10,2160,198,158,26000.0,240,-7.74,-66.22,-66.22,-66.22,12000.0,17000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079306,2024-05-01_19-39-10,2280,193,149,80000.0,170,0,-15.86,-15.86,-15.86,17000.0,931.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00007197,2024-05-01_19-39-10,2820,749,735,119000.0,516,7.80,879,879,879,42000.0,71000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00002865,2024-05-01_19-39-10,2940,382,217,59000.0,292,-7.32,-43.98,-43.98,-43.98,15000.0,28000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.0003553,2024-05-01_19-39-10,3060,1761,760,313000.0,1125,6.42,6225,6225,6225,10000.0,43000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
Four Months CZ,FOMO,,0.0002114,2024-05-01_19-39-10,3060,189,120,43000.0,82,81.11,1519,1519,1519,10000.0,21000.0,gwkqwu5suoead9vsriqah1sjxhnrbcmvaz8qkfspveps
AiDrop,AiDrop,,0.00002966,2024-05-01_19-39-10,3420,598,451,97000.0,482,15.97,-42.51,-42.51,-42.51,16000.0,29000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.052062,2024-05-01_19-39-10,4140,148,44,34000.0,145,-0.38,15.46,43.05,43.05,10000.0,61000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002373,2024-05-01_19-39-10,4140,504,338,89000.0,404,4.11,-12.36,718,718,95000.0,23000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.00008008,2024-05-01_19-39-10,4140,330,679,28000.0,297,-11.54,351,737,737,50000.0,80000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.0009874,2024-05-01_19-39-10,4200,157,24,18000.0,43,-1.86,-1.18,4.59,4.59,95000.0,49000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00001471,2024-05-01_19-39-10,4560,733,566,146000.0,539,2.92,-73.75,-72.38,-72.38,11000.0,13000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.00001008,2024-05-01_19-39-10,4620,347,338,27000.0,316,-10.89,-62.60,-37.46,-37.46,13000.0,10000.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Bidenwifhat,BIDEN,,0.00003224,2024-05-01_19-39-10,4740,403,18,27000.0,48,10.50,186,318,318,106000.0,109000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
Swrek,SWREK,,0.052293,2024-05-01_19-39-10,4980,200,217,40000.0,222,0,-91.47,-95.61,-95.61,44000.0,22000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Book Of Prison,BOP,,0.055721,2024-05-01_19-39-10,5040,751,616,65000.0,523,-11.27,-32.59,722,722,39000.0,57000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.053166,2024-05-01_19-39-10,5160,496,429,158000.0,445,0,-5.31,-94.10,-94.10,52000.0,31000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
TIM,TIM,,0.002860,2024-05-01_19-39-10,5280,2,8,282.0,9,-6.27,-7.84,-7.84,-7.84,21000.0,28000000.0,2jnvm3xkfgpiiefcajplisfabujj9msjvdrv6ppnbuyk
Unfuddables,PB&J,,0.00005174,2024-05-01_19-39-10,5940,575,438,221000.0,430,-1.02,-3.63,0.18,0.18,21000.0,49000.0,cpbmhdu2wehqhhgj4mzhnwmqvau5ngzocbpmydvkbjpb
Hypnotoad,TOAD,,0.062196,2024-05-01_19-39-10,6300,81,28,17000.0,76,0,5.95,10.96,10.96,28000.0,21000.0,9h2cbevzejh25gga6rxtqbmrkhzxmzvxzjmzsltbm5h3
Emo Pepe,EMOPEPE,,0.068234,2024-05-01_19-39-10,6360,316,278,24000.0,243,0,-56.19,18.30,18.30,14000.0,823.0,darpvbqryugjhnohge2jgxksw2aw1iim9y9fyakf32gt
Reservoir Cats,RATS,,0.054932,2024-05-01_19-39-10,6360,666,603,153000.0,533,-1.43,-51.54,-90.44,-90.44,66000.0,49000.0,gthe6ppvbqnven1ddcc9mfwxn1cag4ezyftuwfcetbu9
🇱🇷 Trump Pepe,$TRUPE,,0.0002659,2024-05-01_19-39-10,6420,7626,1583,68000.0,4664,-0.27,11.65,22.34,22.34,66000.0,106000.0,7uiceimc3qqw1xtfznimrvspcg4rylvavpuem9tstjtg
TRIXIEPUPPY,TPUP,,0.052565,2024-05-01_19-39-10,6780,302,213,21000.0,284,11.61,-31.38,59.14,59.14,34000.0,28000.0,hzsz6elmgfhchrkbdpkrkdhhdxikqrcv59mocyjk1emt
🦇BATMAN ON THE MOON,🦇BATMON,,0.0005717,2024-05-01_19-39-10,6900,6733,350,13000.0,4684,-0.55,11.25,31.66,31.66,68000.0,77000.0,dbslgppesb6seaxtrjvvubdntxs5buqkjxfay7yurd1g
PEPE POLICE,POPO,,0.051782,2024-05-01_19-39-10,7380,64,20,10000.0,64,0,-1.02,-2.98,-2.98,31000.0,17000.0,61dtfo7svuqfmjjygbyu6a7u4nhbrvngewoohhnmfizz
🪭 Sora Geisha Cat,$GEKAT,,0.0002055,2024-05-01_19-39-10,7560,2958,1392,27000.0,2792,0.65,17.20,43.42,43.42,72000.0,123000.0,bze6wicu7pph4sujgw6zw9cvhkpzb4yr7guenjrfv7gc
Kermit the Frog,kermit,,0.0002717,2024-05-01_19-39-10,7560,1449,1002,592000.0,880,-7.31,14.27,429,429,49000.0,112000.0,hwoykoqbpl9gl8rrhbj9rxtfahpo8ns7t89qtwijrxz5
Kanji,KANJI,,0.00002135,2024-05-01_19-39-10,7800,2721,1974,833000.0,1496,4.24,-55.09,-58.09,-58.09,14000.0,21000.0,6uz3c3uuxleldjkponbqranppvxyzpntpw5kmxuhesfy
LIGHT,Light,,0.053177,2024-05-01_19-39-10,7860,465,543,119000.0,403,0,-1.21,-94.10,-94.10,52000.0,30000.0,gcnez5buh8ccxd6qizyyagtqq7xkc74aft488atfiqw3
mini,mini,,0.002973,2024-05-01_19-39-10,8040,15,19,39000.0,13,-4.57,4.05,-2.53,-2.53,21000.0,26000000.0,9w1j6dvmkbqwckcsdqwknjqrynasqrh3jmdmhd6gnjli
🔥 PUPU THE PEPE's GF,PUPU,,0.00007694,2024-05-01_19-39-10,8400,5732,2174,17000.0,4884,1.76,10.43,31.34,31.34,41000.0,69000.0,4m42pqf4dxtw1izmu8iief548ebfyqsj3jcrv2soekkg
Communist Takeover,CTO,,0.053379,2024-05-01_19-39-10,8940,451,385,188000.0,388,0,0.23,-93.80,-93.80,54000.0,33000.0,btkuujv24woxwxj3fqrv2ob78u8xecykbabbhagrtw6p
Itsy Bitsy Spider,ITSY,,0.058396,2024-05-01_19-39-10,9120,1188,962,201000.0,757,60.96,-71.39,-83.90,-83.90,86000.0,83000.0,88hecvzfnvfkp1lx4bny2wxd4fe785ska86njuvqkmmt
benince,benince,,0.052968,2024-05-01_19-39-10,9180,783,550,64000.0,449,0,-47.37,214,214,29000.0,29000.0,efpncrlvr6acuzhaffj4119x1gfdi5y67imadrfff1rm
SUPERSOLMAN,SUPASOL,,0.055418,2024-05-01_19-39-10,9300,256,157,23000.0,216,-13.17,-20.53,43.52,43.52,32000.0,40000.0,33ecnhbsqpbbfcjvqkewxpglxj1gzjqsma94npqtzgce
Classy Degen,CLASSY,,0.00002481,2024-05-01_19-39-10,9660,267,146,161000.0,203,0.18,6.75,206,206,19000.0,24000.0,avdr35cqpdkaedjkpbg3ogdhspsade9npqan6s6y52tj
DUMBIE,DUMB,,0.052188,2024-05-01_19-39-10,9960,343,239,34000.0,292,0,-32.21,45.51,45.51,32000.0,21000.0,5gfbzxsayhnsdqsskhjdxb2h9acyh6q5kybydvbucgfy
❄Snowy Doge On Solana,❄SDOGE,,0.0001968,2024-05-01_19-39-10,10020,3446,2359,23000.0,3178,1.73,11.17,41.75,41.75,68000.0,118000.0,j1jdsenrtxqnkt55dfb3tmdktlyjqr47akvunxjoqlyx
tooker kurlson,tooker,,0.06114,2024-05-01_19-39-10,10260,39,52,13000.0,38,-2.18,-15.24,-14.92,-14.92,53000.0,593000000.0,ecwfevz6o4kbmemac1uvxbrqctjw2gqxrny448i6xjzz
WOSH,WOSH,,0.00001803,2024-05-01_19-39-10,10320,1043,842,192000.0,782,-0.35,-21.77,-65.28,-65.28,12000.0,16000.0,gtvbkuxdfjhpxlo2abbewytwmqmp1b7r12lxmwnwceg6
Desi Hasbullah,HASJEET,,0.058049,2024-05-01_19-39-10,10380,251,786,40000.0,278,-1.06,-2.35,-22.37,-22.37,15000.0,805.0,3bgzpswvstfsuvrdid2wmmyundl7akdaahodfshwssdb
bigi,bigi,,0.00006429,2024-05-01_19-39-10,10980,3909,2735,12000000.0,2012,12.15,147,20.40,20.40,25000.0,59000.0,bxrxpfs8smvduniimcrzkdvcxroafbnkxq1taxxnbz6c
SHIBI,SHIBI,,0.051090,2024-05-01_19-39-10,11100,450,825,43000.0,346,-9.02,-18.95,81.20,81.20,14000.0,10000.0,dpvf1qhrnnzn865jw7euwyith355ugeqnxsjosgnppmt
YESTARE,YE,,0.065323,2024-05-01_19-39-10,11400,145,237,94000.0,132,0,0,-53.69,-53.69,10000.0,532.0,7lfgj5bvypbfubkrbb8edjg8k656rogzsnyn4xdpbc4o
dokwon,FOUR,,0.067847,2024-05-01_19-39-10,11460,235,677,24000.0,202,-17.75,-11.80,-0.72,-0.72,13000.0,785.0,a7gpujcgo4idgs8d18astawzhty4fuzwgpx4qeyfgt2s
Book of Wif,BOWIF,,0.0002163,2024-05-01_19-39-10,11640,5318,3602,13000000.0,2262,-15.09,-9.67,317,317,46000.0,216000.0,hkcrjv34ivf4kcuclqmzrsjwosac7k9fah7xx17tlri7
CZ SCOFIELD,CZOUT,,0.057033,2024-05-01_19-39-10,12360,1619,1916,281000.0,1095,0,-5.17,21.91,21.91,14000.0,865.0,7erspgdytz4qv5fljjtie6oebcgw6shgexkknecxsglk
SofaKing,SFKNG,,0.052152,2024-05-01_19-39-10,12480,374,231,45000.0,328,0,15.92,44.09,44.09,32000.0,21000.0,4kpa3dotqez2g9gaqnz6pbjy2ybhp3bwx4kmpkkuiyd7
NEW SOL ORDER,$NEWSOL,,0.052710,2024-05-01_19-39-10,13620,124,177,55000.0,97,0,0,68.03,68.03,10000.0,27000.0,avl8jimog4sdl1voekyxpyrtst5dgyga9gbpwcb5b4xs
Kongz,KONGZ,,0.068292,2024-05-01_19-39-10,13920,268,677,38000.0,217,0,0,42.43,42.43,13000.0,828.0,6gbdyqqnkxnvfqoeycpnovzkn8ie8z6rjylxoxpmmisp
JEETING CATZ,JCZ,,0.051398,2024-05-01_19-39-10,13920,262,357,32000.0,245,0,-5.62,-21.82,-21.82,25000.0,13000.0,7zxel3zhn3ubuycta79t9g9qogmdjfgvyn6f4mxhjwnl
CZswap,CZSWAP,,0.00004625,2024-05-01_19-39-10,14040,351,233,106000.0,286,0,0,596,596,10000.0,18000.0,4nc2zx8w29z1em2bjnwnxzzkv5rl4waibursnmqc94lx
