token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
POPEYE,POPEYE,,0.056229,2024-05-01_20-11-46,120,36,5,276.0,36,0.82,0.82,0.82,0.82,94000.0,47000.0,7e6svgem4suek7b3l4ueer3yqh5yvbrsmo76xc3nxfjy
zazu,zazu,,0.052023,2024-05-01_20-11-46,180,28,2,933.0,28,54.85,54.85,54.85,54.85,32000.0,20000.0,3v72fqvtxpd9hykgkz76ej9wuuar2ueesntxlqm3f7cx
Runestone,RUNE,,0.001433,2024-05-01_20-11-46,180,229,135,42000.0,226,9.77,9.77,9.77,9.77,273000.0,143000.0,4557tv1kakahynr6f1n2gu8tp7rdovmdajjfgvuqyqs8
czSAFU,czSAFU,,0.051155,2024-05-01_20-11-46,300,4,0,38.0,3,15.28,15.28,15.28,15.28,10000.0,11000.0,9spsbq9acl6fsc9lydcxrwwwc5hquqjopxaypxwfz7yb
duk,duk,,0.006637,2024-05-01_20-11-46,480,0,1,23.0,1,0,0,0,0,37000.0,66000000.0,c9mzuctlnblw3jear1hkvwodofagjgrqkk3zfuakalsc
Racist Dog,RACIST,,0.00008899,2024-05-01_20-11-46,840,139,36,11000.0,135,57.38,72.51,72.51,72.51,27000.0,88000.0,5j8pdeb3htrjpk27ohmemcuvaccjk7hhq4vdxvbuxgba
Book of Michi,$BOMI,,0.0001131,2024-05-01_20-11-46,840,720,358,209000.0,620,23.40,119,119,119,31000.0,113000.0,dx9otevyqu8pi46mny9je3ahnaydwja8woh2o4uwtbky
Pichi,PICHI,,0.01121,2024-05-01_20-11-46,960,100,36,20000.0,76,-13.57,761,761,761,76000.0,11000.0,8mlh573bbsyo5som3jmff4yajwvzoyru8bgcfmihdbuh
kunye weast,yezzey,,0.0009035,2024-05-01_20-11-46,1020,210,741,18000.0,278,2.85,-63.40,-63.40,-63.40,15000.0,904.0,gfh1ymhxxzeb6gwoewr57b5xug2hjurxaymujkt117ox
KAIBYŌ,KAIBYŌ,,0.051399,2024-05-01_20-11-46,1140,376,194,47000.0,330,-2.72,561,561,561,74000.0,10000.0,4ukg228n8nloczmnmvoamouynanzgqpyfet5anq7xxkx
Sylvester,SYLVESTER,,0.054621,2024-05-01_20-11-46,1200,509,412,50000.0,426,-2.03,161,161,161,24000.0,46000.0,bcoqfrwszb2t1fxn79gvdx2dbbvt42cugwqr8t4qok6o
kawaii pengu,kawaii,,0.0001167,2024-05-01_20-11-46,1260,825,541,249000.0,609,-51.92,3796,3796,3796,24000.0,116000.0,ckmgcvcjohobeqpgqxybxnayxpvvkcysrkm73a7gd85e
Gury Vee,GuryVee,,0.0002650,2024-05-01_20-11-46,1560,6,24,12000.0,6,2.45,4.29,4.29,4.29,10000.0,265000.0,5jfu1yekokgnvkgowhbhdgayzknxxz6d4kfeqwx5wiwu
sheitlock homeless,SHEIT,,0.051774,2024-05-01_20-11-46,1980,339,233,19000.0,238,0.88,-41.82,-41.82,-41.82,14000.0,17000.0,a8is4glj5vvpup4wltzse5rvtvktwmkddt4ka8meydkd
Spider Cuz,CUZ,,0.051683,2024-05-01_20-11-46,1980,94,91,14000.0,92,-0.01,-1.91,-1.91,-1.91,23000.0,16000.0,3mf9pduks4ckvywdghsbyywqfxuhsesqsnpdx9fcouqd
SnackSwap,SNACK,,0.0004854,2024-05-01_20-11-46,2640,149,22,17000.0,37,-4.16,4.02,4.02,4.02,95000.0,48000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Obuma,Obuma,,0.051585,2024-05-01_20-11-46,2820,620,489,45000.0,403,-32.48,131,131,131,20000.0,15000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.053873,2024-05-01_20-11-46,3180,418,356,98000.0,322,-53.25,-92.50,-92.50,-92.50,58000.0,38000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.00006609,2024-05-01_20-11-46,3420,1013,717,354000.0,677,2.78,27.82,27.82,27.82,24000.0,46000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001390,2024-05-01_20-11-46,3780,1502,923,441000.0,873,15.69,105,168,168,35000.0,139000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00002044,2024-05-01_20-11-46,4140,218,168,28000.0,256,0.56,-23.27,-59.89,-59.89,13000.0,20000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
