token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
HUMPCOIN,HUMP,,0.051754,2024-05-01_18-30-39,30,73,3,11000.0,75,21.70,21.70,21.70,21.70,95000.0,52000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.001860,2024-05-01_18-30-39,28,47,3,53000.0,47,542,542,542,542,83000.0,18000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.0001682,2024-05-01_18-30-39,60,67,9,47000.0,66,1658,1658,1658,1658,72000.0,16000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.0009545,2024-05-01_18-30-39,120,35,3,346.0,34,1.12,1.12,1.12,1.12,94000.0,47000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00004817,2024-05-01_18-30-39,420,300,165,58000.0,300,-40.84,-9.57,-9.57,-9.57,20000.0,45000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.00004855,2024-05-01_18-30-39,480,293,145,23000.0,280,-21.19,201,201,201,29000.0,48000.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Duper Dog,DUPDOG,,0.0005081,2024-05-01_18-30-39,540,51,6,19000.0,33,2.55,7.61,7.61,7.61,97000.0,50000.0,glb3cge2emtoxm3xpcydrawrfttp6g26gcesp6hwzgct
Bidenwifhat,BIDEN,,0.059409,2024-05-01_18-30-39,660,75,9,28000.0,40,8.66,21.93,21.93,21.93,57000.0,31000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
CatWifUnicorn,UniCat,,0.057498,2024-05-01_18-30-39,660,69,14,97000.0,63,-49.11,281,281,281,76000.0,74000.0,cqqgdo1ccrqjwnmhse7wo2ypmbcddfcqwaemnrxpaop7
Trumpwifhat,Trumpwif,,0.056377,2024-05-01_18-30-39,780,114,8,46000.0,44,4.71,17.07,17.07,17.07,116000.0,63000.0,aqtfbhpnexa6knppfn1qpfmtzeeshatwg7timwkiwhv9
Swrek,SWREK,,0.00007825,2024-05-01_18-30-39,900,172,51,15000.0,168,8.64,49.81,49.81,49.81,25000.0,78000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Trumpwifhat,TRUMP,,0.058015,2024-05-01_18-30-39,900,125,6,46000.0,46,4.65,17.03,17.03,17.03,116000.0,63000.0,8kzsthnaho621mrrkklskvochk6sbrlfmguu7efcar9n
Book Of Prison,BOP,,0.00001180,2024-05-01_18-30-39,960,490,292,43000.0,393,53.47,1596,1596,1596,55000.0,11000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.053539,2024-05-01_18-30-39,1020,496,416,158000.0,445,-0.10,-93.40,-93.40,-93.40,56000.0,35000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
TIM,TIM,,0.003103,2024-05-01_18-30-39,1200,0,1,19.0,1,0,0,0,0,22000.0,31000000.0,2jnvm3xkfgpiiefcajplisfabujj9msjvdrv6ppnbuyk
Canadian Cat,CATADA,,0.001844,2024-05-01_18-30-39,1860,3553,3327,944000.0,3536,2.30,39.81,39.81,39.81,312000.0,184000.0,7c8bnwwyiqc8qknkqqj1nfmwfbcw759wsw9yru73kcnt
Unfuddables,PB&J,,0.00003984,2024-05-01_18-30-39,1860,433,363,83000.0,361,1.93,-22.85,-22.85,-22.85,18000.0,37000.0,cpbmhdu2wehqhhgj4mzhnwmqvau5ngzocbpmydvkbjpb
Hypnotoad,TOAD,,0.062025,2024-05-01_18-30-39,2160,71,26,15000.0,70,-0.13,2.36,2.36,2.36,27000.0,20000.0,9h2cbevzejh25gga6rxtqbmrkhzxmzvxzjmzsltbm5h3
Emo Pepe,EMOPEPE,,0.052071,2024-05-01_18-30-39,2280,312,263,24000.0,241,-5.17,198,198,198,23000.0,20000.0,darpvbqryugjhnohge2jgxksw2aw1iim9y9fyakf32gt
Reservoir Cats,RATS,,0.00001097,2024-05-01_18-30-39,2280,636,502,146000.0,497,-33.00,-78.73,-78.73,-78.73,98000.0,10000.0,gthe6ppvbqnven1ddcc9mfwxn1cag4ezyftuwfcetbu9
🇱🇷 Trump Pepe,$TRUPE,,0.0002362,2024-05-01_18-30-39,2280,3155,383,25000.0,3160,1.50,8.67,8.67,8.67,62000.0,94000.0,7uiceimc3qqw1xtfznimrvspcg4rylvavpuem9tstjtg
TRIXIEPUPPY,TPUP,,0.053783,2024-05-01_18-30-39,2640,291,194,20000.0,274,0,135,135,135,42000.0,41000.0,hzsz6elmgfhchrkbdpkrkdhhdxikqrcv59mocyjk1emt
🦇BATMAN ON THE MOON,🦇BATMON,,0.0005145,2024-05-01_18-30-39,2760,144,47,54000.0,128,2.17,18.50,18.50,18.50,65000.0,102000.0,dbslgppesb6seaxtrjvvubdntxs5buqkjxfay7yurd1g
jew bidon ,BIDON,,0.052548,2024-05-01_18-30-39,2820,58,18,933.0,58,0,-16.13,-16.13,-16.13,26000.0,15000.0,aucaai1hkhz2qkxth423fydntdmcmtvuxirs8rxvcekj
PEPE POLICE,POPO,,0.051800,2024-05-01_18-30-39,3240,64,19,10000.0,64,0,-1.98,-1.98,-1.98,31000.0,18000.0,61dtfo7svuqfmjjygbyu6a7u4nhbrvngewoohhnmfizz
🪭 Sora Geisha Cat,$GEKAT,,0.0001636,2024-05-01_18-30-39,3420,2718,1248,51000.0,2714,0.58,14.20,14.20,14.20,64000.0,98000.0,bze6wicu7pph4sujgw6zw9cvhkpzb4yr7guenjrfv7gc
Kermit the Frog,kermit,,0.0002084,2024-05-01_18-30-39,3420,970,659,448000.0,647,0.53,306,306,306,43000.0,208000.0,hwoykoqbpl9gl8rrhbj9rxtfahpo8ns7t89qtwijrxz5
Kanji,KANJI,,0.00007669,2024-05-01_18-30-39,3660,2358,1664,769000.0,1398,22.49,-47.29,50.50,50.50,27000.0,76000.0,6uz3c3uuxleldjkponbqranppvxyzpntpw5kmxuhesfy
LIGHT,Light,,0.053215,2024-05-01_18-30-39,3780,465,541,119000.0,403,0,-85.85,-94.03,-94.03,53000.0,30000.0,gcnez5buh8ccxd6qizyyagtqq7xkc74aft488atfiqw3
🔥 PUPU THE PEPE's GF,PUPU,,0.00006785,2024-05-01_18-30-39,4260,3469,1948,11000.0,3312,0.31,14.37,15.82,15.82,38000.0,61000.0,4m42pqf4dxtw1izmu8iief548ebfyqsj3jcrv2soekkg
Communist Takeover,CTO,,0.053557,2024-05-01_18-30-39,4800,451,382,188000.0,388,0,-42.66,-93.47,-93.47,56000.0,35000.0,btkuujv24woxwxj3fqrv2ob78u8xecykbabbhagrtw6p
Itsy Bitsy Spider,ITSY,,0.00003577,2024-05-01_18-30-39,5040,1110,798,193000.0,731,8.35,-43.69,-31.39,-31.39,17000.0,35000.0,88hecvzfnvfkp1lx4bny2wxd4fe785ska86njuvqkmmt
benince,benince,,0.058176,2024-05-01_18-30-39,5100,695,491,59000.0,432,15.00,134,764,764,49000.0,81000.0,efpncrlvr6acuzhaffj4119x1gfdi5y67imadrfff1rm
SUPERSOLMAN,SUPASOL,,0.059200,2024-05-01_18-30-39,5160,238,134,20000.0,206,0.86,76.22,144,144,42000.0,69000.0,33ecnhbsqpbbfcjvqkewxpglxj1gzjqsma94npqtzgce
Classy Degen,CLASSY,,0.00002518,2024-05-01_18-30-39,5580,257,139,159000.0,200,-3.24,22.22,211,211,20000.0,25000.0,avdr35cqpdkaedjkpbg3ogdhspsade9npqan6s6y52tj
DUMBIE,DUMB,,0.053228,2024-05-01_18-30-39,5820,343,231,33000.0,292,0,-37.60,115,115,39000.0,32000.0,5gfbzxsayhnsdqsskhjdxb2h9acyh6q5kybydvbucgfy
❄Snowy Doge On Solana,❄SDOGE,,0.0001696,2024-05-01_18-30-39,5940,3196,2204,68000.0,3132,0.02,14.63,22.18,22.18,63000.0,101000.0,j1jdsenrtxqnkt55dfb3tmdktlyjqr47akvunxjoqlyx
tooker kurlson,tooker,,0.07079,2024-05-01_18-30-39,6180,32,23,894.0,24,6.59,2.44,-1.48,-1.48,57000.0,687000000.0,ecwfevz6o4kbmemac1uvxbrqctjw2gqxrny448i6xjzz
WOSH,WOSH,,0.00002472,2024-05-01_18-30-39,6240,1015,798,186000.0,765,-12.69,-52.50,-52.41,-52.41,14000.0,22000.0,gtvbkuxdfjhpxlo2abbewytwmqmp1b7r12lxmwnwceg6
Desi Hasbullah,HASJEET,,0.058243,2024-05-01_18-30-39,6240,251,784,40000.0,278,0,-3.42,-20.50,-20.50,15000.0,824.0,3bgzpswvstfsuvrdid2wmmyundl7akdaahodfshwssdb
bigi,bigi,,0.00002487,2024-05-01_18-30-39,6840,3245,2277,11000000.0,1797,-39.99,-71.09,-53.42,-53.42,15000.0,23000.0,bxrxpfs8smvduniimcrzkdvcxroafbnkxq1taxxnbz6c
SHIBI,SHIBI,,0.051345,2024-05-01_18-30-39,7020,450,822,43000.0,346,0,-9.37,124,124,16000.0,13000.0,dpvf1qhrnnzn865jw7euwyith355ugeqnxsjosgnppmt
YESTARE,YE,,0.065323,2024-05-01_18-30-39,7260,145,237,94000.0,132,0,-0.96,-53.69,-53.69,10000.0,532.0,7lfgj5bvypbfubkrbb8edjg8k656rogzsnyn4xdpbc4o
dokwon,FOUR,,0.069851,2024-05-01_18-30-39,7380,224,669,23000.0,199,35.84,25.04,24.63,24.63,15000.0,985.0,a7gpujcgo4idgs8d18astawzhty4fuzwgpx4qeyfgt2s
Book of Wif,BOWIF,,0.0002534,2024-05-01_18-30-39,7560,4069,2709,10000000.0,1956,-12.21,144,388,388,49000.0,253000.0,hkcrjv34ivf4kcuclqmzrsjwosac7k9fah7xx17tlri7
CZ SCOFIELD,CZOUT,,0.057501,2024-05-01_18-30-39,8220,1618,1469,281000.0,1094,0.05,-41.00,30.02,30.02,14000.0,923.0,7erspgdytz4qv5fljjtie6oebcgw6shgexkknecxsglk
SofaKing,SFKNG,,0.051857,2024-05-01_18-30-39,8340,369,230,45000.0,325,0,-2.22,24.30,24.30,30000.0,18000.0,4kpa3dotqez2g9gaqnz6pbjy2ybhp3bwx4kmpkkuiyd7
NEW SOL ORDER,$NEWSOL,,0.052710,2024-05-01_18-30-39,9540,124,177,55000.0,97,0,-2.98,68.03,68.03,10000.0,27000.0,avl8jimog4sdl1voekyxpyrtst5dgyga9gbpwcb5b4xs
Kongz,KONGZ,,0.068292,2024-05-01_18-30-39,9840,268,677,38000.0,217,0,-10.25,42.43,42.43,13000.0,828.0,6gbdyqqnkxnvfqoeycpnovzkn8ie8z6rjylxoxpmmisp
JEETING CATZ,JCZ,,0.051481,2024-05-01_18-30-39,9840,262,356,32000.0,245,0,-12.47,-17.16,-17.16,26000.0,14000.0,7zxel3zhn3ubuycta79t9g9qogmdjfgvyn6f4mxhjwnl
CZswap,CZSWAP,,0.00004625,2024-05-01_18-30-39,9900,351,233,106000.0,286,0,-11.50,596,596,10000.0,18000.0,4nc2zx8w29z1em2bjnwnxzzkv5rl4waibursnmqc94lx
jorem powl,INFLATION,,0.053653,2024-05-01_18-30-39,9960,1676,1151,274000.0,831,-0.58,-23.02,415,415,33000.0,36000.0,fl3mybfzyv9kza69eghku5bvnofqzapinrrzzrptbird
zazu,zazu,,0.002601,2024-05-01_18-30-39,10020,857,772,55000.0,376,2.97,-49.38,-38.16,-38.16,12000.0,18000000.0,6acr3h9zwnbx727vctmnmvhcw5djmpakx5uijvtv52xu
Pepe Dog,PEDO,,0.053643,2024-05-01_18-30-39,10200,875,684,133000.0,644,-2.68,-43.75,1732,1732,12000.0,32000.0,bc3afteuzlbfxpzwnfgqou2dzy6agnpndqrerjspezff
ArgentinaCoin,ARG,,0.00008185,2024-05-01_18-30-39,10740,682,516,180000.0,556,0.80,14.35,53.86,53.86,26000.0,81000.0,b2ep7xzmchtsntfdhxoibmk5vnujmv528dulhew2h91u
BENG,BENG,,0.00001795,2024-05-01_18-30-39,10740,1695,1407,235000.0,1076,11.45,86.98,417,417,97000.0,17000.0,9v7qxcmjk88uscx5llc4uvweu5fmibl8j7jjua4bl6bx
