token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Donald Trump,Trump,,0.00001052,2024-05-09_15-34-37,60,40,6,694.0,40,2.35,2.35,2.35,2.35,122000.0,62000.0,6yy2peu1bdn3pfddsaiwobytw4phekiscshvrxcmeqna
Nala Cat,NALA,,0.00009551,2024-05-09_15-34-37,180,98,8,15000.0,77,3050,3050,3050,3050,17000.0,95000.0,5bnesjrwrgbequgizgdyljc2fvbmwxnzpp8gjawlyyfy
SimbaToken,SIMBA,,0.001838,2024-05-09_15-34-37,240,66,11,11000.0,40,24.98,24.98,24.98,24.98,98000.0,55000.0,g6qzdhp3xz9edvxe41wd6xudg8ffn2yswi5eepsb1f4h
TRUMPWIFHAT,TRUMP,,0.056270,2024-05-09_15-34-37,300,54,9,30000.0,42,9.75,10.47,10.47,10.47,117000.0,62000.0,bfwuctwc1bdtnhzxsc7gftumivebnm3esrqbyhbqjecz
xiaojie,XIAO,,0.0001429,2024-05-09_15-34-37,420,1189,775,722000.0,927,-62.00,386,386,386,94000.0,142000.0,4few9v9bjbezrxj7ddnchpmxpnxojfgnmykzjqd2unsw
Smokey the Bear,Smoke,,0.0003879,2024-05-09_15-34-37,420,230,99,30000.0,184,5.34,4504,4504,4504,10000.0,38000.0,gnwc7z1derp7bik3t7uefqg3qkgk5kfssnnaf1uzv92h
Sugar Glider Inu,SUGLI,,0.001802,2024-05-09_15-34-37,420,489,364,126000.0,485,9.53,18.74,18.74,18.74,330000.0,180000.0,2jbwqnluklknffchpbxufnxqkda83ewyjbiqku3ozdhe
TRUMP2024,TRUMP2024,,0.00002312,2024-05-09_15-34-37,540,87,11,71000.0,50,7.84,17.90,17.90,17.90,174000.0,94000.0,2uqka3dzvppat1hcmpuhkdj2cuytnvp6aq4evybqn38j
HOOTIE,HOOTIE,,0.00003538,2024-05-09_15-34-37,540,232,130,36000.0,243,-29.77,-39.34,-39.34,-39.34,18000.0,35000.0,e557ffatrfnbbdaas199gheejcrrpuaddfahywhqvbxj
SolGoodman,Saul,,0.051124,2024-05-09_15-34-37,600,132,58,51000.0,136,-83.22,-71.96,-71.96,-71.96,16000.0,11000.0,2qu5hfz3ovnmsgd9vqqpifj3twd8nfzyrhbuawajudmn
dogwifhat2,WIF2,,0.002071,2024-05-09_15-34-37,780,299,138,132000.0,86,162,136K,136K,136K,113000.0,20000000.0,4plf387gjeb7ieajm7nrkmb3atctsx2btpkwtgpmptkx
BIG NATURALS,$NATURALS,,0.058954,2024-05-09_15-34-37,960,189,169,51000.0,223,-18.67,-84.60,-84.60,-84.60,94000.0,89000.0,daa7dgwaqv8x9kursdl8h9dibuc8ai1kvh6swhyfprb
YIN,YIN,,0.01261,2024-05-09_15-34-37,960,1356,827,685000.0,840,-26.55,1472,1472,1472,64000.0,12000.0,5hmvnk1caccaq9tg2l6cdpjbvchgm6nbcaowt1emxsxy
Trump Hair,Trump Hair,,0.058364,2024-05-09_15-34-37,1020,118,13,68000.0,45,11.58,48.35,48.35,48.35,74000.0,45000.0,ey28qgv9gojeq7hfdt7kanzc4iumal2vdsy9mbwnbdsq
Apein,AEI,,0.063087,2024-05-09_15-34-37,1080,151,58,13000.0,150,-5.91,102,102,102,34000.0,30000.0,fxhdnvk95uuwtsy1dxgrihihusqz1i4n8pfwhy42snpz
