token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
shork,shork,,0.0001678,2024-05-09_15-41-37,42,59,0,35000.0,59,497,497,497,497,101000.0,167000.0,aexh2s2fmfmwhrewagv3bs8utt2axyrkffmjbp1kwuzx
DEXSURFER,DEXSURFER,,0.054598,2024-05-09_15-41-37,120,74,20,16000.0,74,-93.36,-93.36,-93.36,-93.36,70000.0,45000.0,4azwfvces2hsptagqs1mru935yxqcn3ecepcqtar87ak
TRUMPWIFHAT,TRUMPWIF,,0.057568,2024-05-09_15-41-37,360,55,9,24000.0,45,5.89,7.22,7.22,7.22,144000.0,74000.0,bjkhegxtiber1dxp2z8f26dxj2kbvadumbdkm1cayywe
Flawor,FLAWOR,,0.00002162,2024-05-09_15-41-37,360,302,214,76000.0,320,-39.08,-68.67,-68.67,-68.67,14000.0,21000.0,hlbz4gfi8pucueztj7rsfhuzqsq6tng5dzuvpyszwdnf
BORED AT WORK,BAW,,0.00004053,2024-05-09_15-41-37,420,94,51,52000.0,112,-27.49,-30.17,-30.17,-30.17,20000.0,40000.0,dq17ihspj1qmvtjupqrx5j46dfcvcbzoxopu6eetp2ve
Donald Trump,Trump,,0.00001171,2024-05-09_15-41-37,480,88,14,40000.0,58,5.90,13.91,13.91,13.91,129000.0,69000.0,6yy2peu1bdn3pfddsaiwobytw4phekiscshvrxcmeqna
Nala Cat,NALA,,0.00007210,2024-05-09_15-41-37,600,154,50,24000.0,112,50.73,2278,2278,2278,14000.0,72000.0,5bnesjrwrgbequgizgdyljc2fvbmwxnzpp8gjawlyyfy
TRUMPWIFHAT,TRUMP,,0.057965,2024-05-09_15-41-37,720,79,10,10000.0,42,19.29,40.32,40.32,40.32,133000.0,78000.0,bfwuctwc1bdtnhzxsc7gftumivebnm3esrqbyhbqjecz
Smokey the Bear,Smoke,,0.0004579,2024-05-09_15-41-37,840,306,163,57000.0,240,-20.12,5335,5335,5335,11000.0,45000.0,gnwc7z1derp7bik3t7uefqg3qkgk5kfssnnaf1uzv92h
Sugar Glider Inu,SUGLI,,0.001831,2024-05-09_15-41-37,840,897,763,257000.0,837,5.51,20.61,20.61,20.61,334000.0,183000.0,2jbwqnluklknffchpbxufnxqkda83ewyjbiqku3ozdhe
TRUMP2024,TRUMP2024,,0.00002515,2024-05-09_15-41-37,960,115,13,10000.0,53,4.45,28.23,28.23,28.23,182000.0,103000.0,2uqka3dzvppat1hcmpuhkdj2cuytnvp6aq4evybqn38j
HOOTIE,HOOTIE,,0.00002668,2024-05-09_15-41-37,960,279,190,44000.0,275,-25.95,-54.25,-54.25,-54.25,16000.0,26000.0,e557ffatrfnbbdaas199gheejcrrpuaddfahywhqvbxj
SolGoodman,Saul,,0.067123,2024-05-09_15-41-37,1020,135,67,53000.0,140,-29.38,-82.23,-82.23,-82.23,13000.0,712.0,2qu5hfz3ovnmsgd9vqqpifj3twd8nfzyrhbuawajudmn
